,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,connected-devices-experiments,44d638b621f7d48149962d9cfab4ad45c99db476,linked to 2nd installment,Elizabeth Hunt,2016-05-28T19:26:06Z,ezoehunt,ezoehunt,4,3,1
1,connected-devices-experiments,68b7d12c6b09cef10c47b6a48229e9024aaeab34,fixed 1st to 2nd installment,Elizabeth Hunt,2016-05-28T19:24:09Z,ezoehunt,ezoehunt,2,1,1
2,connected-devices-experiments,f35367454893a661b07ce2465fced8e388a8d1a7,Simple HTML page as target for 2 beacons,Sam Foster,2016-04-27T22:45:55Z,sfoster,sfoster,23,21,2
3,connected-devices-experiments,4ea0139121ef4f869e57ed4a1a2d55498f6eadbe,Create beacon-ibksUSB-01.md,Sam Foster,2016-04-27T21:39:00Z,sfoster,sfoster,1,1,0
4,connected-devices-experiments,afcd0aab68e80a8568ce9f859501603c12911e21,Create beacon-ibks105-00262146.md,Sam Foster,2016-04-27T20:56:14Z,sfoster,sfoster,1,1,0
5,connected-devices-experiments,31f99df60a3e361605bf92605f1e50c0cfc1564e,Formatting,Elizabeth Hunt,2016-03-14T20:00:56Z,ezoehunt,ezoehunt,16,15,1
6,connected-devices-experiments,a8f2e74cac9e2e7359d4582038a23e593dac7c01,Update Amazon-Echo-2.md,Rory Petty,2016-03-14T15:12:35Z,rorito,rorito,2,1,1
7,connected-devices-experiments,4f5e9b79d1060c01ab7221049e346b0e9e6f6355,"adding smart home study, closes #14",Kate Glazko,2016-03-14T14:59:40Z,vaani-github,vaani-github,0,0,0
8,connected-devices-experiments,23e5c917df587461d4da4204264a93b08aa65f01,"adding amazon echo review, closes #13",Sandip Kamat,2016-03-14T14:53:57Z,sdkamat,sdkamat,72,72,0
9,connected-devices-experiments,d9264a0dd1f6589d9db84c764c9c059ff95f685d,"added review of various smart devices, closes #12",Juwei Huang,2016-03-14T14:51:30Z,Juwei-huang,Juwei-huang,25,25,0
10,connected-devices-experiments,d1c066d9f2832cac36c70030b04713fa7e64f54f,"added smart things endless notification review, closes #10",Juwei Huang,2016-03-14T14:49:29Z,Juwei-huang,Juwei-huang,16,16,0
11,connected-devices-experiments,99b6a55e4d4e225296f540e63577148e53f6de5c,file name consistency,Michael Henretty,2016-03-14T14:47:47Z,mikehenrty,mikehenrty,0,0,0
12,connected-devices-experiments,39754ea5f6f6fae20bcefd39ad5327a2109a47f3,"added smart things makes me feel stupid review, closes #8",Elizabeth Hunt,2016-03-14T14:45:20Z,ezoehunt,ezoehunt,59,59,0
13,connected-devices-experiments,7676ff85afa00ebce6a6f968f3165b4aa82e07ff,"adding home assistant review, closes #7",Rob Wood,2016-03-14T14:42:41Z,Rob Wood,Rob Wood,41,41,0
14,connected-devices-experiments,a23ddbc7ae815a1ca95f4a0adf553a1222414e03,"adding Belkin WeMo Switch review, closes #5",Rob Wood,2016-03-14T14:41:11Z,Rob Wood,Rob Wood,45,45,0
15,connected-devices-experiments,c452085a00ce5c3d84dfb10125fe5274b8f1801c,"adding smart things gen 1 review, closes #4",Katie Caldwell,2016-03-14T14:39:13Z,KatieCaldwell,KatieCaldwell,19,19,0
16,connected-devices-experiments,233ca16a63b634f958e530a8762787068ff91984,"adding amazon echo review, closes #3",Tiffanie Shakespeare,2016-03-14T14:36:36Z,lime124,lime124,89,89,0
17,connected-devices-experiments,42e950d3326f0910a9316d62a1c99e59f924832a,"adding hello sense review, closes #2",Tiffanie Shakespeare,2016-03-14T14:34:08Z,lime124,lime124,58,58,0
18,connected-devices-experiments,6f9cead861c3ff4159620c119eebb36e7ec9fe48,moving all non-content into _repo_tools,Michael Henretty,2016-03-14T13:02:40Z,mikehenrty,mikehenrty,2,1,1
19,connected-devices-experiments,953e5d791bc1d296ca864315c1f69641ce7d746a,"adding sparkfun with sensors experiment, closes #17",Rob Wood,2016-03-14T12:59:46Z,Rob Wood,Rob Wood,156,156,0
20,connected-devices-experiments,ea17b863cb8272dc1c64c45523cb66d1f50ecaef,"adding beacons investigation, closes #11",Rob Wood,2016-03-14T12:54:48Z,Rob Wood,Rob Wood,113,113,0
21,connected-devices-experiments,1fcc77b3c40f569d3723381189d90273e237e46a,"Adding smart things purchasing review, closes #1",Elizabeth Hunt,2016-03-14T12:43:46Z,ezoehunt,ezoehunt,119,119,0
22,connected-devices-experiments,2b806c1c9d5b9ab145594483419513d75252b6fc,even more updated,Elizabeth Hunt,2016-02-17T00:58:46Z,ezoehunt,ezoehunt,5,3,2
23,connected-devices-experiments,4dc5f732cd8b9971404da08a62a22eb16e98c321,more updates,Elizabeth Hunt,2016-02-17T00:55:53Z,ezoehunt,ezoehunt,10,6,4
24,connected-devices-experiments,45397a57aebcec3c21f595c8078901d20932947e,i hate markdown,ezoehunt,2016-02-17T00:54:14Z,ezoehunt,ezoehunt,6,3,3
25,connected-devices-experiments,127ba4093d2f242cb341a267e60d61e4f4c83fe3,Update readme redux,Elizabeth Hunt,2016-02-17T00:50:34Z,ezoehunt,ezoehunt,9,5,4
26,connected-devices-experiments,e0817070c945c0902f93210b6456fd8be237d171,Update readme,Elizabeth Hunt,2016-02-17T00:49:20Z,ezoehunt,ezoehunt,14,12,2
