,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,cookie-restrictions-strict-list-study,21a384e4d829b672f6dccf1ecea4c7debc539991,"Merge pull request #14 from mozilla/v3

V3",Erica,2019-06-11T14:42:54Z,ericawright,ericawright,123,48,75
1,cookie-restrictions-strict-list-study,c66f42ea56332050bd7bd92d7ec24b43b90dd3cb,Update Multipreffer code.,Erica Wright,2019-06-07T18:21:38Z,ericawright,ericawright,62,28,34
2,cookie-restrictions-strict-list-study,f25c04abd10e4c6b49f49a00884759bf24d9d9e8,update to V3,Erica Wright,2019-06-05T19:55:13Z,ericawright,ericawright,61,20,41
3,cookie-restrictions-strict-list-study,f13ba98896778163ab0896878de41f5a8b08be13,Bump version to 2.1,Nihanth Subramanya,2019-04-15T13:26:04Z,nhnt11,nhnt11,8,4,4
4,cookie-restrictions-strict-list-study,0c1e763d09c70d77e001f647e6f3056835ba9abb,Change 'treatment' branch to 'test',Nihanth Subramanya,2019-04-15T13:23:51Z,nhnt11,nhnt11,2,1,1
5,cookie-restrictions-strict-list-study,1520950b2302c91c459c5df0015f873c405516c9,"Port updated tests for default-branch multipreffer from the search volume study (#13)

* Port updated tests for default-branch multipreffer from the search volume study

* Change branch names to 'control' and 'treatment'",Nihanth Subramanya,2019-04-12T11:57:30Z,nhnt11,nhnt11,297,123,174
6,cookie-restrictions-strict-list-study,d75b4da91168d73d633c70ccf2dd755982089279,Update package-lock.json,Nihanth Subramanya,2019-04-09T14:22:40Z,nhnt11,nhnt11,43,31,12
7,cookie-restrictions-strict-list-study,35c9b635b51a063368bd4e2d8730815973e58f75,"Upgrade to new default-prefs multipreffer, recompute category pref at init as well as cleanup (#10)",Nihanth Subramanya,2019-04-09T14:19:33Z,nhnt11,nhnt11,158,45,113
8,cookie-restrictions-strict-list-study,a8e9ce998055a5ac686181fcd68eb2b4febb4d86,"Add Mozilla Code of Conduct file (#12)

Fixes #11.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-04-09T14:18:41Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
9,cookie-restrictions-strict-list-study,c9f19bfa2d13dcdb9cd091d8fc70f416bf4c8a61,"Merge pull request #9 from mozilla/version-compat

Version compat",Erica,2019-03-21T17:41:02Z,ericawright,ericawright,225,178,47
10,cookie-restrictions-strict-list-study,468d9815413784272dfbedbbf710d5aec9834ce1,add flag to ensure cleanup only runs once.,Erica Wright,2019-03-20T14:37:45Z,ericawright,ericawright,5,5,0
11,cookie-restrictions-strict-list-study,0cc3b73f509472bb03a59dd48a673b328ec165b3,bump version.,Erica Wright,2019-03-11T21:02:58Z,ericawright,ericawright,6,3,3
12,cookie-restrictions-strict-list-study,d5d0126e100ba6d4838776fa6dd0dd45dbe24e68,use updated version of shield utils to be compatible with 67+.,Erica Wright,2019-03-11T21:02:32Z,ericawright,ericawright,209,165,44
13,cookie-restrictions-strict-list-study,b9796506cfc073821ab878641175f5573f466027,add unenroll listener.,Erica Wright,2019-03-11T21:01:22Z,ericawright,ericawright,5,5,0
14,cookie-restrictions-strict-list-study,0f3ceff1379bc9b6b068da3f0f038264da9bc81b,Version bump to 1.1,Nihanth Subramanya,2019-02-26T19:24:52Z,nhnt11,nhnt11,8,4,4
15,cookie-restrictions-strict-list-study,9c28f809125881083be888f89bcbcf9176dd8477,"Handle browser.contentblocking.category pref correctly

* Port multipreffer expectNonDefaults patch

* Recompute category pref after cleanup

* Test that category pref is recomputed after uninstalling

* Add another testcase for recomputing category pref",Erica,2019-02-26T19:15:14Z,ericawright,ericawright,102,91,11
16,cookie-restrictions-strict-list-study,d09bf160aeaa3942013f78422eb9a92861ed9184,"Merge pull request #7 from mozilla/hidden

Hide the addon from about:addons.",Nihanth Subramanya,2019-02-21T20:43:30Z,nhnt11,nhnt11,1,1,0
17,cookie-restrictions-strict-list-study,611c766da7e9085f69df5c04f2913dedc873ee1f,Hide the addon from about:addons.,Erica Wright,2019-02-21T20:38:07Z,ericawright,ericawright,1,1,0
18,cookie-restrictions-strict-list-study,69e8ddff93bfeaf172c6d8dbe06b73706cfa1855,Expire after 365 days - study will be dynamically ended before that via Normandy,Nihanth Subramanya,2019-02-08T09:06:13Z,nhnt11,nhnt11,2,1,1
19,cookie-restrictions-strict-list-study,63e41bd2644054ab882b6419cc213f0d1ce6bee9,"Merge pull request #2 from mozilla/expiry-update

Send telemetry, remove unnecessary study ending URL loop, update expiry to 8 weeks.",Nihanth Subramanya,2019-02-04T14:57:37Z,nhnt11,nhnt11,9,3,6
20,cookie-restrictions-strict-list-study,717445b3f32398e4b9227336ef7687afe17f6dad,"Send telemetry, remove unnecessary study ending URL loop, update expiry to 8 weeks.",Nihanth Subramanya,2019-02-04T14:22:46Z,nhnt11,nhnt11,9,3,6
21,cookie-restrictions-strict-list-study,681fe9d1dfc124a2dae038bd8f8b449aeff4ce59,"Merge pull request #1 from mozilla/changes

Set up the study-specific stuff on top of multipreffer",Nihanth Subramanya,2019-02-01T14:11:18Z,nhnt11,nhnt11,1357,794,563
22,cookie-restrictions-strict-list-study,6ac51eacabb674b0867eb2199205d312d92bf62e,Update cohorts,Nihanth Subramanya,2019-02-01T13:38:30Z,nhnt11,nhnt11,40,13,27
23,cookie-restrictions-strict-list-study,6d8556afe465d4cd6bf1f4d16f0112bec0176263,Update readme,Nihanth Subramanya,2019-02-01T13:36:05Z,nhnt11,nhnt11,31,3,28
24,cookie-restrictions-strict-list-study,677a724e5ee67e08965031b8040885ff874370cd,Update manifest.json and package.json,Nihanth Subramanya,2019-02-01T13:34:25Z,nhnt11,nhnt11,1286,778,508
25,cookie-restrictions-strict-list-study,de8857eab0e04001fb787c7369eda166ebb6f8c7,"Initialize repo from Multipreffer template.

This was done with the following process:
$ git clone --depth=1 --branch=master https://github.com/nhnt11/multipreffer
$ rm -rf multipreffer/.git
$ mv multipreffer/* ./
$ rm -r multipreffer",Nihanth Subramanya,2019-02-01T13:21:37Z,nhnt11,nhnt11,10200,10200,0
