,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,coss,b329d699060bf39433e33847b1877bcf23f58f18,"Merge pull request #265 from comzeradd/footer

Make footer stick to the bottom",Nikos Roussos,2017-08-17T13:07:32Z,comzeradd,comzeradd,62,48,14
1,coss,03d77258e028edd8bd8946b469c497dcd66b3456,Link from the discovery page to the individual entities.,Tasos Katsoulas,2017-08-17T08:56:34Z,akatsoulas,akatsoulas,68,31,37
2,coss,ec55c0595883ec0ecb1e4c3a0c5a90fe51100a05,"Make footer stick to the bottom

* Fix clubs logo padding on mobile",Nikos Roussos,2017-08-17T10:47:08Z,comzeradd,comzeradd,62,48,14
3,coss,49cbc31912a035691e1fa6492bc0fcc3fb4fe10e,"Merge pull request #266 from comzeradd/fix-entity-description

Fix Entity description",Nikos Roussos,2017-08-17T11:45:26Z,comzeradd,comzeradd,2,1,1
4,coss,50c59e3c6560ecc510cc10620e0faf73e641ec48,Fix Entity description,Nikos Roussos,2017-08-17T11:32:33Z,comzeradd,comzeradd,2,1,1
5,coss,8409d54e20c45cf333bdada273452fac34553aa9,"Merge pull request #262 from akatsoulas/club-image-gallery

Add an image gallery.",Tasos Katsoulas,2017-08-17T11:23:23Z,akatsoulas,akatsoulas,113,103,10
6,coss,37d25da2500bc65d8b876e4f28b47b27dbe34781,"Add an image gallery.

* Rename models.
* Update gitignore.",Tasos Katsoulas,2017-08-17T10:22:16Z,akatsoulas,akatsoulas,113,103,10
7,coss,2107d78a4e4ab1df42d18f02a4cc1557b4f727f9,Add profile listing and image on Club template,Nikos Roussos,2017-08-17T11:21:48Z,comzeradd,comzeradd,40,36,4
8,coss,025cd58d3b2c1736e15a5d3d2c53670e0e6ec17a,"Merge pull request #261 from akatsoulas/club-page-parent

Link to the parent page from a club entity.",Tasos Katsoulas,2017-08-17T11:16:01Z,akatsoulas,akatsoulas,6,3,3
9,coss,73baf13e392adb6257a002f51a76327e27e0c16b,Link to the parent page from a club entity.,Tasos Katsoulas,2017-08-17T09:17:55Z,akatsoulas,akatsoulas,6,3,3
10,coss,4af93b31367d5d7342b9edcf2d3931deacaeec63,"Merge pull request #255 from comzeradd/clubs-templates

Add UI theme on Clubs templates",Nikos Roussos,2017-08-17T08:31:19Z,comzeradd,comzeradd,292,277,15
11,coss,25ba641ceaeaf5847af9a3bd2ab753227d3be532,Add UI theme on Clubs templates,Nikos Roussos,2017-08-17T07:23:15Z,comzeradd,comzeradd,292,277,15
12,coss,d319932b5ebf7356bc5d440b302332517587f485,"Merge pull request #254 from akatsoulas/update-docker

Update docker dependencies.",Tasos Katsoulas,2017-08-16T17:35:56Z,akatsoulas,akatsoulas,10,10,0
13,coss,129444e7fc9c74fa8e291267838411894cdd3e94,Update docker dependencies.,Tasos Katsoulas,2017-08-16T17:27:28Z,akatsoulas,akatsoulas,10,10,0
14,coss,d9b3820ee0395bfba3b717866819991f52d7a0d4,"Merge pull request #253 from comzeradd/landing-static

Add static top-level landing page",Nikos Roussos,2017-08-16T16:59:35Z,comzeradd,comzeradd,6722,6717,5
15,coss,f811443e28a5fa683f9dbb9870c55309b2763215,"Add static top-level landing page

* UI css theme
* Add sass support",Nikos Roussos,2017-08-16T16:04:30Z,comzeradd,comzeradd,6722,6717,5
16,coss,fa8f8d99b57ee6b517cf1f01fde09e94ab62eaf2,"Merge pull request #234 from akatsoulas/django-compressor

Install django-compressor and deps.",Tasos Katsoulas,2017-08-16T14:43:59Z,akatsoulas,akatsoulas,53,41,12
17,coss,3bdeeca826ed6132faa302ccf9a33ebea84437a8,Install django-compressor and deps.,Tasos Katsoulas,2017-08-01T11:45:38Z,akatsoulas,akatsoulas,53,41,12
18,coss,0267972004cae95b77195b742f9b044fcd84d5a3,"Merge pull request #252 from comzeradd/club-pages

Add Club pages models",Nikos Roussos,2017-08-15T14:37:02Z,comzeradd,comzeradd,130,109,21
19,coss,33bdfd12a2c88d79033cb9b808e1d4bcdc2e890d,Add Club pages models,Nikos Roussos,2017-08-10T16:16:18Z,comzeradd,comzeradd,130,109,21
20,coss,244ab5e75d4f72f1853c88a13d55255214d82d3e,"Merge pull request #248 from johngian/fix-docker-setup

Fix memcache/postgres docker setup.",John Giannelos,2017-08-09T17:22:36Z,johngian,johngian,12,8,4
21,coss,436830e15b393f2946cac460ec4b4aeb2b101c5f,Fix memcache/postgres docker setup.,John Giannelos,2017-08-09T13:49:36Z,johngian,johngian,12,8,4
22,coss,03e6180fccebaae6eee004c2d4694756bcd644bf,"Merge pull request #247 from flamingspaz/fixslack

Fix slack notification",Yousef Alam,2017-08-09T13:16:31Z,flamingspaz,flamingspaz,2,1,1
23,coss,927f6a699017079b29952927d5fcbfda5462c7ec,Fix slack notification,Yousef Alam,2017-08-09T13:14:08Z,flamingspaz,flamingspaz,2,1,1
24,coss,fe5748fa41d59caf2b667050dfddd394c4a82ae2,Update README.md,John Giannelos,2017-08-09T13:02:58Z,johngian,johngian,2,1,1
25,coss,2e8394a20ec2f0226d6191bd4cf346ca227e0af0,"Merge pull request #243 from akatsoulas/python-memcache

Install python-memcached.",Tasos Katsoulas,2017-08-03T15:16:23Z,akatsoulas,akatsoulas,2,2,0
26,coss,b78e088a09ec054f63fb351a31602603b6413c70,Install python-memcached.,Tasos Katsoulas,2017-08-03T15:14:24Z,akatsoulas,akatsoulas,2,2,0
27,coss,49f3ab0522bae511a32d2d53d8c5b7eef3e188a6,"Merge pull request #242 from akatsoulas/disable-dnt

Disable GA for now.",Tasos Katsoulas,2017-08-03T15:03:24Z,akatsoulas,akatsoulas,2,0,2
28,coss,38a85f73b8a47759397cb3690d089216648d5744,Disable GA for now.,Tasos Katsoulas,2017-08-03T15:02:55Z,akatsoulas,akatsoulas,2,0,2
29,coss,be93af69b2cb46dbd85b21d6a08dd821e60b85c7,"Merge pull request #241 from akatsoulas/fix-settings

Import Csv in settings.",Tasos Katsoulas,2017-08-03T13:55:30Z,akatsoulas,akatsoulas,2,1,1
30,coss,2c30daae6bebdcb78cb216e77266729d386df10b,Import Csv in settings.,Tasos Katsoulas,2017-08-03T13:54:02Z,akatsoulas,akatsoulas,2,1,1
31,coss,8b0ee2d093fa3b38930ca9c19f6d747430811a76,"Merge pull request #240 from flamingspaz/vars

Add SITE_URL and ALLOWED_HOSTS settings",Tasos Katsoulas,2017-08-03T13:44:17Z,akatsoulas,akatsoulas,2,2,0
32,coss,a7e1fb02194b89c852e15b93a548786a515b7d76,Add SITE_URL and ALLOWED_HOSTS settings,Yousef Alam,2017-08-03T13:25:03Z,flamingspaz,flamingspaz,2,2,0
33,coss,f165b33de19b5d65aa65b017d712d24c593c9e63,"Merge pull request #239 from akatsoulas/analytics

Add DNT lib and GA code.",Tasos Katsoulas,2017-08-03T13:40:24Z,akatsoulas,akatsoulas,85,50,35
34,coss,5ca27d95ec2a925e1923a7498d49e5d7f71e73e1,Add DNT lib and GA code.,Tasos Katsoulas,2017-08-03T13:36:48Z,akatsoulas,akatsoulas,85,50,35
35,coss,318321d5bf9d69eff8fad5ad75ccf4337bdb903a,"Merge pull request #236 from flamingspaz/jenkins

Add Jenkinsfile",Yousef Alam,2017-08-03T11:02:58Z,flamingspaz,flamingspaz,51,51,0
36,coss,179b9faf7bdd4704d49663fa13c59b68a7112867,Add Jenkinsfile,Yousef Alam,2017-08-03T10:33:57Z,flamingspaz,flamingspaz,51,51,0
37,coss,43a11e48b0863e4abb3c01750effa151698c92b5,"Merge pull request #231 from akatsoulas/django-whitenoise

Use whitenoise for static file serving.",Tasos Katsoulas,2017-08-02T09:04:11Z,akatsoulas,akatsoulas,6,6,0
38,coss,66950b75b961117e56c3c376b68898e01ed3fbfe,Use whitenoise for static file serving.,Tasos Katsoulas,2017-08-01T11:27:54Z,akatsoulas,akatsoulas,6,6,0
39,coss,a042aa401a66db47683f8861156c3f98f9ac3c2b,"Merge pull request #233 from akatsoulas/editor-config

Add editor and setup confs.",Tasos Katsoulas,2017-08-01T15:01:19Z,akatsoulas,akatsoulas,20,20,0
40,coss,c8aca10084b60e4eb71c3a1b5f88bb6caa64c1c8,Add editor and setup confs.,Tasos Katsoulas,2017-08-01T12:00:53Z,akatsoulas,akatsoulas,20,20,0
