,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,crash-clouseau,5de7b1978473077bd31ada61e945495c5b2c234b,Use em rather than px for image size,Calixte Denizet,2018-02-01T14:21:28Z,calixteman,calixteman,6,3,3
1,crash-clouseau,53b69a98bc72e28d805dc3651c49351371cf0ebc,Add a bigger Github icon,Calixte Denizet,2018-02-01T14:15:09Z,calixteman,calixteman,34,21,13
2,crash-clouseau,d5abe840533fe9b667fdf5257e8e8bb5e34f0a2f,Remove a pprint,Calixte Denizet,2018-02-01T13:29:34Z,calixteman,calixteman,1,0,1
3,crash-clouseau,1504d16f2b021e33dfdbb02808eb8a0fe370ed87,Add a README,Calixte Denizet,2018-02-01T13:28:16Z,calixteman,calixteman,36,36,0
4,crash-clouseau,f640b72f4f0818e952f0ff9b109f3091ce86ed13,Add code coverage,Calixte Denizet,2018-02-01T13:24:48Z,calixteman,calixteman,30,30,0
5,crash-clouseau,893d7f3efbb9f54524a85598a5bf8ca693d0950b,Update configuration file,Calixte Denizet,2018-02-01T13:08:34Z,calixteman,calixteman,13,8,5
6,crash-clouseau,f847b181a41449677483ba291d5e94a71ff4ca82,Add a test for java backtrace stuff,Calixte Denizet,2018-02-01T12:41:59Z,calixteman,calixteman,111,101,10
7,crash-clouseau,a241a373781a6eea343d79ed82065e6df966118d,Correct github url in templates,Calixte Denizet,2018-02-01T08:43:40Z,calixteman,calixteman,10,5,5
8,crash-clouseau,db7485163b81bf79c6dd8f91dda589a33c5d6a63,Set default timeout for the worker,Calixte Denizet,2018-01-31T21:25:20Z,calixteman,calixteman,2,1,1
9,crash-clouseau,a17f3dda53069434793cd4bea103f5ebc743a330,Add a scheduler,Calixte Denizet,2018-01-31T17:32:26Z,calixteman,calixteman,20,20,0
10,crash-clouseau,2e6018ab2cf17750298df49e9c5deb06f97d9e90,Put redis url in local.json,Calixte Denizet,2018-01-31T17:25:55Z,calixteman,calixteman,7,6,1
11,crash-clouseau,b5d8749b8c2507773540229f2ea69764d63abf6d,First commit,Calixte Denizet,2018-01-31T17:21:54Z,calixteman,calixteman,3102,3102,0
12,crash-clouseau,ab0683a55d0da42e90e947913aa2b02bc1d3e704,Fix typo,Calixte Denizet,2021-03-25T20:17:12Z,calixteman,calixteman,2,1,1
13,crash-clouseau,7ab0c62d16d47e477aaf4cb0364d3be415e5f96e,Pin sqlalchemy version,Calixte Denizet,2021-03-25T20:15:57Z,calixteman,calixteman,2,1,1
14,crash-clouseau,9ed64ff3ca836f6df8c042ddf2bdaa619b6f22fb,Remove textual query,Calixte Denizet,2021-03-25T18:48:30Z,calixteman,calixteman,6,3,3
15,crash-clouseau,cebd58fa959ebb751fd948815cd559fd1380eb2f,Workaround for heroku issue with SQLAlchemy,Calixte Denizet,2021-03-24T21:46:02Z,calixteman,calixteman,8,6,2
16,crash-clouseau,f5d04d9590cd7d679a212cfcb0bba2b93ffc08f4,Update runtime to 3.9.2,Calixte Denizet,2021-03-24T21:25:03Z,calixteman,calixteman,2,1,1
17,crash-clouseau,e70a41bacb5c8671dd0aa8baa71900075dcf2c4c,Upgrading to heroku-20,Calixte Denizet,2021-03-24T21:19:13Z,calixteman,calixteman,0,0,0
18,crash-clouseau,ec76e7cb422c3a9fdcea8f776ede4a60a3a4ab26,Update runtime,Calixte Denizet,2021-01-21T19:41:56Z,calixteman,calixteman,2,1,1
19,crash-clouseau,dd7ece8a4195446dc117ebbf39dea68375b9eb94,Remove wrong url,Calixte Denizet,2021-01-21T19:38:23Z,calixteman,calixteman,1,0,1
20,crash-clouseau,4e007dc3f82826fc270c54364fc8a6ba510168f0,Add docker,Calixte Denizet,2020-05-14T17:12:03Z,calixteman,calixteman,89,84,5
21,crash-clouseau,207f3adaab30f13ab419ccc7b14ba5c2fc9bca03,Fix sql errors due to sqlalchemy update,Calixte Denizet,2020-04-14T15:36:07Z,calixteman,calixteman,936,585,351
22,crash-clouseau,d832ded776d2e1c6fe846c656ff5ede35084e451,Update crash-stats url,Calixte Denizet,2020-04-14T11:58:11Z,calixteman,calixteman,2,1,1
23,crash-clouseau,484c83f2ada77f913053417e792fa1d19726bb07,Update runtime,Calixte Denizet,2020-04-14T09:03:59Z,calixteman,calixteman,2,1,1
24,crash-clouseau,dbfa1a5ea766cae96e36406e8da2f44ab763bdb2,Update lmd to 0.1.66,Calixte Denizet,2020-04-14T08:56:06Z,calixteman,calixteman,2,1,1
25,crash-clouseau,e683d4979a2dcd2fd13c72e63869194e1b9d3e27,"Merge pull request #7 from willkg/switch-to-buildhub2

Switch to Buildhub2 (#6)",calixteman,2019-07-04T17:16:18Z,calixteman,calixteman,10,5,5
26,crash-clouseau,f00afbd26ce492e4e486660af0ff52db62ff18e0,"Fix regexps after linting fix

Some things were escaped for Python strings, but since I made the strings
raw strings, we don't need the Python string escapes anymore.",Will Kahn-Greene,2019-07-04T15:40:28Z,willkg,willkg,4,2,2
27,crash-clouseau,d3d1a219d1d900e03d0894aaf6fbe71d8d60cb0a,Fix linting issues,Will Kahn-Greene,2019-07-02T16:39:46Z,willkg,willkg,8,4,4
