,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,crashathon,16766915d3bc2af5945f8c4b4ce6e70f87a1d6a0,More cosmetic fixes.,Jannis Leidel,2016-04-19T18:59:43Z,jezdez,jezdez,30,1,29
1,crashathon,d91dad839f7b5c5c98b644b414fe6c0723018247,Undo changes to constants.,Jannis Leidel,2016-04-19T18:46:50Z,jezdez,jezdez,27,19,8
2,crashathon,7eb25c3f840440361c9b7880c4c29a1c677e1343,Some tweaks to the iPython rendering.,Jannis Leidel,2016-04-19T18:45:31Z,jezdez,jezdez,68,20,48
3,crashathon,89c0d1d64c179a0621bbec6831333a8204149169,Create the output dir before storing crashes to JSON files.,Jannis Leidel,2016-04-19T18:45:20Z,jezdez,jezdez,10,8,2
4,crashathon,ac5b1eb52270a9dd768efffb94aee0f0a85967e8,Use 'output' prefix for result files after a hint on IRC.,Jannis Leidel,2016-04-18T13:55:04Z,jezdez,jezdez,17,15,2
5,crashathon,48cf8154ba48a8290310c8db430deb2147cb3650,"Merge pull request #8 from mozilla/spark-job

Add IPython notebook (and the Python source) to be used for an scheduled Spark job.",Jannis Leidel,2016-04-15T17:56:43Z,jezdez,jezdez,312,312,0
6,crashathon,66327df0abdb41f0520ed5784b364f2f389a485a,Add IPython notebook (and the Python source) to be used for an scheduled Spark job.,Jannis Leidel,2016-04-15T17:41:41Z,jezdez,jezdez,312,312,0
7,crashathon,5b1ec2abeb8d2453d14712229d232751b098203c,"Merge pull request #7 from mozilla/hide-clientid

Don't send clientId in API",Allen Short,2016-04-14T18:37:56Z,Allen Short,Allen Short,22,9,13
8,crashathon,b28706c9b73a71416ceb8d193120434ce45181f6,CORS,Allen Short,2016-04-13T21:41:08Z,Allen Short,Allen Short,6,6,0
9,crashathon,ac62c0ce0deb45f416d09936570555ddcc1f5190,Don't send clientId in API,Rob Hudson,2016-04-13T15:48:19Z,robhudson,robhudson,22,9,13
10,crashathon,311f3b49ae8a55a08d08eb4330e886be932c3574,JSON only,Allen Short,2016-04-12T16:30:36Z,Allen Short,Allen Short,5,4,1
11,crashathon,bd8becd3542e31ee0503296ca94e1e37bd91034d,fix ALLOWED_HOSTS,Allen Short,2016-04-12T03:16:13Z,Allen Short,Allen Short,2,1,1
12,crashathon,4326a478cf1542b2e9e1cb98d260571edfcfd75e,deploy with gunicorn,Allen Short,2016-04-12T02:55:32Z,Allen Short,Allen Short,1,1,0
13,crashathon,6bc2e56c4bc47a68af8290a4e5778789039264ec,heroku Procfile,Allen Short,2016-04-12T02:45:09Z,Allen Short,Allen Short,0,0,0
14,crashathon,f5a2a5b3aa022081eca63f8e7606fe202bffc56d,heroku Procfile,Allen Short,2016-04-12T02:31:43Z,Allen Short,Allen Short,1,1,0
15,crashathon,6f4b3616b95c3209c4e8bcb3b06910a914a5000c,docstrings,Allen Short,2016-04-09T02:00:38Z,Allen Short,Allen Short,6,6,0
16,crashathon,dc1952e99e5e410e379ebbb9f00495aabdafee98,Country/version filtering,Allen Short,2016-04-09T02:00:11Z,Allen Short,Allen Short,78,71,7
17,crashathon,3e482fe58faca3690b74f222c20f33524b245cd5,"Merge pull request #6 from mozilla/travis

Travis CI set up",Allen Short,2016-04-08T23:48:59Z,Allen Short,Allen Short,82,71,11
18,crashathon,9a6e20cbaae4d05a139d4a47321a8bcef4cf05fd,Add Travis and tox configs,Rob Hudson,2016-04-08T23:28:49Z,robhudson,robhudson,57,57,0
19,crashathon,1daf8a0c0dd94e947c3b046c43a036e1741f3f81,Update to use python-decouple for settings overrides,Rob Hudson,2016-04-08T23:01:46Z,robhudson,robhudson,25,14,11
20,crashathon,12cf257b6e9a3e3283a036520d54bf8d53f1ddb2,use a DateTime field for creation,Allen Short,2016-04-08T22:16:48Z,Allen Short,Allen Short,6,3,3
21,crashathon,c6138708d7465234b4452008ec75a7490a6af6b2,typo,Allen Short,2016-04-08T21:28:23Z,Allen Short,Allen Short,2,1,1
22,crashathon,e1ba5cf370d0a1bb83d9d853efb96b7ceae2b009,"Switch to Postgres, add a fake-data generator.",Allen Short,2016-04-08T21:18:39Z,Allen Short,Allen Short,172,110,62
23,crashathon,f25ab3146afc85e074af1561fa0ded40381d38b2,A skateboard with one wheel,Allen Short,2016-04-07T18:09:14Z,Allen Short,Allen Short,276,276,0
