,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,crashstop,22bfc4cc51ce0a594b709178a5f6ad84ca21a251,Update date every 2 hours,Calixte Denizet,2017-11-01T18:46:29Z,calixteman,calixteman,6,3,3
1,crashstop,8ba0e6a96b673d79116c94b43c803455020ae06d,Divide by 2 the memory use and the computation time,Calixte Denizet,2017-11-01T17:43:43Z,calixteman,calixteman,542,328,214
2,crashstop,bc84274c20b9271c410319465b252fd0a82d1572,Replace use of 'raw' & 'installs',Calixte Denizet,2017-10-31T08:35:56Z,calixteman,calixteman,9,3,6
3,crashstop,149ede1d1379ea88a54587188eb7236b2e14368f,Compute if a patch succeeded or not,Calixte Denizet,2017-10-31T08:31:09Z,calixteman,calixteman,197,164,33
4,crashstop,58a6950b59bcd759f5c52a2be8b436de9dc7bc0e,Remove Thunderbird because of memory issues,Calixte Denizet,2017-10-30T23:23:35Z,calixteman,calixteman,3,1,2
5,crashstop,27cb8481a58eab7bcbdf4b357d5b719def04ecd4,4 versions for Fx release,Calixte Denizet,2017-10-30T11:45:00Z,calixteman,calixteman,5,3,2
6,crashstop,991678d6e0b6ccefeef7d61b1665b19a7d7386e7,Add again Thunderbird,Calixte Denizet,2017-10-30T10:39:45Z,calixteman,calixteman,5,3,2
7,crashstop,3057256429dd534b4d6170983ef570c31097dfe4,Decrease facets size to avoid memory issues,Calixte Denizet,2017-10-30T10:26:58Z,calixteman,calixteman,9,7,2
8,crashstop,2759891742350ecd3349099a0ee136b26384ca8a,Remove Thunderbird as product because it creates memory issue,Calixte Denizet,2017-10-30T10:12:41Z,calixteman,calixteman,3,1,2
9,crashstop,dd5607a1db682076638159880439cf3a962d8a99,Change addon to webextension,Calixte Denizet,2017-10-29T16:26:15Z,calixteman,calixteman,0,0,0
10,crashstop,06ae422b3f355c9afffcb44b9ea32c06bee18589,Add a screenshot for webextension,Calixte Denizet,2017-10-29T16:19:45Z,calixteman,calixteman,0,0,0
11,crashstop,6efbebf308564a1acb676f70edece556ccc3a3a5,Forgot a link on WebExtension,Calixte Denizet,2017-10-29T16:07:38Z,calixteman,calixteman,1,1,0
