,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,csp-logger,575f5228780fcf429c45d0499a7cdcdbbd5908ad,"Merge pull request #17 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Zbyszek Tenerowicz,2019-09-26T21:41:02Z,naugtur,naugtur,15,15,0
1,csp-logger,56df3d7c6e0fc02dc1537506a5b15337efc162fb,0.4.0,Naugtur,2019-09-26T21:40:03Z,naugtur,naugtur,2,1,1
2,csp-logger,1e3e680fd1222ec2a60c1d5cd1377136a8608373,"Merge pull request #18 from SpenQ/master

Added Mongo and updated packages",Zbyszek Tenerowicz,2019-09-26T21:37:35Z,naugtur,naugtur,84,65,19
3,csp-logger,615db6f07687aeffe6759a307da73a44840a666b,upgraded minimal node version,SpenQ,2019-09-23T08:47:30Z,SpenQ,SpenQ,2,1,1
4,csp-logger,82ba820123c3cd7e89add530c453af52a15c4454,"Merge branch 'mongo' into 'master'

Mongo

See merge request spenq/csp-logger!2",Sp&Q,2019-09-16T21:43:19Z,SpenQ,SpenQ,59,47,12
5,csp-logger,161bd6e67fa805cb54f81e3fb861b3c520099b8e,added mongo,SpenQ,2019-09-16T20:40:23Z,SpenQ,SpenQ,83,36,47
6,csp-logger,57f132df42f9ecfe4ed6b9970d7f7bd86001ee8e,merge store.js,SpenQ,2019-09-16T20:37:57Z,SpenQ,SpenQ,49,30,19
7,csp-logger,7de4681bafb644497646f7901e0a176250d9c977,"Merge branch 'packages' into 'master'

updated packages

See merge request spenq/csp-logger!1",Sp&Q,2019-09-16T20:34:30Z,SpenQ,SpenQ,49,30,19
8,csp-logger,f2ad54f60515118873d21cb29f24f8d25f34f75c,updated packages,SpenQ,2019-09-16T20:32:02Z,SpenQ,SpenQ,49,30,19
9,csp-logger,a73fab097a22aa4b231fe9e5d27c4683c9d3e47e,added mongo,SpenQ,2019-09-16T20:08:12Z,SpenQ,SpenQ,46,46,0
10,csp-logger,8e60d2d1508261b8d21a282f2085e90967472777,"Add Mozilla Code of Conduct file

Fixes #16.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-28T04:22:26Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
11,csp-logger,a139e9547cdf1bf6f6c978fc0926ec6ee72d77ab,"Merge pull request #13 from michaelmior/yarn-lock

Add yarn.lock to .gitignore",Zbyszek Tenerowicz,2017-05-02T10:45:31Z,naugtur,naugtur,1,1,0
12,csp-logger,108306779893d34e37e3d0ee74af436d89b0d54e,Add yarn.lock to .gitignore,Michael Mior,2017-05-01T21:44:59Z,michaelmior,michaelmior,1,1,0
13,csp-logger,7e18e378b16c10dff0a18dea5cd8d3f7e8bdbdd5,0.3.1,Naugtur,2017-03-17T21:46:57Z,naugtur,naugtur,2,1,1
14,csp-logger,40a7fa2eb1f590c7a0db11d12c53373d6c7001bb,"Merge pull request #12 from kpcyrd/hotfix/health

Forgot to pass config object",Zbyszek Tenerowicz,2017-03-08T19:56:24Z,naugtur,naugtur,2,1,1
15,csp-logger,232f7087a3317749ebf1c37702564d879f575403,Forgot to pass config object,kpcyrd,2017-03-07T13:57:54Z,kpcyrd,kpcyrd,2,1,1
16,csp-logger,03e150da97a78c3b8e9a2849b65c634d4676204c,0.3.0,Naugtur,2017-02-24T10:29:47Z,naugtur,naugtur,2,1,1
17,csp-logger,72391defa2414841260d694b90dca4916f53bc7e,update ocntributing instructions after removing grunt,Naugtur,2017-02-24T10:29:08Z,naugtur,naugtur,2,1,1
18,csp-logger,3ae6102e3b2b1439d7de6ad393d2509fcca83711,"upgrade beautify and hint, drop grunt dependency",Naugtur,2017-02-24T10:15:08Z,naugtur,naugtur,299,130,169
19,csp-logger,c3025a685e109914d63bfb45ae9d3a1a84343fe7,"Merge pull request #10 from kpcyrd/feature/health

Add /healthz endpoint",Zbyszek Tenerowicz,2017-02-24T09:41:30Z,naugtur,naugtur,53,53,0
20,csp-logger,a90274b69f3b5888117a1422153620b287c90469,Pass config object to healthcheck function,kpcyrd,2017-02-23T17:36:34Z,kpcyrd,kpcyrd,2,1,1
21,csp-logger,20a6b8bd79d8d5e39a2fd3277d74af18319d72d9,Make health endpoint configurable,kpcyrd,2017-02-23T17:35:06Z,kpcyrd,kpcyrd,44,33,11
22,csp-logger,77bf9d5d8d714b5cdda8a3314b4445e9f35d8095,Add myself to contributors,kpcyrd,2017-02-21T19:09:56Z,kpcyrd,kpcyrd,4,4,0
23,csp-logger,fe9ed62a0800f59adee5ec90d498ed9513857426,Add /healthz endpoint,kpcyrd,2017-02-21T19:08:50Z,kpcyrd,kpcyrd,27,27,0
24,csp-logger,54bdc2747076405166e7d36baa544864e44f41e9,Markdown tweak,Naugtur,2015-01-20T17:07:57Z,naugtur,naugtur,6,3,3
25,csp-logger,4ba9f0d15e40a72eaee1572ac125bf9e9ea49b01,0.2.0,Naugtur,2015-01-20T17:02:59Z,naugtur,naugtur,19,11,8
26,csp-logger,4579ca763ac1738d422020da6c42877da218ec78,updated package.json,Naugtur,2015-01-20T17:02:47Z,naugtur,naugtur,5,4,1
