,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,curriculum-localization,52350b00509b3acfea7851ab696735e9b38a2b2b,Fix broken link in curriculum tab,Gideon Thomas,2016-11-21T17:54:30Z,Gideon Thomas,Gideon Thomas,2,1,1
1,curriculum-localization,356c8996e50e1cc72a34a9c9b0d5ce0ab2d8147e,Update last date for submission,Gideon Thomas,2016-11-17T20:45:05Z,gideonthomas,gideonthomas,2,1,1
2,curriculum-localization,76e658d34f2a5a5fbc23980aa7fab32cfda371bf,link to activity list in How to Contribute section,Gideon Thomas,2016-11-04T17:39:56Z,gideonthomas,gideonthomas,2,1,1
3,curriculum-localization,7dfaee883f259db32fe7dcebd5d9da07d9853b3e,Weird urls for fonts,Gideon Thomas,2016-10-29T21:35:10Z,Gideon Thomas,Gideon Thomas,12,6,6
4,curriculum-localization,37abdb51c02697722fd3ec85eb626f1afa05ed92,Final content,Gideon Thomas,2016-10-29T21:28:43Z,Gideon Thomas,Gideon Thomas,93,82,11
5,curriculum-localization,fb11be8df5e1ea9c3814cbe2fe01e86fbfb16934,Contact,Gideon Thomas,2016-10-28T23:42:19Z,Gideon Thomas,Gideon Thomas,205,187,18
6,curriculum-localization,3846a6066488f0f24dbb98bb57142b2adcf9c300,Testing internal links,Gideon Thomas,2016-10-28T16:53:11Z,Gideon Thomas,Gideon Thomas,6,3,3
7,curriculum-localization,4b317601b366f5347fefb4a0d0cdcb3d077f384c,Oopsie,Gideon Thomas,2016-10-28T16:43:41Z,Gideon Thomas,Gideon Thomas,2,1,1
8,curriculum-localization,e2a7ab5c1d2d7232c22b8c52cf605e5183d1be4f,A bunch of stuff,Gideon Thomas,2016-10-28T16:36:45Z,Gideon Thomas,Gideon Thomas,294,280,14
9,curriculum-localization,11492f5de2c78c4ced5168e9a11781a8370fc54e,Fix routes to use root,Gideon Thomas,2016-10-26T16:15:37Z,Gideon Thomas,Gideon Thomas,9,6,3
10,curriculum-localization,850b0f7e4a9d4335530737a10664d531568a4f06,Sass,Gideon Thomas,2016-10-25T21:23:01Z,Gideon Thomas,Gideon Thomas,24,14,10
11,curriculum-localization,09be58bdff03193373e178a19eba4e40ffed13d9,Update index.html,Gideon Thomas,2016-10-25T21:07:12Z,gideonthomas,gideonthomas,4,2,2
12,curriculum-localization,c6aee64346716abf7da8c663f02511e6276b2722,Deploy script gitignore,Gideon Thomas,2016-10-25T21:03:44Z,Gideon Thomas,Gideon Thomas,4,4,0
13,curriculum-localization,ea284a23686f9c9270d3ee759e57fcd6b2427245,Update node for travis,Gideon Thomas,2016-10-25T20:58:54Z,Gideon Thomas,Gideon Thomas,2,1,1
14,curriculum-localization,47a9447e535f3c147c607034fab14de0341490aa,Scott's stupid solution,Gideon Thomas,2016-10-25T20:54:59Z,Gideon Thomas,Gideon Thomas,22,20,2
15,curriculum-localization,2d657774542f715433cd0cbaf8255177d55791e6,"Merge pull request #1 from ScottDowne/believe-me

Trying a precompile to static html.",Gideon Thomas,2016-10-25T20:30:45Z,gideonthomas,gideonthomas,14,7,7
16,curriculum-localization,c7dcc20c97320d5247679652868d56063910c3e7,Trying a precompile to static html.,ScottDowne,2016-10-25T20:28:43Z,ScottDowne,ScottDowne,14,7,7
17,curriculum-localization,a0e7a0b140344672ec671af05bdf9751616db12f,Testing,Gideon Thomas,2016-10-25T19:38:40Z,Gideon Thomas,Gideon Thomas,579,499,80
18,curriculum-localization,b6226595ec6409afe87a2aa1a7779939a8c9d688,About the Campaign,Gideon Thomas,2016-10-24T14:57:05Z,Gideon Thomas,Gideon Thomas,51,41,10
19,curriculum-localization,17224939821767d21dc3d44f6f0a6198a276b7e2,More content,Gideon Thomas,2016-10-23T18:04:24Z,Gideon Thomas,Gideon Thomas,84,72,12
20,curriculum-localization,cb2532626b11c8a41105c30efc9cbaf176c7724e,Did not use var,Gideon Thomas,2016-10-23T15:53:41Z,Gideon Thomas,Gideon Thomas,2,1,1
21,curriculum-localization,c130a8353de675d649df61d8090c3361a78c5342,Fix base route,Gideon Thomas,2016-10-23T15:44:50Z,Gideon Thomas,Gideon Thomas,24,20,4
22,curriculum-localization,57fecf89b1adb09cb62de0e692cf22a4291d6851,Fix test script,Gideon Thomas,2016-10-22T23:12:29Z,Gideon Thomas,Gideon Thomas,2,1,1
23,curriculum-localization,4cd3e5047fb0b09d1795782e3f4540f1cf93c299,Deploy script,Gideon Thomas,2016-10-22T23:07:04Z,Gideon Thomas,Gideon Thomas,52,52,0
24,curriculum-localization,f9677fe7fba28721d03d923c215dedd414ea3892,Layout,Gideon Thomas,2016-10-22T22:56:27Z,Gideon Thomas,Gideon Thomas,379,364,15
25,curriculum-localization,fb34a03929f35e31dfdd69880cf66fbba3e79f00,Initial commit,Gideon Thomas,2016-10-19T17:41:44Z,gideonthomas,gideonthomas,412,412,0
