,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,datazilla,842ecfe7283293d89916660fac1a476da5202cf4,added 3 classifier system todo,Jonathan Eads,2012-05-02T20:53:40Z,jeads,jeads,2,1,1
1,datazilla,2906e649b7e09aeed4645dfcbe5648953591ffbe,added 3 classifier system todo,Jonathan Eads,2012-05-02T20:52:13Z,jeads,jeads,2,1,1
2,datazilla,ea13a7340aa46d196df5f345065f7538377feedb,added 3 classifier system todo,Jonathan Eads,2012-05-02T20:49:13Z,jeads,jeads,144,72,72
3,datazilla,63b224bab0cf3a67c779ba30cfd52caae92a21ed,added 3 classifier system todo,Jonathan Eads,2012-05-02T20:41:20Z,jeads,jeads,138,138,0
4,datazilla,27625b0c62d992784528ee71ad7706c69f20d86c,switched to a 30 day default for test run summaryies,Jonathan Eads,2012-05-02T15:59:38Z,jeads,jeads,6,5,1
5,datazilla,0ed09036e08bc81938a6dcbac3683d200da81d1d,more docs,Jonathan Eads,2012-05-02T15:22:58Z,jeads,jeads,2,1,1
6,datazilla,eabb99c4724576bce859d61bf72766b76ce52cdc,more docs,Jonathan Eads,2012-05-02T15:18:32Z,jeads,jeads,2,1,1
7,datazilla,8366b63020610452209d9a8250128382584c7066,more docs,Jonathan Eads,2012-05-01T23:45:04Z,jeads,jeads,2,1,1
8,datazilla,1eeac6079d746e6e67775356f02a467647c9d9ae,fixed null fields,Jonathan Eads,2012-05-01T23:44:14Z,jeads,jeads,8,4,4
9,datazilla,9db2200f80046e2b3d1339e9d568153cf1bca3e0,more docs,Jonathan Eads,2012-05-01T23:24:54Z,jeads,jeads,4,2,2
10,datazilla,16a6afb16eac6c796562540a4e426bce11202c39,more docs,Jonathan Eads,2012-05-01T22:20:20Z,jeads,jeads,4,2,2
11,datazilla,755e3c62440d3c69c0ca88b5c69d79614c48e382,more docs,Jonathan Eads,2012-05-01T22:17:51Z,jeads,jeads,2,1,1
12,datazilla,3ae344008c26ac940922700f569605b758edcc36,more docs,Jonathan Eads,2012-05-01T22:17:04Z,jeads,jeads,1,1,0
13,datazilla,ec7007282ece371c5047d342842c4ab3b11e1455,more docs,Jonathan Eads,2012-05-01T22:15:58Z,jeads,jeads,14,13,1
14,datazilla,54ae7c26d9c9c6196dd693e21ce6664d21c9357f,more docs,Jonathan Eads,2012-05-01T21:41:36Z,jeads,jeads,79,57,22
15,datazilla,dbf0cbaf4534a747bf214fc41c5ebc58d2c584e5,removed json syntax,Jonathan Eads,2012-05-01T21:24:56Z,jeads,jeads,2,1,1
16,datazilla,7f809b3c21e8d8bdc713884e9a4d07f2e53dda6d,set json syntax,Jonathan Eads,2012-05-01T21:23:57Z,jeads,jeads,2,1,1
17,datazilla,de42b291312c892e13e69fa5e04320af68b07731,Added comments,Jonathan Eads,2012-05-01T21:22:05Z,jeads,jeads,57,49,8
18,datazilla,d2b902f4200783216561d9f766ab910af563d384,cleaned up json,Jonathan Eads,2012-05-01T20:54:05Z,jeads,jeads,600,300,300
19,datazilla,64fbce5c0d5e26b0681df57873df02d1eeb3b76b,template schema for performance test data,Jonathan Eads,2012-05-01T20:35:28Z,jeads,jeads,1471,1471,0
20,datazilla,2eb06b1aa11f5f7571a02fe3fc1119fa042dc13a,fixed new setTestData(request) method,Jonathan Eads,2012-05-01T19:41:40Z,jeads,jeads,19,11,8
21,datazilla,7b58ae0d6dbc5bb9d7eeaa2b923ca36dc46c78d3,added image ref,Jonathan Eads,2012-04-27T23:55:13Z,jeads,jeads,2,1,1
22,datazilla,bd05edd876bb59d832f70681aba45e7b248f7bc9,added image ref,Jonathan Eads,2012-04-27T23:51:47Z,jeads,jeads,12,7,5
23,datazilla,04cac6f1e33e2c5c1c98ccd87605de0e1995deb8,added image ref,Jonathan Eads,2012-04-27T23:47:30Z,jeads,jeads,4,3,1
24,datazilla,bf6ef1a515fbe8114efecb743f5e801e4a9e19e1,added image ref,Jonathan Eads,2012-04-27T23:45:12Z,jeads,jeads,4,2,2
25,datazilla,bc6c6fdac5c78cf6bc5ad47b7bbb36be0de92d29,added image ref,Jonathan Eads,2012-04-27T23:42:59Z,jeads,jeads,33,16,17
26,datazilla,3fd25d20f07bb1ef459c2d8bbd6f8697b581e278,added image ref,Jonathan Eads,2012-04-27T23:25:09Z,jeads,jeads,4,0,4
27,datazilla,29981d41de359565374c643f60b08c6d9dd64bd6,added image ref,Jonathan Eads,2012-04-27T23:20:22Z,jeads,jeads,2,1,1
28,datazilla,65c41512aefa5bb195ec29f755b652f34c3537aa,added image ref,Jonathan Eads,2012-04-27T23:18:14Z,jeads,jeads,2,1,1
29,datazilla,bfe32799f733dfac999d761ff138e18677fc0d53,added image ref,Jonathan Eads,2012-04-27T23:17:23Z,jeads,jeads,4,4,0
30,datazilla,cfd19736309ea54fadfbb5b12e23a5e9398262c5,Merge branch 'master' of github.com:jeads/datazilla,Jonathan Eads,2012-04-27T23:12:58Z,jeads,jeads,127,100,27
31,datazilla,ceacf594ce4f6c148ddcf9704c6aafab1846d039,image for README.md,Jonathan Eads,2012-04-27T23:12:28Z,jeads,jeads,0,0,0
32,datazilla,7981da46be162a15ddff51b5b50a7d9f06a2f0ba,more docs!,jeads,2012-04-27T22:58:56Z,jeads,jeads,18,9,9
33,datazilla,be3a8ead3a4c8e678ff08cf6230d4a9dbe2d4041,more docs!,jeads,2012-04-27T22:50:17Z,jeads,jeads,2,1,1
34,datazilla,563de78d2147876b607c6958b0fa944453a39211,more docs!,jeads,2012-04-27T22:47:00Z,jeads,jeads,14,8,6
35,datazilla,2cc995e705a42d8b72005dff48d252e44389bd93,more docs!,jeads,2012-04-27T22:23:34Z,jeads,jeads,79,40,39
36,datazilla,d9d965c6935bb44b0d3cd4d86da4479e40697339,more docs!,jeads,2012-04-27T22:18:39Z,jeads,jeads,49,25,24
37,datazilla,8761faa616f630a1ede76fd5527d13b54bd1f054,more docs!,jeads,2012-04-27T22:13:56Z,jeads,jeads,15,9,6
38,datazilla,2a33d56e40182eb07bd94faafcdec290e5cbb112,more docs!,jeads,2012-04-27T21:52:45Z,jeads,jeads,14,7,7
