,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,deepspeech-pkguploadworker,5ca33b96f7fcdfef1ef26ac9709afbb1e746a27c,Handle new repo name,Reuben Morais,2020-12-23T22:56:03Z,reuben,reuben,53,31,22
1,deepspeech-pkguploadworker,121373dcc1959c0fa5d2450df4acd94d6fcfa722,Clean up partially uploaded Github assets before uploading,Reuben Morais,2020-12-21T11:30:36Z,reuben,reuben,14,10,4
2,deepspeech-pkguploadworker,4a12fbe4b5214cf2c2b9a766ade34c48b4d90bc4,Switch to DeepSpech NuGet account,Reuben Morais,2020-12-21T11:10:25Z,reuben,reuben,2,1,1
3,deepspeech-pkguploadworker,1c84b38fc06c5fb8ebda7b105bcbbf2946c250c3,Force npm publish --access=public,Alexandre Lissy,2020-08-07T14:14:29Z,Alexandre Lissy,Alexandre Lissy,3,2,1
4,deepspeech-pkguploadworker,f0e52868f0cc4530c77e7136f4501e31299a52ee,Handle package org/owner username distinction in Bintray,Reuben Morais,2020-08-06T14:44:43Z,reuben,reuben,9,6,3
5,deepspeech-pkguploadworker,d9d84ab0864e9fc14f13775e693ed29fb5705a8e,Handle new Bintray config for renamed package,Reuben Morais,2020-08-06T14:04:58Z,reuben,reuben,28,20,8
6,deepspeech-pkguploadworker,4fe18749b0962e1374bb348794f4e71438a7afdc,Use correct key in all NuGet calls,Reuben Morais,2020-08-06T14:00:22Z,reuben,reuben,6,3,3
7,deepspeech-pkguploadworker,56e350dfa3831369c816a871fb8e52b76b2a5969,Log which key is being used at NuGet upload,Reuben Morais,2020-08-06T13:56:20Z,reuben,reuben,5,3,2
8,deepspeech-pkguploadworker,befd5b4388bae100e0429c7437ec05d983617c24,Handle new NuGet user for renamed package,Reuben Morais,2020-08-06T13:50:45Z,reuben,reuben,3,2,1
9,deepspeech-pkguploadworker,d45a782973c059af4dd5e724140d483bd3dccbd9,Handle iOS .framework in upload,Reuben Morais,2020-07-30T18:27:41Z,reuben,reuben,4,4,0
10,deepspeech-pkguploadworker,0bdba5b00d11af504576d5d0953839d8b0c2824a,Upload .framework packages to GitHub,Reuben Morais,2020-07-21T17:52:50Z,reuben,reuben,5,4,1
11,deepspeech-pkguploadworker,cc4ba9cb31fa3d1e3061287f156a125aa2afb549,Add debug logging to RTD update script,Reuben Morais,2020-06-05T08:55:54Z,reuben,reuben,6,6,0
12,deepspeech-pkguploadworker,fb0d87e5d2ae249b76f1a1eba6ae6b6361a2f649,Skip building and publishing prerelease versions,Reuben Morais,2020-05-19T17:09:15Z,reuben,reuben,57,30,27
13,deepspeech-pkguploadworker,ad10a9019f2e45751da419290c9dd16546c9f7a1,"Fix indentation, typo, and also update default branch",Reuben Morais,2020-05-18T16:42:51Z,reuben,reuben,10,6,4
14,deepspeech-pkguploadworker,ca53f9d9e737c0aa7d0c2e759f7b462ec653bfba,Add ReadTheDocs build triggering and latest version update,Reuben Morais,2020-05-18T16:40:21Z,reuben,reuben,31,31,0
15,deepspeech-pkguploadworker,1e4ef28e463cd17f5298278d445020a78f2864af,Update NPM assert for TFLite package,Alexandre Lissy,2020-01-31T12:34:04Z,Alexandre Lissy,Alexandre Lissy,2,1,1
16,deepspeech-pkguploadworker,17630cb94c0c5b1ce80c035de73c5b5f7ccc809e,Fetch README from subdir,Alexandre Lissy,2020-01-10T17:30:14Z,Alexandre Lissy,Alexandre Lissy,6,3,3
17,deepspeech-pkguploadworker,6c7a4de724abca13e18d456dee05ef29d63afc94,Re-enable upload of README.md for Bintray,Alexandre Lissy,2020-01-02T15:09:01Z,Alexandre Lissy,Alexandre Lissy,8,4,4
18,deepspeech-pkguploadworker,4565d30144e821f6d389253637959ec5af659f53,Don't fail on re-upload with existing NuGet package,Alexandre Lissy,2019-11-05T10:23:55Z,Alexandre Lissy,Alexandre Lissy,5,4,1
19,deepspeech-pkguploadworker,412d7c5b42649857752fb16f127c898f28cc53d3,Move artifact download to Queue,Alexandre Lissy,2019-11-05T10:10:55Z,Alexandre Lissy,Alexandre Lissy,4,2,2
20,deepspeech-pkguploadworker,0cfee86175735fd0e21f8a9f5afa9db526305110,Put rootUrl in config.json as well,Alexandre Lissy,2019-11-05T10:06:47Z,Alexandre Lissy,Alexandre Lissy,4,2,2
21,deepspeech-pkguploadworker,0c32933551aa097b959f578ade8de9258eba688e,debug context.config,Alexandre Lissy,2019-11-05T10:04:14Z,Alexandre Lissy,Alexandre Lissy,1,1,0
22,deepspeech-pkguploadworker,c4364f0fefcdfd476e241634c6171e3a1ac9ba62,Use proper config for Queue(),Alexandre Lissy,2019-11-05T09:57:18Z,Alexandre Lissy,Alexandre Lissy,3,1,2
23,deepspeech-pkguploadworker,b1db2828254572d739dce3694de56f45834dfa37,Properly pass rootUrl to Queue,Alexandre Lissy,2019-11-05T09:53:45Z,Alexandre Lissy,Alexandre Lissy,6,3,3
24,deepspeech-pkguploadworker,c5a38e8fadf35d50e106f9faa3473dad3cc70311,Add taskcluster_root_url to config file,Alexandre Lissy,2019-11-05T09:48:54Z,Alexandre Lissy,Alexandre Lissy,3,2,1
25,deepspeech-pkguploadworker,d56a4f72265c664fb0b3312287223cdbc05a1994,Use queue instead of index,Alexandre Lissy,2019-11-05T09:41:31Z,Alexandre Lissy,Alexandre Lissy,2,1,1
26,deepspeech-pkguploadworker,e030450bb68b4afda9ac6fa459358906387415a1,Update ScriptWorker config with rootUrl,Alexandre Lissy,2019-11-04T14:28:08Z,Alexandre Lissy,Alexandre Lissy,1,1,0
27,deepspeech-pkguploadworker,2360810c419203dc2f155717abbebc681f830883,Update ScriptWorker doc,Alexandre Lissy,2019-11-04T14:08:04Z,Alexandre Lissy,Alexandre Lissy,26,2,24
28,deepspeech-pkguploadworker,7d8e21cab2a7155f6285b21c1e1df9a76e21e703,Update TC/SW,Alexandre Lissy,2019-11-04T14:03:51Z,Alexandre Lissy,Alexandre Lissy,4,2,2
29,deepspeech-pkguploadworker,f11312683f603b6865aa3f5df63b3d8fa04e6d24,Fix workerGroup,Alexandre Lissy,2019-11-04T13:27:30Z,Alexandre Lissy,Alexandre Lissy,2,1,1
30,deepspeech-pkguploadworker,7bfa33146e99c08022501b3680eb3c64faf916db,Move to TC Commnity,Alexandre Lissy,2019-11-04T10:31:34Z,Alexandre Lissy,Alexandre Lissy,8,4,4
