,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,discourse-auth0-mozilla,b79e282c4bd558911f8105b0a5335c33600db74a,bump version,Leo McArdle,2017-05-04T11:29:43Z,LeoMcA,LeoMcA,2,1,1
1,discourse-auth0-mozilla,b557eea8968237f060b02c586488be5da9e369bd,fix error text bug,Leo McArdle,2017-05-04T11:17:11Z,LeoMcA,LeoMcA,16,0,16
2,discourse-auth0-mozilla,c68b93e593989a4b35371fe7482db53a3ea1e3e5,add plugin url,Leo McArdle,2017-05-04T10:58:43Z,LeoMcA,LeoMcA,1,1,0
3,discourse-auth0-mozilla,184d412fda24b29904309e61a6cd0bdeb35932e3,fixed phantom auth0 accounts issue :ghost:,Leo McArdle,2016-12-12T12:27:01Z,LeoMcA,LeoMcA,38,19,19
4,discourse-auth0-mozilla,6b93c19799b5253e2ee1aefe6f34a9e96d75335f,port security fix from original plugin,Leo McArdle,2016-11-14T17:17:54Z,LeoMcA,LeoMcA,35,26,9
5,discourse-auth0-mozilla,d16187800863d9ccd549600a67ab490152395f90,make it our own,Leo McArdle,2016-11-14T17:05:38Z,LeoMcA,LeoMcA,105,7,98
6,discourse-auth0-mozilla,26d5d366182acd1b32c05d3c9176c6cbfe0950ec,switch back to hosted lock,Leo McArdle,2016-11-14T16:56:53Z,LeoMcA,LeoMcA,89,1,88
7,discourse-auth0-mozilla,2de31ec2442c4dabf4fc2561b6413b4651af65d4,fix problem with unresponsive popup after repeated open/close,Leo McArdle,2016-11-08T14:42:01Z,LeoMcA,LeoMcA,4,2,2
8,discourse-auth0-mozilla,03a254f372bee64a403005adf83dfb3763f01d27,remove sign-up button,Leo McArdle,2016-11-08T11:57:06Z,LeoMcA,LeoMcA,4,4,0
9,discourse-auth0-mozilla,4d325ea83ae641e0bdf25e2a1cb23a29cb79db27,bump version,José F. Romaniello,2016-11-07T15:57:52Z,jfromaniello,jfromaniello,2,1,1
10,discourse-auth0-mozilla,a78315f4ba4f47128412ce97c09f927b42bf35b3,prevent merging profile from unverified accounts,José F. Romaniello,2016-11-07T15:57:13Z,jfromaniello,jfromaniello,48,40,8
