,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,discourse-mozilla-iam,2d0840d3cf91121fc23a92977138b3d6648da423,FIX: don't show users logging in with secondary email sign up form,Leo McArdle,2018-08-29T15:13:52Z,LeoMcA,LeoMcA,12,7,5
1,discourse-mozilla-iam,211e171cc16d60c4dcfe6e460727ac5b65b69a3a,ensure primary email existing in secondary emails doesn't break everything,Leo McArdle,2018-08-29T13:56:21Z,LeoMcA,LeoMcA,13,12,1
2,discourse-mozilla-iam,82fa4a532c6ade04816a536eed2c61d9ea393875,SECURITY: don't allow users to log in with their secondary email,Leo McArdle,2018-08-29T13:06:29Z,LeoMcA,LeoMcA,13,11,2
3,discourse-mozilla-iam,0243e972ce107b849918757b61871a0f0439409d,bump version number,Leo McArdle,2018-08-29T12:43:03Z,LeoMcA,LeoMcA,2,1,1
4,discourse-mozilla-iam,12368b4b0627845141c8825e1d0639f331408293,FIX: remove primary emails from secondary_emails attr,Leo McArdle,2018-08-24T16:12:22Z,LeoMcA,LeoMcA,23,22,1
5,discourse-mozilla-iam,46fa806fa1f82f8901d993cdccdbfab902baedcf,set secondary email addresses and store taken ones,Leo McArdle,2018-08-24T14:23:45Z,LeoMcA,LeoMcA,339,329,10
6,discourse-mozilla-iam,ecc1b18a237b458c022cf3499fd31ded15f8405c,add profile class to management api and create api to add refresh methods,Leo McArdle,2018-08-21T13:00:00Z,LeoMcA,LeoMcA,480,339,141
7,discourse-mozilla-iam,e4101b8f85f4c00dc111102160e404394e66c7cd,rename api classes to reflect file names,Leo McArdle,2018-08-20T15:45:59Z,LeoMcA,LeoMcA,200,103,97
8,discourse-mozilla-iam,d89e2ee9b127f414cf93e250300fcb182882d516,move api files under lib/mozilla_iam/api/,Leo McArdle,2018-08-20T15:34:39Z,LeoMcA,LeoMcA,12,6,6
9,discourse-mozilla-iam,f5de4e2830f2f126fbb96b38e4c9d8056bfd9394,Use NLX sign-up flow,Leo McArdle,2018-08-24T16:30:19Z,LeoMcA,LeoMcA,1,1,0
10,discourse-mozilla-iam,64307f3e28ec501c1100eecb75fb7712ce1ee567,move AdminDetailedUserSerializer additions out of plugin.rb,Leo McArdle,2018-08-07T19:59:50Z,LeoMcA,LeoMcA,28,16,12
11,discourse-mozilla-iam,64980549be62125fdf8efb8f06f5b23b5bfd0e03,set up travis,Leo McArdle,2018-08-07T19:34:08Z,LeoMcA,LeoMcA,35,35,0
12,discourse-mozilla-iam,8a4325d84b20d489ec6380ecf15842c13a6a4a75,add enabled? to authenticator (to prevent warnings),Leo McArdle,2018-08-03T14:10:15Z,LeoMcA,LeoMcA,12,12,0
13,discourse-mozilla-iam,c1b8887ede789e2e9de0d07d796a36c25739096b,update specs to reflect discourse/discourse@87537b679c74da58e9439c322f009f7bbd09966a,Leo McArdle,2018-07-31T13:19:46Z,LeoMcA,LeoMcA,12,6,6
14,discourse-mozilla-iam,6fca6dc25f09305fcfcc5ddda94b6325bc9e7ca1,"fix ""go back"" failed login button",Leo McArdle,2018-06-06T16:53:02Z,LeoMcA,LeoMcA,63,62,1
15,discourse-mozilla-iam,c2e0b73203c16150b2186d20d44214c58081ce88,fix tests,Leo McArdle,2018-06-06T15:22:19Z,LeoMcA,LeoMcA,13,8,5
16,discourse-mozilla-iam,5c2b14270c40e7e9cfe9ead3b9459122dc99f01c,update person api url,Leo McArdle,2018-02-28T20:56:14Z,LeoMcA,LeoMcA,4,2,2
17,discourse-mozilla-iam,12531fb8d8605388080f187d3f69bc5daf0c4f2f,Merge branch 'development',Leo McArdle,2017-12-20T14:23:07Z,LeoMcA,LeoMcA,703,583,120
18,discourse-mozilla-iam,159942aed4602a98df2648eec08261eb190338b3,"merge groups and app_metadata.groups, remove authoritative group support",Leo McArdle,2017-12-19T18:17:53Z,LeoMcA,LeoMcA,94,49,45
19,discourse-mozilla-iam,338efac1aa8635161e4c6a29737cd55761ada492,switch back to using management api,Leo McArdle,2017-12-19T15:45:31Z,LeoMcA,LeoMcA,408,384,24
20,discourse-mozilla-iam,96ae55a26541bc9e454aaea506f33735600f35b3,FIX: add translation for person api site settings,Leo McArdle,2017-12-01T17:08:08Z,LeoMcA,LeoMcA,3,3,0
21,discourse-mozilla-iam,c40b497a5d0d3efed6935ecdd831c8b4d73cc5fc,use person api,Leo McArdle,2017-11-30T23:09:53Z,LeoMcA,LeoMcA,163,94,69
22,discourse-mozilla-iam,fbe89af5942163fde4703a2509c86693e733a798,add tests for undefined/empty/'None' profile values,Leo McArdle,2017-11-01T12:57:55Z,LeoMcA,LeoMcA,47,36,11
23,discourse-mozilla-iam,2b51508f64bb835499bd085d2adc101927319976,add spec for AdminDetailedUserSerializer,Leo McArdle,2017-10-18T16:10:17Z,LeoMcA,LeoMcA,28,28,0
24,discourse-mozilla-iam,24788c53d04604d6fca5aed02eb4033111374879,FEATURE: add iam details to admin user page,Leo McArdle,2017-09-07T13:53:57Z,LeoMcA,LeoMcA,38,38,0
25,discourse-mozilla-iam,9985b7c043c66d6dc8811b51e4a09c50af03f504,FIX: make work with rails 5,Leo McArdle,2017-09-27T15:35:50Z,LeoMcA,LeoMcA,16,8,8
26,discourse-mozilla-iam,383cd6ddd1f0918f40efe82553df0e0fc1376ab3,bump version,Leo McArdle,2017-09-21T16:56:41Z,LeoMcA,LeoMcA,2,1,1
27,discourse-mozilla-iam,1c0a4ce5ed42cb1acb223473704941d1f999ff7c,FIX: unable to autoload constant error in staging,Leo McArdle,2017-09-06T16:25:58Z,LeoMcA,LeoMcA,2,1,1
28,discourse-mozilla-iam,8df1c6e56e74166602ad506592670bcd7d1c3f46,FIX: undefined method read_restricted,Leo McArdle,2017-09-06T14:57:14Z,LeoMcA,LeoMcA,39,37,2
29,discourse-mozilla-iam,986f33963bb36707305a71ec9f23c7cb2c9db85a,"refactor, split into multiple files",Leo McArdle,2017-09-06T09:34:20Z,LeoMcA,LeoMcA,827,417,410
30,discourse-mozilla-iam,00849263fc9fb854530c7973a1dddfe3721269e9,fix bug with associated group being nil,Leo McArdle,2017-08-17T12:48:58Z,LeoMcA,LeoMcA,24,24,0
31,discourse-mozilla-iam,9ee8098d74a3e4f189404bf807423ffb8c808072,change 'log in' button to 'log in / sign up',Leo McArdle,2017-08-15T07:47:20Z,LeoMcA,LeoMcA,26,21,5
32,discourse-mozilla-iam,77c268a0744bf24d9c0acceebcc5fdc905d0b7b5,use DiscourseEvent triggers instead of monkey patching,Leo McArdle,2017-07-21T18:54:33Z,LeoMcA,LeoMcA,34,13,21
33,discourse-mozilla-iam,b0edb5b1545bc3801fbbbbfdda1080a1afdeb613,fix tests,Leo McArdle,2017-07-21T11:39:52Z,LeoMcA,LeoMcA,2,1,1
34,discourse-mozilla-iam,94ea59e10d7f9a0f5af4de4092bb6f7ac4a11ded,"add some specs, fix a few broken things found out from writing them",Leo McArdle,2017-07-14T20:44:44Z,LeoMcA,LeoMcA,533,499,34
35,discourse-mozilla-iam,6f90574b19f0962d3a42b6e49920dd4b89a787d5,"remove dependence on auth0 library, make groups fail safe",Leo McArdle,2017-06-22T22:02:08Z,LeoMcA,LeoMcA,120,66,54
36,discourse-mozilla-iam,56f5b8a0be59b674bb0dd05580161ffae83fb2d2,add pre notification/email permissions check,Leo McArdle,2017-06-20T17:49:02Z,LeoMcA,LeoMcA,102,84,18
37,discourse-mozilla-iam,e4ddd6cb7d35766e0dab8f91722f8112f7f7afe8,add group syncing,Leo McArdle,2017-06-16T18:53:24Z,LeoMcA,LeoMcA,442,410,32
38,discourse-mozilla-iam,a0ded0244f6f9b4f6c37521deaad169710ded300,revise PR based on review,Leo McArdle,2017-06-06T16:11:32Z,LeoMcA,LeoMcA,90,47,43
39,discourse-mozilla-iam,65092a3d198a91ccc6ce5af780d3d48d495acad6,create plugin,Leo McArdle,2017-06-01T18:15:36Z,LeoMcA,LeoMcA,220,220,0
40,discourse-mozilla-iam,0f08c2c946d742abe1793386fbcff47f332ff73d,Initial commit,Leo McArdle,2017-06-01T17:52:18Z,LeoMcA,LeoMcA,373,373,0
41,discourse-mozilla-iam,f66123785a02a67ca10d13649cea00c772f7e40a,hotfix: remove person api v1,Leo McArdle,2020-11-17T20:10:44Z,LeoMcA,LeoMcA,48,0,48
42,discourse-mozilla-iam,eba42697119f61b81485b69510fc3fa276664226,hotfix: management api returning email objects rather than strings,Leo McArdle,2020-10-29T16:56:23Z,LeoMcA,LeoMcA,2,1,1
43,discourse-mozilla-iam,46f948ab27e75e531701747bceac9a4110922cf8,fix user profile preferences tests,Leo McArdle,2020-05-06T20:58:20Z,LeoMcA,LeoMcA,1,1,0
44,discourse-mozilla-iam,4c1d02f51da4026ede0d067b06123fa1fa93738a,FIX: set uid for staged user created from auth0 uid,Leo McArdle,2019-12-06T14:26:49Z,LeoMcA,LeoMcA,9,7,2
45,discourse-mozilla-iam,e16664ccf5b760e56da41143f2cb811eec6d512c,fix various deprecations,Leo McArdle,2019-11-18T16:52:34Z,LeoMcA,LeoMcA,10,5,5
46,discourse-mozilla-iam,f148ed585a15ac61aeb2b8530ec169e0cc39eea3,add secret to client_secret setting,Leo McArdle,2019-11-18T16:35:49Z,LeoMcA,LeoMcA,3,2,1
47,discourse-mozilla-iam,15a48d62d387575bc94f21b0d067256e293f6ae1,remove deprecated full_screen_login option,Leo McArdle,2019-11-18T16:33:20Z,LeoMcA,LeoMcA,5,2,3
48,discourse-mozilla-iam,057c5211efc4bbc5027991b1971d71ada55954eb,add profile scope,Leo McArdle,2019-11-18T16:32:11Z,LeoMcA,LeoMcA,4,2,2
49,discourse-mozilla-iam,88b5c0894034ae212a023a16c379d1dac7a7b6a8,remove honeypot from pmo flow,Leo McArdle,2019-10-18T16:09:13Z,LeoMcA,LeoMcA,32,12,20
50,discourse-mozilla-iam,327c74d9d3c842bed8b9fbbb80fd32f453840315,Merge branch 'master' into development,Leo McArdle,2019-10-18T16:09:30Z,LeoMcA,LeoMcA,2,1,1
51,discourse-mozilla-iam,62c69652a97c6e29cb401b97edec35f199704e37,fix tests,Leo McArdle,2019-10-10T10:44:51Z,LeoMcA,LeoMcA,2,1,1
52,discourse-mozilla-iam,ae196c88d3b205879afea19c749c8bbc1f7bac41,add methods to Profile for mozilla-gcm plugin,Leo McArdle,2019-10-07T17:27:48Z,LeoMcA,LeoMcA,80,77,3
53,discourse-mozilla-iam,2bba06d11a1a0d3644de40a36189ec491e1e6ce0,"FIX: only update uploaded_avatar_id if it differs

no need to write to DB if it's the same
https://github.com/mozilla/discourse/issues/228",Leo McArdle,2019-09-19T16:37:51Z,LeoMcA,LeoMcA,4,2,2
