,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,discourse-mozillians,537b455c3b102d05233ae6252a5a5a350bf366e8,workaround for mozillians api returning http urls,Leo McArdle,2017-06-23T19:48:14Z,LeoMcA,LeoMcA,4,4,0
1,discourse-mozillians,98013b1ab1396167214d7d6d39e2c80ba3e95d4b,Improve error logging,Leo McArdle,2017-06-23T19:47:41Z,LeoMcA,LeoMcA,5,3,2
2,discourse-mozillians,62a83ba02fa6eb88380bea88b529510692161d6b,add 'communities advisory group - early 2017' group import,Leo McArdle,2017-05-17T11:22:23Z,LeoMcA,LeoMcA,3,2,1
3,discourse-mozillians,169e6a9adaa0ab0c7cf54a0b2a9a139998b3719c,bump version number,Leo McArdle,2017-03-06T19:30:06Z,LeoMcA,LeoMcA,2,1,1
4,discourse-mozillians,27a361e713d10785dd58d1b0cccf6dea7a794835,"add iam-project group import [mozilla/iam-project-backlog#13]
start using group info returned in user profile, rather than querying separately",Leo McArdle,2017-03-02T17:29:41Z,LeoMcA,LeoMcA,39,21,18
5,discourse-mozillians,4912e315ca43584a9f5a6d27105204ad38667a50,add url to plugin and update README,Leo McArdle,2016-11-24T11:16:47Z,LeoMcA,LeoMcA,2,2,0
6,discourse-mozillians,c46ad21c46267df268bff36884d8d056d669d65a,add setting to enable/disable daily job,Leo McArdle,2016-11-21T21:35:32Z,LeoMcA,LeoMcA,4,4,0
7,discourse-mozillians,0bb9ab008401635761f57f9286335e80ae3e3bc2,add daily job to update data from API,Leo McArdle,2016-11-21T21:14:53Z,LeoMcA,LeoMcA,24,24,0
8,discourse-mozillians,458209d83fb88ba65672a2cd293c6376179d8df2,import ajax and update call,Leo McArdle,2016-11-21T21:13:15Z,LeoMcA,LeoMcA,3,2,1
9,discourse-mozillians,aec5f2dc8c8f5b37d18e5c3c98f1083bd666ecd3,update README to reflect move to api v2 and nda group,Leo McArdle,2016-11-17T20:40:11Z,LeoMcA,LeoMcA,8,4,4
10,discourse-mozillians,48dc2295315cd64d1b4b4407f6e85f7e7c735205,"get members of nda group from API
https://discourse.mozilla-community.org/t/discourse-mozillians-get-members-of-nda-group-from-api/4913",Leo McArdle,2015-10-29T12:29:18Z,LeoMcA,LeoMcA,84,53,31
11,discourse-mozillians,c85feff047b5c4cd273e75049e8609e62e818141,migrate to mozillians api v2,Leo McArdle,2015-10-28T21:49:09Z,LeoMcA,LeoMcA,59,23,36
12,discourse-mozillians,c53a5192f8b2277ac41f72cbefd245e2533568eb,bump version to 1.0.1,Leo McArdle,2015-10-27T17:24:37Z,LeoMcA,LeoMcA,2,1,1
13,discourse-mozillians,622bb43c1088691e87785b4cb39a6773aaeeebf0,change code to work with ruby 2.0,Leo McArdle,2015-10-27T17:14:23Z,LeoMcA,LeoMcA,4,2,2
14,discourse-mozillians,54da85be51c55de1aec6987da0eac396ce63d299,bump version to 1.0.0,Leo McArdle,2015-10-26T16:01:48Z,LeoMcA,LeoMcA,2,1,1
15,discourse-mozillians,ee333a5849b0421439d553d996aba48db6f06372,allow app_name and app_key configs to be set as env var,Leo McArdle,2015-10-18T15:48:18Z,LeoMcA,LeoMcA,2,2,0
16,discourse-mozillians,1f2f69b2cc06e30addf8348f73ac1d0bf4cd6b12,added button to user preferences to update data,Leo McArdle,2015-10-18T15:36:04Z,LeoMcA,LeoMcA,94,91,3
17,discourse-mozillians,07f7847a1e8c41ccf9eea69c83bb7f7611faae5f,initial commit,Leo McArdle,2015-10-16T19:20:25Z,LeoMcA,LeoMcA,526,526,0
