,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,disk_key_encrypter,80874a2a03c68115bf39b23783d09763fff0eadc,"Merge pull request #18 from rtucker-mozilla/fix_utf_encoding_issues

Fix utf encoding issues",rtucker-mozilla,2019-08-12T12:04:42Z,rtucker-mozilla,rtucker-mozilla,129,114,15
1,disk_key_encrypter,9cf2b8715818c351d0f8514298e6036e85d60866,Code and tests to address Issue #17 where utf encoded data is getting into the text boxes,Rob Tucker,2019-08-12T12:03:22Z,rtucker-mozilla,rtucker-mozilla,104,91,13
2,disk_key_encrypter,b67f7bee041cb6e33f35a9e5e46c75fcef06f9ea,Better test for protected views,Rob Tucker,2019-08-09T13:16:30Z,rtucker-mozilla,rtucker-mozilla,25,23,2
3,disk_key_encrypter,636ad0f3e33a7b3afdf30299981814b1d682973b,"Merge pull request #16 from rtucker-mozilla/django_2_1

Django 2.2 and tests",rtucker-mozilla,2019-07-09T10:47:37Z,rtucker-mozilla,rtucker-mozilla,1114,778,336
4,disk_key_encrypter,07b42bfd6f69521de711dc9bf73a7a3c6e1b914b,Properly setting Django==2.1.8. 2.2 didn't work on centos. Also fixing os.environ issue with keyerror not set by default,Rob Tucker,2019-05-07T11:39:02Z,rtucker-mozilla,rtucker-mozilla,9,7,2
5,disk_key_encrypter,e780c5587306409398d892347f3cf8e785644fcd,"Added support for django 2.2 as well as tests, migrations and a django script to sync data from the old layout to the new. I've removed the requirement of the database_storage library as well",Rob Tucker,2019-05-07T10:14:22Z,rtucker-mozilla,rtucker-mozilla,945,596,349
6,disk_key_encrypter,2e40e6bb04737e812125a4ad78507cfbcf6012ba,Python3 support functional,Rob Tucker,2019-05-02T10:47:01Z,rtucker-mozilla,rtucker-mozilla,264,227,37
7,disk_key_encrypter,b73dc9e522061c1d92d0fa23e36e273698886a76,"Merge pull request #15 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",rtucker-mozilla,2019-04-01T10:41:46Z,rtucker-mozilla,rtucker-mozilla,15,15,0
8,disk_key_encrypter,ba83854083bd79ae3adc7711f2d747f15fdffc29,"Add Mozilla Code of Conduct file

Fixes #14.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-28T04:04:42Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
9,disk_key_encrypter,ad8ede165357d78d0e81357808d306bbaecf7ac7,"Merge pull request #9 from gene1wood/fix-empty-claim-group

Account for missing or empty GROUPS_META_VAR settings",rtucker-mozilla,2018-08-23T23:31:01Z,rtucker-mozilla,rtucker-mozilla,6,4,2
10,disk_key_encrypter,cf8b1d4e72734c5edd3b01af4d0d7eb61d2c4214,"Account for missing or empty GROUPS_META_VAR settings

This more gracefully deals with scenarios where
* GROUPS_META_VAR isn't set
* GROUPS_META_VAR is set to an empty string

Now these scenarios result in an empty list instead of ['']
This in turn protects against setting OIDC_DESKTOP_CLAIM_GROUP
to an empty string and GROUPS_META_VAR to an empty string and
as a result allowing everyone in",Gene Wood,2018-08-23T22:31:53Z,gene1wood,gene1wood,6,4,2
11,disk_key_encrypter,0b0a69b84643246a0fcacd6ab02f892c573d7a17,"Merge pull request #8 from rtucker-mozilla/urls_py_bugfix

Small urls.py bugfix passing the wrong kwarg",rtucker-mozilla,2018-08-21T18:29:51Z,rtucker-mozilla,rtucker-mozilla,2,1,1
12,disk_key_encrypter,1216dea8b4dc71536636fdedcc81bb75a2186863,Small urls.py bugfix passing the wrong kwarg,root,2018-08-21T18:27:05Z,root,root,2,1,1
13,disk_key_encrypter,a52ef65950eed1b67d76d6284bcb155e2e6cbba8,"Merge pull request #7 from gene1wood/a-bit-more-pep8

PEP008 conformance improvements",rtucker-mozilla,2018-08-21T17:16:27Z,rtucker-mozilla,rtucker-mozilla,138,62,76
14,disk_key_encrypter,c908ea5c810edcdd88d9cd539cbc50d6fcf4e0f0,PEP008 conformance improvements,Gene Wood,2018-08-21T16:00:43Z,gene1wood,gene1wood,138,62,76
15,disk_key_encrypter,d0377810f64c7ebea1823aa5fbfd1d6cbb579fe8,"Merge pull request #6 from rtucker-mozilla/pep8

Pep8",rtucker-mozilla,2018-08-21T14:58:21Z,rtucker-mozilla,rtucker-mozilla,337,188,149
16,disk_key_encrypter,98c116fd5f04639c45b00195612ffeb22814b061,"Merge branch 'master' into pep8
mergin master back",Rob Tucker,2018-08-21T14:57:42Z,rtucker-mozilla,rtucker-mozilla,61,53,8
17,disk_key_encrypter,7ea319616581fdca21bcd3ee6a2e6efb9d66a31f,"Merge pull request #5 from gene1wood/clarify-access-control

Clarify how access control works",rtucker-mozilla,2018-08-21T14:55:51Z,rtucker-mozilla,rtucker-mozilla,61,53,8
18,disk_key_encrypter,58615ad6b375a80d0b6ea7e45f00fa7e42a72900,"Clarify how access control works

Update the docs to add details about how access control works
Fix typos
Improve comments in example configuration files",Gene Wood,2018-08-21T14:41:04Z,gene1wood,gene1wood,61,53,8
19,disk_key_encrypter,b819406745008ad7b154f0f32ae5c6b6340dd8a5,Removed list keyword,Rob Tucker,2018-08-21T11:00:21Z,rtucker-mozilla,rtucker-mozilla,2,0,2
20,disk_key_encrypter,c8cdad27d2d3e0021eb908321556143d22e48ceb,pyflakes/pep8 fixes,Rob Tucker,2018-08-20T15:35:44Z,rtucker-mozilla,rtucker-mozilla,339,190,149
21,disk_key_encrypter,935b3ce4f9b0b4dc74eedfeb6753dd8a20a94254,"Merge pull request #4 from gene1wood/reverse-proxy

Add support for OpenResty reverse proxy OIDC Auth",rtucker-mozilla,2018-08-20T11:34:23Z,rtucker-mozilla,rtucker-mozilla,659,593,66
22,disk_key_encrypter,13b97a9fed21cb9312ed725b5aff592c99f6a4cb,"Add support for OpenResty reverse proxy OIDC Auth

This changes WDE to use an OpenResty reverse proxy
for authentication and RemoteUserMiddleware to pass
the authentication results on to Django.

Documentation can be found in the openresty/README.md",Gene Wood,2018-08-20T00:39:13Z,gene1wood,gene1wood,659,593,66
23,disk_key_encrypter,d7c956724beeda861bc1d071c4ccc35d56883a42,"Merge pull request #3 from rtucker-mozilla/oidc_auth

Functional openidc implementation",rtucker-mozilla,2018-07-17T17:21:21Z,rtucker-mozilla,rtucker-mozilla,216,134,82
24,disk_key_encrypter,84ec61108cb4d4ab499209ba0674726a600038c5,"Functional openidc implementation

Fixed syntax for settings",root,2018-04-09T14:01:34Z,root,root,216,134,82
25,disk_key_encrypter,2c5148b9baaed16ef29ae3e78d97d20a7c233152,"Merge pull request #2 from rtucker-mozilla/1_11_upgrade

1 11 upgrade",rtucker-mozilla,2018-03-27T23:57:52Z,rtucker-mozilla,rtucker-mozilla,337,276,61
26,disk_key_encrypter,2affdf6f73c3dd9979cdd0e82b0699e41c76ce37,Everything functional,root,2018-03-27T23:49:12Z,root,root,9,5,4
27,disk_key_encrypter,af176e2b126fdcdbd85af266a8c0eedcd366bfef,Functional update and vendoring for django 1.11 update,root,2018-02-02T19:57:52Z,root,root,336,275,61
28,disk_key_encrypter,b1411f15364d445db6ca1ddd35071dc8a036d121,Potential fix and debug for bug #822396,Rob Tucker,2012-12-21T12:00:58Z,rtucker-mozilla,rtucker-mozilla,10,9,1
29,disk_key_encrypter,ef8654fe6956338733639b21b12f03888c27d97a,Removed pdb statement,Rob Tucker,2012-10-25T18:01:11Z,rtucker-mozilla,rtucker-mozilla,7,5,2
30,disk_key_encrypter,e09d0db6715ca96c9bd4e02cb1ad1d0e2036d3d9,Removed pdb statement,Rob Tucker,2012-10-25T17:59:16Z,rtucker-mozilla,rtucker-mozilla,1,0,1
31,disk_key_encrypter,c227dec70b41780ab0b9bde0d0a492b5cde7a3f9,Update to form to fix file upload issue,Rob Tucker,2012-10-25T15:21:50Z,rtucker-mozilla,rtucker-mozilla,6,4,2
32,disk_key_encrypter,6489216995122c347757f5895e4b57c8e0fe0086,Few small bugfixes for file upload clean and email address not existing,Rob Tucker,2012-10-12T11:12:41Z,rtucker-mozilla,rtucker-mozilla,8,5,3
33,disk_key_encrypter,6433ee583d3daf4d098493df9a3c68fb98a951f0,Resolved issue post login of missing log_cef,Rob Tucker,2012-09-25T13:17:13Z,rtucker-mozilla,rtucker-mozilla,88,70,18
34,disk_key_encrypter,d185dbae44bc0bc417b1ba31d00a57d2d1e619df,Fixed regression from vimfiles swp files,Rob Tucker,2012-09-21T20:55:25Z,rtucker-mozilla,rtucker-mozilla,6,3,3
35,disk_key_encrypter,0c0cadfe375c31594561acce05e26b277d130793,Added file size falidation for uploaded file. Bugzilla #793303,Rob Tucker,2012-09-21T20:52:39Z,rtucker-mozilla,rtucker-mozilla,20,16,4
36,disk_key_encrypter,d40b4e63fb7f5866ad4c1e66820dc37ce95e8c8e,Provided link to original lib for django-sts,Rob Tucker,2012-09-21T20:41:52Z,rtucker-mozilla,rtucker-mozilla,2,2,0
37,disk_key_encrypter,a0e5e7ea3893cf132630f26feb0f3f30cdf0ebb0,Added STS Support. Resolved Bugzilla #793300,Rob Tucker,2012-09-21T20:40:07Z,rtucker-mozilla,rtucker-mozilla,62,62,0
38,disk_key_encrypter,9f889356c1551b783107db1fb059cf889ed4244a,Fixed file download issue,Rob Tucker,2012-06-27T12:59:45Z,rtucker-mozilla,rtucker-mozilla,2,1,1
39,disk_key_encrypter,90a3a53fea9f59c834f84a74c61acec6c3005e42,Removed debug statement,Rob Tucker,2012-06-27T12:58:32Z,rtucker-mozilla,rtucker-mozilla,2,1,1
40,disk_key_encrypter,c8f2b8eae105a2a286c7ddf0e30d5b91f9528719,Resolved invalid object reference,Rob Tucker,2012-06-27T12:57:50Z,rtucker-mozilla,rtucker-mozilla,2,1,1
41,disk_key_encrypter,8a7c4aabf800b5a1f740e3d1ea6d3021df2ef0db,Removed debug statement,Rob Tucker,2012-06-27T12:57:21Z,rtucker-mozilla,rtucker-mozilla,2,1,1
42,disk_key_encrypter,b486477501f0895025ef12eca2e4bdd7584487e7,Resolved invalid object reference,Rob Tucker,2012-06-27T12:55:11Z,rtucker-mozilla,rtucker-mozilla,2,1,1
43,disk_key_encrypter,6efaecaba53abcdddfc833d4b341a71945575fb0,Removed debug statement,Rob Tucker,2012-06-27T12:53:48Z,rtucker-mozilla,rtucker-mozilla,1,0,1
44,disk_key_encrypter,a0d71d2b973858c533c0c57fc409614cbcde0634,Pushed updates for CEF logging,Rob Tucker,2012-06-27T12:27:55Z,rtucker-mozilla,rtucker-mozilla,399,58,341
45,disk_key_encrypter,5357e0225851ad9e29e780f23bb153c703a4cb88,Implemented initial cef setup,Rob Tucker,2012-06-26T16:22:23Z,rtucker-mozilla,rtucker-mozilla,350,349,1
46,disk_key_encrypter,9044b05d6a88209e7c96d433862eff620093d76f,Fixed project name,Rob Tucker,2012-06-26T14:18:44Z,rtucker-mozilla,rtucker-mozilla,2,1,1
47,disk_key_encrypter,f6ce3571ef109e41c0b5ca4823729fb87224fb2f,Updated desktop admin list page to fix pagination issue,Rob Tucker,2012-06-26T13:26:26Z,rtucker-mozilla,rtucker-mozilla,4,2,2
48,disk_key_encrypter,f43c1aee55ec01d5f5ea20676e3ccbb115cd094c,Updated desktop admin list page to fix pagination issue,Rob Tucker,2012-06-26T13:17:40Z,rtucker-mozilla,rtucker-mozilla,5,2,3
49,disk_key_encrypter,59b70f67c3a4d8758963a686053fdb75ebfd1ec7,Updates for app to work in production,Rob Tucker,2012-06-26T13:12:48Z,rtucker-mozilla,rtucker-mozilla,3,2,1
50,disk_key_encrypter,8e84207bea6e459b7d90f6ed2b0c1d66319fc3d4,Updates for app to work in production,Rob Tucker,2012-06-26T12:23:03Z,rtucker-mozilla,rtucker-mozilla,36,18,18
51,disk_key_encrypter,9fbe1ae5b1e2b12b85821b0723c20ad12531c0a4,Updated readme file,Rob Tucker,2012-06-22T13:56:44Z,rtucker-mozilla,rtucker-mozilla,18,17,1
52,disk_key_encrypter,b127854d10e395b62f413d48f6d210c2d97bd00d,Initial Repository Setup for github,Rob Tucker,2012-06-22T12:51:04Z,rtucker-mozilla,rtucker-mozilla,45834,45834,0
53,disk_key_encrypter,77c57c3ecd61d02ceb714c57551e232be52d940b,Initial commit,rtucker-mozilla,2012-06-22T12:21:07Z,rtucker-mozilla,rtucker-mozilla,4,4,0
