,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,diversity-coc-review.io,69f9898e8c56495d7038b855b6c91327c4f049fa,"Merge pull request #4 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Emma,2019-03-31T18:35:08Z,emmairwin,emmairwin,15,15,0
1,diversity-coc-review.io,0992064f8aaee8f288f97d4a362c8765435bdda3,"Add Mozilla Code of Conduct file

Fixes #3.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T07:11:43Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,diversity-coc-review.io,7e35f1dd1452f16ce3fda213d0dfbe2bc57317ed,"update to diversity submodule, and thus main content, image change, and update to marking grid",Emma Irwin,2018-11-29T17:50:14Z,emmairwin,emmairwin,249,242,7
3,diversity-coc-review.io,fd38c08ac6f0a0c7cbffa1c7324d7b2e3a119b49,push new files,Emma Irwin,2018-10-31T20:02:50Z,emmairwin,emmairwin,109,109,0
4,diversity-coc-review.io,8d18ccce4d0a8061acfe354d0d35becf79224927,new posts,Emma Irwin,2018-10-31T15:53:54Z,emmairwin,emmairwin,0,0,0
5,diversity-coc-review.io,e772bb491c914cf9ca42551b2f45af794142317b,update to modules,Emma Irwin,2018-10-30T02:06:53Z,emmairwin,emmairwin,3,0,3
6,diversity-coc-review.io,53a0f5770cc6c940e53f4ef6a0ae1eec28b90441,updated diversity submodule added assessment sections,Emma Irwin,2018-10-30T01:52:57Z,emmairwin,emmairwin,25,19,6
7,diversity-coc-review.io,18cc5c5f1937d19361dca71423abc6404a1ac66b,"update to headings in files, and updated divdersity submodule",Emma Irwin,2018-10-30T00:16:08Z,emmairwin,emmairwin,49,37,12
8,diversity-coc-review.io,83ee4d0a2157c6815b77d7ca436ec7e827de888e,updated diversity submodule,Emma Irwin,2018-10-23T17:24:33Z,emmairwin,emmairwin,2,1,1
9,diversity-coc-review.io,e74a2a7b992b3cd453e56aba5b852fa439e8c0ac,Merge branch 'master' of https://github.com/mozilla/diversity-coc-review.io,Emma Irwin,2018-10-04T20:59:35Z,emmairwin,emmairwin,2,1,1
10,diversity-coc-review.io,2ee561f35b79ff1f6eed5379b10eb40d2acb2f70,"updated submodule
updated additional elements to use markdown file in submodule",Emma Irwin,2018-10-04T20:52:30Z,emmairwin,emmairwin,6,5,1
11,diversity-coc-review.io,430716385610b40d77970e11f95a23bbb19c5cd4,Update CNAME,Emma,2018-10-04T18:43:25Z,emmairwin,emmairwin,2,1,1
12,diversity-coc-review.io,0761774f0ac44bbeb173db668ac27c64a033a48e,"updates for first draft of assessment menu, and modules
submodule for diversity",Emma Irwin,2018-10-04T00:32:01Z,emmairwin,emmairwin,3134,2151,983
13,diversity-coc-review.io,f78a973e2ee43f50ce4607e92bcb8b8445a71bfa,added mozilla core repo (diversity) as submodule for assessment markdown files,Emma Irwin,2018-10-03T22:28:41Z,emmairwin,emmairwin,4,4,0
14,diversity-coc-review.io,cce3a16cc585434569f9da2d7e56e5deec195ebe,updated gemfile with new dependencies,Emma Irwin,2018-10-03T22:21:41Z,emmairwin,emmairwin,13,12,1
15,diversity-coc-review.io,5e6351f014c97ea77b6251860cea7a99a0905b10,updated gemfile,Emma Irwin,2018-10-03T22:12:21Z,emmairwin,emmairwin,255,3,252
16,diversity-coc-review.io,68ced20c13bb88c7829cec3e43af9a9bc4000699,updated gemfile,Emma Irwin,2018-10-03T20:54:58Z,emmairwin,emmairwin,14,7,7
17,diversity-coc-review.io,2513d9e2eb41f74fd4c1d259c650faaad9908897,updates to gemfile,Emma Irwin,2018-10-03T20:51:51Z,emmairwin,emmairwin,9,5,4
18,diversity-coc-review.io,946be7dace24470120ea2d5e48db390f70b46dad,"Merge pull request #1 from mozilla/gh-pages

Merge GH pages to Master",Emma,2018-10-03T20:40:16Z,emmairwin,emmairwin,29006,29005,1
19,diversity-coc-review.io,4d32b17bf3942554a9b75212ff04f06e238e0d47,renamed jekyll folder,Emma Irwin,2018-10-03T20:37:47Z,emmairwin,emmairwin,0,0,0
20,diversity-coc-review.io,a72ff18967d2dea649afa4a85f9a971b80525341,removed docs folder,Emma Irwin,2018-10-03T20:31:35Z,emmairwin,emmairwin,1,0,1
21,diversity-coc-review.io,d7de0bde02aafb0e840785fff01453ae020cde0b,jekyll theme for assessment tool website,Emma Irwin,2018-10-03T20:30:02Z,emmairwin,emmairwin,29007,29006,1
22,diversity-coc-review.io,27945e0ef42afb25f4eee069b7aaeef3813b8f63,Create index.html,Emma,2018-10-02T22:02:28Z,emmairwin,emmairwin,1,1,0
23,diversity-coc-review.io,09b4d12e8cc723d2fd9730112b8cbffa5e306c66,Update README.md,Emma,2018-10-02T21:58:47Z,emmairwin,emmairwin,15,14,1
24,diversity-coc-review.io,fcffcbda501fa035e19d39b37db6554e8b6b5bbf,Set theme jekyll-theme-slate,Emma,2018-10-02T21:52:21Z,emmairwin,emmairwin,0,0,0
25,diversity-coc-review.io,f047925dd2dc99139f0d495f4045735d5f62725a,Set theme jekyll-theme-slate,Emma,2018-10-02T21:48:58Z,emmairwin,emmairwin,1,1,0
26,diversity-coc-review.io,2acfb3aeb70d24f3908f18c5f4b77f58d0c621b1,githubpages commit,Emma Irwin,2018-10-02T21:47:10Z,emmairwin,emmairwin,1,1,0
27,diversity-coc-review.io,b2724adf2f4cffc67ee27d9c53ce6be80af638f0,initial commit,Emma Irwin,2018-10-02T21:12:44Z,emmairwin,emmairwin,18,18,0
