,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,django-csp,e1070f8b2954dd95dc919863020918719a110aa3,Add @csp_exempt decorator.,James Socol,2011-07-28T19:45:11Z,James Socol,James Socol,37,37,0
1,django-csp,5c5f5a6b55fb78e99db939c79f0f0d8003a62c98,Fix Report-Only mode.,James Socol,2010-09-28T21:41:49Z,James Socol,James Socol,2,1,1
2,django-csp,e1d0f596685eefaa01ba0203d6d5b849d8a4ec31,Better mail subjects.,James Socol,2010-09-22T20:02:37Z,James Socol,James Socol,6,4,2
3,django-csp,dcdaed502b136f7db09d39ab826e178413881b6b,.gitignore,James Socol,2010-09-08T22:52:33Z,James Socol,James Socol,3,3,0
4,django-csp,4bb848bc65d1df7f6582a5bc98969a87c60d266e,Set version = 1.0,James Socol,2010-09-08T22:48:42Z,James Socol,James Socol,2,1,1
5,django-csp,299a234117ab8a7dbbb2fa94ec36ee72660c04a3,Support for the options directive.,James Socol,2010-09-08T21:50:58Z,James Socol,James Socol,16,16,0
6,django-csp,01fdee055a14896b368f9c007d725ebe4d015328,Refactor and create policy view.,James Socol,2010-09-08T21:07:39Z,James Socol,James Socol,97,69,28
7,django-csp,d912afb9849179ae37d82600e1a1b5d5bd4e2e65,Report-only mode.,James Socol,2010-09-08T20:31:32Z,James Socol,James Socol,36,33,3
8,django-csp,1d827872d4b05be56cde1826923e04c100ce05b9,More README cleanup.,James Socol,2010-09-08T20:01:06Z,James Socol,James Socol,16,14,2
9,django-csp,2e2a6cad660f234142e4f0e096bf2007ad69d5f5,Adding the LICENSE file.,James Socol,2010-09-08T19:58:44Z,James Socol,James Socol,28,28,0
10,django-csp,73042c1e8340a894d021bd68180e141171b65e40,Report URI working (for now).,James Socol,2010-09-08T19:52:36Z,James Socol,James Socol,31,16,15
11,django-csp,43a51826dd8ff95f6124f974af5261d04f3a1b4e,WIP continues.,James Socol,2010-09-07T21:55:16Z,James Socol,James Socol,18,15,3
12,django-csp,b42ba9a20c044ba998ccf1f8cd6a6b9ce04425cd,"Adding a report URI view, work in progress.",James Socol,2010-09-07T08:38:11Z,James Socol,James Socol,50,50,0
13,django-csp,16183f9cb1b6322d20f566ada76ff20362fc79df,Updated README.,James Socol,2010-08-31T16:46:03Z,James Socol,James Socol,32,32,0
14,django-csp,010eaae78ab522c20d195898648d5ff69219aff9,Fix typo,James Socol,2010-08-31T16:07:23Z,James Socol,James Socol,4,2,2
15,django-csp,98d73327e7c2df4e05269368a1b7314d4213b999,Can now configure policy.,James Socol,2010-08-31T15:53:58Z,James Socol,James Socol,46,44,2
16,django-csp,971337063c04d61d9de544f24208980851dcbf03,"Initial commit, unconfigurable.",James Socol,2010-07-14T18:12:25Z,James Socol,James Socol,36,36,0
17,django-csp,5ae084434edb4fa4944b1e93f79eb5b6a6bf7679,update docs by replacing misplaced CSP_UPGRADE_INSECURE_REQUESTS with CSP_BLOCK_ALL_MIXED_CONTENT,savioabuga,2016-11-03T11:14:39Z,savioabuga,savioabuga,2,1,1
18,django-csp,c2afb78cbc48c0ac4cb0737fcd021fe3032ae072,"Merge pull request #74 from g-k/add-missing-directives

Add missing directives",Greg Guthe,2016-11-02T15:41:44Z,g-k,g-k,82,78,4
19,django-csp,2b07e8975d9bc2837efe4d5758e7611dd3243594,handle flag directives more cleanly,Greg Guthe,2016-11-01T22:00:18Z,g-k,g-k,35,17,18
20,django-csp,503a6bebcc9acc7f2b0383c50e1e39f86d6d4927,Add block-all-mixed-content,Greg Guthe,2016-11-01T14:36:47Z,g-k,g-k,16,16,0
21,django-csp,ff841b6c5a28e4421a8a9aa4647104b79df7053a,Add upgrade-insecure-requests,Greg Guthe,2016-10-31T23:07:18Z,g-k,g-k,19,19,0
22,django-csp,5bffc2ba386172819127d32d287d97fcb11f6f22,"Add require-sri-for

https://www.w3.org/TR/CSP/#directives-elsewhere
https://w3c.github.io/webappsec-subresource-integrity/#request-verification-algorithms",Greg Guthe,2016-10-31T22:55:54Z,g-k,g-k,12,12,0
23,django-csp,9fcc5909a029e196a2d1706f2675e88d63810acd,"Add plugin-types document directive

https://w3c.github.io/webappsec-csp/#directive-plugin-types

Refs: #59",Greg Guthe,2016-10-31T18:48:08Z,g-k,g-k,10,10,0
24,django-csp,649441785c2e09fd5c4f74dd99c8dd85d5d2c988,"Add worker-src fetch directive

https://w3c.github.io/webappsec-csp/#directive-worker-src",Greg Guthe,2016-10-31T18:46:40Z,g-k,g-k,9,9,0
25,django-csp,0162c3ec696577555bfbc4ec36fc334baa4b0901,"Add manifest-src fetch directive

https://w3c.github.io/webappsec-csp/#directive-manifest-src

refs: #60",Greg Guthe,2016-10-31T18:45:03Z,g-k,g-k,9,9,0
26,django-csp,de1e45c3668a1fe37f6c89887d5aabeb9251e5f8,"Prepare for 3.1 release.

* Allow installation of Django 1.10
* Make docs grab version number from setuptools",Christopher Grebs,2016-09-14T06:38:34Z,EnTeQuAk,EnTeQuAk,9,5,4
27,django-csp,1b834575e6bda4a87b5400fa8385ec9ac891e3a5,Use svg for travis badge,Stuart Colville,2016-09-06T16:20:06Z,muffinresearch,muffinresearch,2,1,1
28,django-csp,194d581cdc9a5ae8a73bf4040abf833ad6dfa7d8,Add pypi version badge,Stuart Colville,2016-09-06T16:19:14Z,muffinresearch,muffinresearch,11,9,2
29,django-csp,dac22b1ab5eda9372a41d5aaaf8e95ef8c301786,"Merge pull request #71 from hockeybuggy/add-support-for-django-1-10

Add support for django 1.10",Christopher Grebs,2016-09-02T18:40:01Z,EnTeQuAk,EnTeQuAk,35,34,1
30,django-csp,9fbf971dfa73ab21f8df4fe2169cf861d3c302b0,"Add support for Django 1.10 new style of middleware.

Update the tox env for Django 1.10 tests for python 2.7, 3.4, and 3.5

Try adding the `__call__` and `__init__` methods manually.

Use the deprecation `MiddlewareMixin` rather than calling `__call__` and
`__init__`.

Add a guard for the importing the `deprecation.MiddlewareMixin`

Add django 1.10 to the `.travis.yml` file.

Add a new line above the `try` for style reasons.",Douglas Anderson,2016-08-30T13:52:46Z,hockeybuggy,hockeybuggy,35,34,1
31,django-csp,f728d3af0b94a75ea9fb0bc88efbd74a45726000,"Merge pull request #68 from nealedj/67_force_text_report_uri

Allow lazy-evaluated string objects (such as reverse_lazy) to be assi…",Christopher Grebs,2016-07-18T08:55:53Z,EnTeQuAk,EnTeQuAk,17,17,0
32,django-csp,d7eeea51cb434159c04d9a533ab280abcb1a05c2,Allow lazy-evaluated string objects (such as reverse_lazy) to be assigned to CSP_REPORT_URI,David Neale,2016-07-18T08:17:37Z,nealedj,nealedj,17,17,0
33,django-csp,4c6d052dce0a010dce8cb0e11b2e01cb431a64bf,Update docs for the new release,Christopher Grebs,2016-07-11T18:07:35Z,EnTeQuAk,EnTeQuAk,6,3,3
34,django-csp,f147bb0eabdcc4a1ecee79a2c60582e3e3131fa3,Prepare changelog for v3.0,Christopher Grebs,2016-07-11T18:01:22Z,EnTeQuAk,EnTeQuAk,17,10,7
35,django-csp,1b33baf090143b4487a1a6dd7395e3e1118eb26a,"Fix accidental mutation of config (#52)

The decorators would accidentally mutate config, causing future requests
against other views to return the wrong policy.

This fixes that.",David D Lowe,2016-07-04T08:43:05Z,Flimm,Flimm,122,84,38
36,django-csp,df08987e3552136d069ec658bcaa5e7cbb749ef9,"Remove leftover references to the old report processing feature (#65)

Fixes #64.",Ed Morley,2016-05-06T14:58:37Z,edmorley,edmorley,11,7,4
