,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,django-dnt,6431ff497df5d5c661d5e4e97ac9692f281046f1,"Merge pull request #9 from mozilla/release-1.0

Prepare for 1.0 release",John Whitlock,2020-08-12T15:57:59Z,jwhitlock,jwhitlock,24,15,9
1,django-dnt,548a34693913ec111ff9daae3d45c2e33303ff6c,"Remove registration steps from release

test.pypi.org no longer requires registration before upload, and errors
if it is attempted with:

Project pre-registration is no longer required or supported, upload your files instead.

Also remove from the release step, which may be incorrect, but I won't
know until after tagging v1.0.",John Whitlock,2020-08-12T15:48:56Z,jwhitlock,jwhitlock,4,0,4
2,django-dnt,1a7f575d8eea60395adeeaa62970279801809aeb,"Add link to Wikipedia page on Do Not Track

There is some important context about this project and the status of Do
Not Track as a web standard that is documented on that page.",John Whitlock,2020-08-12T15:35:15Z,jwhitlock,jwhitlock,3,2,1
3,django-dnt,87c3e8c5846627fa31e3d630994d78ce6970aa1e,Add jwhitlock as maintainer,John Whitlock,2020-08-12T15:34:55Z,jwhitlock,jwhitlock,2,2,0
4,django-dnt,b51787479bc6416163ff3d65a23e937c32f1ddfa,CI: Match Python and TOXENV for Py 3.4/Django 1.8,John Whitlock,2020-08-12T15:09:29Z,jwhitlock,jwhitlock,2,1,1
5,django-dnt,1d068f6946b238388a359a59de2498b8ffc7f893,"Prepare for 1.0 release

This project is already feature complete and used in production
websites, so we're embracing semantic versioning with a 1.0 version, and
updating the PyPI classifier from ""beta"" to ""mature"".",John Whitlock,2020-08-12T14:31:02Z,jwhitlock,jwhitlock,13,10,3
6,django-dnt,dd80b6e79ff2344635a9cd3cac7e3e4798755026,"Merge pull request #6 from mozilla/django-2x

Update test matrix, CI build",John Whitlock,2019-03-29T20:05:20Z,jwhitlock,jwhitlock,45,39,6
7,django-dnt,e09d2dfc04160778e7fcfbbdfd9ce64aa715b78e,Add a lint test to TravisCI,John Whitlock,2019-03-29T19:56:00Z,jwhitlock,jwhitlock,10,10,0
8,django-dnt,23f28b361b54b7427d1aa632b544d04f52f5e065,Add CODE_OF_CONDUCT.md to package manifest,John Whitlock,2019-03-29T19:54:38Z,jwhitlock,jwhitlock,1,1,0
9,django-dnt,76a899d4f871ea4db2f6bcd2f427578f79c7b8a4,"Move codecov upload to tox

This is the integration recommended by the codecov project.",John Whitlock,2019-03-29T19:46:47Z,jwhitlock,jwhitlock,6,4,2
10,django-dnt,13b98293065e3ee6547bb4e7128eb36f05efd23c,"Add tests for Django 2.0-3.0, Py3.7

Add TravisCI tests for Django 2.0, 2.1, 2.2 (pre-release) and 3.0 (dev).
Test master branch with Python 3.7.",John Whitlock,2019-03-29T19:38:19Z,jwhitlock,jwhitlock,28,24,4
11,django-dnt,bc970b7b127876d257de2667da441ba4edb0ae62,"Merge pull request #5 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",John Whitlock,2019-03-29T19:29:43Z,jwhitlock,jwhitlock,12,12,0
12,django-dnt,fe3cdccfd5c421b1b317be9d4f024b058b295b88,"Add Mozilla Code of Conduct file

Fixes #4.

_(Message COC002)_

(Updated by jwhitlock for linting and to remove project-specific
placeholder)",Mozilla-GitHub-Standards,2019-03-28T03:41:05Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,12,12,0
13,django-dnt,3879331ce711df7c2c078742f2afee79fcd37fe7,"Merge pull request #2 from mozilla/refresh_project

Get project up to current standards, update to v0.2.0",John Whitlock,2017-02-17T20:08:31Z,jwhitlock,jwhitlock,447,434,13
14,django-dnt,e695d931b62db1058c5aa981e3b7a5e4d2716972,Update to v0.2.0,John Whitlock,2017-02-17T18:34:10Z,jwhitlock,jwhitlock,10,8,2
15,django-dnt,a96011d04c14cafb26c78c2bb2e605f1cd8b72eb,"Update packaging

* Add a HISTORY.rst for version history
* Check package with check-manifest and pyroma
* Add README.rst (w/o badges) and HISTORY.rst to package description
* Add more make targets: help, sdist, release, etc.",John Whitlock,2017-02-17T17:36:07Z,jwhitlock,jwhitlock,138,131,7
