,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,django-memcached-pool,1535fb02e668095250cc115ea45ebe0d5b737817,prep for release,Tarek Ziade,2013-12-13T09:17:17Z,tarekziade,tarekziade,8,6,2
1,django-memcached-pool,15df2193b04e859b1926cfa3aa37ade622e5eabb,"Merge pull request #9 from fernandogrd/pickle_higuest_protocol

Use pickle.HIGHEST_PROTOCOL (fix issue #8)",Tarek Ziade,2013-09-27T20:06:03Z,tarekziade,tarekziade,3,2,1
2,django-memcached-pool,02c1c3164653e1a6d6f0939cf5c460c959e418c9,"Use pickle.HIGHEST_PROTOCOL (fix issue #8)

Signed-off-by: Fernando Rocha <fernandogrd@gmail.com>",Fernando Rocha,2013-02-12T19:00:19Z,fernandogrd,fernandogrd,3,2,1
3,django-memcached-pool,c782b7c7a30ed39753a6f792ec5fb17b75864e9c,now using a cursor to pick the server - this way the retry-loop has a chance to try different servers,Tarek Ziade,2012-12-10T12:55:21Z,tarekziade,tarekziade,9,7,2
4,django-memcached-pool,3044f55c0ada3920c544746e2891216adb51121e,added a retry-loop in the django class,Tarek Ziade,2012-12-10T12:51:24Z,tarekziade,tarekziade,61,33,28
5,django-memcached-pool,d1c05b0b2305c7dcfb116153b4c240982a2fa628,added socket errors,Tarek Ziade,2012-12-10T12:24:02Z,tarekziade,tarekziade,3,2,1
6,django-memcached-pool,8a589f32e1585134166568e4fcbc2bb1a8153751,added a ReconnectClient that makes the connector prone to server restarts,Tarek Ziade,2012-12-10T10:24:08Z,tarekziade,tarekziade,102,99,3
7,django-memcached-pool,4e843abd6061291ffe85ef5ed8f91d15339da263,flake8ed,Tarek Ziade,2012-12-10T08:42:27Z,tarekziade,tarekziade,26,15,11
8,django-memcached-pool,69fe0f798f6fd1928c86c3939ffa5b4a130b737f,"Merge pull request #5 from aleksandr-rakov/master

fix the empty slot",Tarek Ziade,2012-11-17T09:03:32Z,tarekziade,tarekziade,27,19,8
9,django-memcached-pool,bf14f283dba1438c06278b6a4f171d261ae9dd0d,In most cases we dont need wait for available connection longer then sockettimeout,Doggy,2012-10-09T09:31:31Z,Doggy,Doggy,19,12,7
10,django-memcached-pool,333043fbef14fe50a82beb972a03cbcb9c73e678,When maxsize is not None and create umemcache client fails(server down or network error) we need return empty slot to queue,Doggy,2012-10-09T09:10:35Z,Doggy,Doggy,8,7,1
11,django-memcached-pool,c99bf86644976faaaf399e616bbd474ea581262f,"Merge pull request #4 from pagles/master

Incr decr working",Tarek Ziade,2012-10-08T09:04:42Z,tarekziade,tarekziade,102,79,23
12,django-memcached-pool,44f93d4fd2ee475e23106d63a3b35832fad96de5,PEP8 and comments,Yorgos Pagles,2012-10-08T08:27:18Z,pagles,pagles,10,5,5
13,django-memcached-pool,2cde7d3966136295488fc690c4e812d4f79d28c7,Support for incr decr,Yorgos Pagles,2012-10-08T08:15:21Z,pagles,pagles,102,79,23
14,django-memcached-pool,caff2444e38da8686fb53ae8d9822c152e633ddd,starting 0.4,Tarek Ziade,2012-10-05T13:19:42Z,tarekziade,tarekziade,5,4,1
15,django-memcached-pool,8ea219bd19c242547eee787cbd97063837d2dacd,prepping for 0.3.1,Tarek Ziade,2012-10-05T13:18:12Z,tarekziade,tarekziade,10,7,3
16,django-memcached-pool,00737a7b10818f6e0dfb82ec5c4085672102b3ca,make sure the timeout=0 case is not broken - fixes #1,Tarek Ziade,2012-10-05T13:16:18Z,tarekziade,tarekziade,5,5,0
17,django-memcached-pool,942b5f86b5fc198b58ad1f2e1446e774dfdf234c,"Merge pull request #2 from pagles/patch-1

Fixing cache.clear",Tarek Ziade,2012-10-05T13:01:57Z,tarekziade,tarekziade,2,1,1
18,django-memcached-pool,23b08109e4e85be431dfee821a2b22fe911be9ce,Fixing cache.clear,Yorgos Pagles,2012-10-05T12:58:32Z,pagles,pagles,2,1,1
19,django-memcached-pool,a599851965bc48bfea3990b1f33c68a649ff89dd,starting 0.4;,Tarek Ziade,2012-10-05T10:12:40Z,tarekziade,tarekziade,5,4,1
20,django-memcached-pool,ae46862a3d051cbf03b81bc631f2bfa921a81863,prep for release,Tarek Ziade,2012-10-05T10:11:27Z,tarekziade,tarekziade,7,5,2
21,django-memcached-pool,5e274d4825b08a9f29b32e819174ed646d5a2202,added a note about umemcache version - I don't want to force this via setup.py,Tarek Ziade,2012-10-05T10:10:05Z,tarekziade,tarekziade,2,2,0
22,django-memcached-pool,8c0732db3408a10c992c47fa60682b3b5cd8a050,added DEFAULT_ITEM_SIZE,Tarek Ziade,2012-10-05T10:08:55Z,tarekziade,tarekziade,36,11,25
23,django-memcached-pool,876fc984db2045e235240223aa21a57ef300905b,starting 0.3,Tarek Ziade,2012-10-05T09:37:29Z,tarekziade,tarekziade,5,4,1
24,django-memcached-pool,0dcf7ca0d7d54c1dacc04296a22f7d8193ee02e4,upd changelog,Tarek Ziade,2012-09-07T14:09:51Z,tarekziade,tarekziade,5,5,0
25,django-memcached-pool,73307492cb248148a6bfba6bba29a0a6510b1653,"oo, .1 was released on pypi",Tarek Ziade,2012-09-07T14:08:50Z,tarekziade,tarekziade,2,1,1
26,django-memcached-pool,16c0e5009196a606da2fe0e63a1b92f15b25bebf,added a licence,Tarek Ziade,2012-09-07T14:06:50Z,tarekziade,tarekziade,16,15,1
