,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,django-post-request-task,ac2cf8eb1adf051579045d8cd51cc64606e0b6b0,"Merge pull request #22 from mozilla/switch-to-circleci

Switch to Circle CI, modernizing tox config and supported Python/Django versions",Mathieu Pillard,2020-12-17T11:09:07Z,diox,diox,137,38,99
1,django-post-request-task,35cc9a1e08cf088377b2e1307be45119bc5ceed4,Config tweaks,Mathieu Pillard,2020-12-16T17:23:26Z,diox,diox,6,4,2
2,django-post-request-task,005768fa900297dba02b25dc5c0c83eccbceb75a,Make python version dynamic,Mathieu Pillard,2020-12-16T16:51:20Z,diox,diox,6,3,3
3,django-post-request-task,ff4d1b3224c60f6270688019ae191d32282ad00f,Install tox in circleci builds,Mathieu Pillard,2020-12-16T15:39:26Z,diox,diox,1,1,0
4,django-post-request-task,b401d1accda68eef50638a7b3e533e5fc0d9bb10,Really use strings for parameters,Mathieu Pillard,2020-12-16T15:16:32Z,diox,diox,4,2,2
5,django-post-request-task,5ad1e5032ea5db757cf12e903c5ca91fe68f8f2f,Add circleci config,Mathieu Pillard,2020-12-16T15:12:07Z,diox,diox,24,24,0
6,django-post-request-task,073c828a4dd596a1533b247fc619af472a6fa011,"Switch to Circle CI, modernizing tox config and supported Python/Django versions",Mathieu Pillard,2020-12-16T14:48:09Z,diox,diox,110,11,99
7,django-post-request-task,4b1f410e85b616010b44702fa905b3ce53862afb,Update README.rst,Mathieu Pillard,2020-12-16T13:37:58Z,diox,diox,4,2,2
8,django-post-request-task,d4cef469d7b94eee31fde1f388e937e7f7927e62,Tag 0.4.1,Mathieu Pillard,2019-08-30T11:20:40Z,diox,diox,2,1,1
9,django-post-request-task,f2e8596d70a031dca5ef3bfab91ef1d66fc70577,Relax Django version in install_requires,Mathieu Pillard,2019-08-30T11:18:09Z,diox,diox,2,1,1
10,django-post-request-task,aa0f745a756bbc74f2de55917c6b5d0f91a16488,Prepare 0.4.0,Christopher Grebs,2019-06-25T10:59:31Z,EnTeQuAk,EnTeQuAk,2,1,1
11,django-post-request-task,65273d5561104c60adeef727cd7111881a27db05,"Move to xenial on TravisCI, Drop Python 3.4, 3.5 and add Python 3.7 support (#15)

* Move to xenial on TravisCI, Drop Python 3.4, 3.5 and add Python 3.7 support

This also adds support for Django 2.1 and Django 2.2

* Update setup.py

* Bump version number

* Fix travis config

* Drop pypy from testing, Travis Xenial doesn't support it

* Remove remaining pypy pieces",Christopher Grebs,2019-06-22T12:20:26Z,EnTeQuAk,EnTeQuAk,102,41,61
12,django-post-request-task,616ddf96f79a55ef8746dcc1ef57fc2a212ef36b,Add Django 2.2 support to tox file,Christopher Grebs,2019-06-22T12:17:14Z,EnTeQuAk,EnTeQuAk,12,12,0
13,django-post-request-task,106ddffc4ea851046936e8d0f7d82af96b1cc4a7,Allow support for Django 2.2,Christopher Grebs,2019-06-22T12:16:05Z,EnTeQuAk,EnTeQuAk,2,1,1
14,django-post-request-task,7aa6668ed17d9c9a05842e698d92e33fc8d4ffe9,Add Django 2.2 to travis.yml,Christopher Grebs,2019-06-22T12:15:43Z,EnTeQuAk,EnTeQuAk,3,3,0
15,django-post-request-task,9ea9d7004f5f93e82311ab170afcf6e51fbf82ff,"Merge pull request #18 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Mathieu Pillard,2019-03-31T18:38:37Z,diox,diox,15,15,0
16,django-post-request-task,0644e4b968ecac2746a6a10d08bf2a10d75033d8,"Add Mozilla Code of Conduct file

Fixes #17.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-29T17:09:38Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
17,django-post-request-task,6bed1f56ad8709b377da2bbe6fd537152a0792f9,Remove remaining pypy pieces,Christopher Grebs,2019-01-22T15:39:47Z,EnTeQuAk,EnTeQuAk,3,0,3
18,django-post-request-task,1e106c1ac4297a4a5f8d19375cbe48fccc324ac5,"Drop pypy from testing, Travis Xenial doesn't support it",Christopher Grebs,2019-01-22T12:21:58Z,EnTeQuAk,EnTeQuAk,9,0,9
19,django-post-request-task,3a19eb45d4acd0d74aeabf935a61a040ef3b1a5f,Fix travis config,Christopher Grebs,2019-01-22T12:13:03Z,EnTeQuAk,EnTeQuAk,8,4,4
20,django-post-request-task,f339e83e7b40d076a835432e006c305f5fb6e23f,Bump version number,Christopher Grebs,2019-01-22T12:11:53Z,EnTeQuAk,EnTeQuAk,2,1,1
