,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,doctorjs,e5836c98ee2be67659856a1b2a638a01836efb55,narcissus parses array comprehensions,dimvar,2010-06-22T21:33:15Z,dimvar,dimvar,34,30,4
1,doctorjs,6e23796bbc12f7b370eac62a897055af8b677bf9,Merge branch 'master' of git://github.com/pcwalton/jsctags,dimvar,2010-06-22T19:00:43Z,dimvar,dimvar,4,2,2
2,doctorjs,a07a595b6d572d5ac8f704726df6521728fdb550,narcissus parses destructuring,dimvar,2010-06-22T18:59:42Z,dimvar,dimvar,18,13,5
3,doctorjs,fe3489c796b86ef27609f2296547533f268e303f,extended parser to handle yield expressions,dimvar,2010-06-22T00:53:13Z,dimvar,dimvar,7,6,1
4,doctorjs,bdc9f52a2397720602903393b8e37b46f793a841,"jscfa: fixed some bugs after I did more AST normalizing

jsparse: extended to add for-each. Fixed let in forloop head.
Fixed error reporting for for/in.",dimvar,2010-06-22T00:35:40Z,dimvar,dimvar,140,82,58
5,doctorjs,d89ba6a2a254b83f827e3d266b2dfb41d167a4da,"Add jscfa.js to the Makefile, issue 5",Patrick Walton,2010-06-21T18:27:44Z,pcwalton,pcwalton,4,2,2
6,doctorjs,ed3c5c1d4383aeacde05edda3e90f1057f446024,more AST cleanups and bug fixing,dimvar,2010-06-18T15:48:07Z,dimvar,dimvar,165,93,72
7,doctorjs,0103852556318f4ad0d77c14ec77fbba1b115918,Merge branch 'master' of git://github.com/pcwalton/jsctags,dimvar,2010-06-18T00:40:07Z,dimvar,dimvar,179,151,28
8,doctorjs,5849726d3081be78338a5bdc960a4c015a3e9371,added code that finds the continuations of each statement in the AST,dimvar,2010-06-18T00:38:57Z,dimvar,dimvar,1602,945,657
9,doctorjs,06323508be3cc6fa037a3e580ea1614336f94fb4,Delete commented out code,Patrick Walton,2010-06-17T00:24:17Z,pcwalton,pcwalton,6,0,6
10,doctorjs,5587db58a899a602a4317b857822b4bd54f5dddd,Fix the binary search when stemming the top of the array; also fix the sort on add(),Patrick Walton,2010-06-15T21:50:26Z,pcwalton,pcwalton,6,3,3
11,doctorjs,2bf923b7fb2b70650fb564ff2aa91903f4ab4a6c,"Merge http://github.com/dimvar/jsctags

Conflicts:
	lib/jsctags/narcissus/jsparse.js",Patrick Walton,2010-06-15T17:35:26Z,pcwalton,pcwalton,902,883,19
12,doctorjs,2639610b684520ee5aab759673118bebba96d379,CFA code prototype just added to the repo,dimvar,2010-06-15T17:30:21Z,dimvar,dimvar,839,839,0
13,doctorjs,3dcf8d2477621cffc0b1d79d482716c22a8c26ba,minor edits,dimvar,2010-06-15T09:12:12Z,dimvar,dimvar,32,22,10
14,doctorjs,83e29f6e760cf794db80d73aa611a78a90dee60f,"Add an ""add"" method and rename the old ""add"" method to ""scan""",Patrick Walton,2010-06-12T01:00:35Z,pcwalton,pcwalton,26,18,8
15,doctorjs,3b8346f34bb57aaf2009fa2aabd9ac964833678b,Allow an initial set of tags to be passed in to the Tags constructor,Patrick Walton,2010-06-11T23:23:13Z,pcwalton,pcwalton,4,2,2
16,doctorjs,906d9b50ac49d0b70e7b6aa2e5d5edb08b7ff944,Add JSONP writing support,Patrick Walton,2010-06-11T23:18:24Z,pcwalton,pcwalton,33,29,4
17,doctorjs,8bb4f452aaa4c8c8b4f18c4465ee4d26f508dfeb,Add stemming support,Patrick Walton,2010-06-11T19:05:10Z,pcwalton,pcwalton,42,27,15
18,doctorjs,f0b840c3af91071e943f56a4c321868d15552561,insignificant change: changed const back to var in the beginnings of files,dimvar,2010-06-11T01:51:54Z,dimvar,dimvar,38,25,13
19,doctorjs,8d4fb5065c6a85acd26ce8c02016f0d1b1e67193,"'AS IS' -> ""AS IS"" in license text",Patrick Walton,2010-06-11T01:30:52Z,pcwalton,pcwalton,24,12,12
20,doctorjs,b1cea862e6e53813873e3336f77f41bbdd40b85d,Implement tag lookup,Patrick Walton,2010-06-11T01:28:29Z,pcwalton,pcwalton,24,23,1
21,doctorjs,6abff59cdf10f014e12a7f06dd32d19bb68d48a1,modified parsing of let-expressions when they appear in a statement context,dimvar,2010-06-10T01:40:28Z,dimvar,dimvar,20,17,3
22,doctorjs,b3bac9a14c79fbbe6371cfeff9a98429ed3c1dd8,modified parsing of let-expressions when they appear in a statement context,dimvar,2010-06-10T01:40:28Z,dimvar,dimvar,20,17,3
23,doctorjs,b7a9d31c28f7843b4facfbe845afae5f3dd29036,Add the ability to read tag files,Patrick Walton,2010-06-09T19:23:43Z,pcwalton,pcwalton,61,60,1
24,doctorjs,8ca1f6ceff7deba0c0d7f963c1c66cd0bfc25a8d,Move test cases to test/testcases to differentiate them from functionality tests,Patrick Walton,2010-06-09T18:50:30Z,pcwalton,pcwalton,0,0,0
25,doctorjs,0cac2b73a7adb7c9cc4a455c6c628d307f263138,"changed var to const in the beginning of jslex, jsparse",dimvar,2010-06-03T00:40:22Z,dimvar,dimvar,22,11,11
26,doctorjs,af3415c3e41e5350f75e12105fbab6ad5256ddc1,eliminated redundancy in test,dimvar,2010-06-02T23:38:14Z,dimvar,dimvar,2,1,1
27,doctorjs,70f71e8963bf6897ba5c46e6bb63739ac16faf97,fixed bug in forloop lets,dimvar,2010-06-02T23:30:33Z,dimvar,dimvar,8,1,7
28,doctorjs,3c8cf2045a958446982f6ca741ef1998049ab8a7,parsed expression closures,dimvar,2010-06-02T23:03:56Z,dimvar,dimvar,17,13,4
29,doctorjs,8dfb2a3fc90689b79e606b7a0690ed6b3eef4666,"fixed let in forloops, except destructuring",dimvar,2010-06-02T22:29:28Z,dimvar,dimvar,15,10,5
30,doctorjs,131534c29345ff29165f70793642736d61792f4b,removed some prints,dimvar,2010-06-02T18:31:01Z,dimvar,dimvar,2,0,2
31,doctorjs,4dba9fe05dcab8959e6f25c3e20991b0f00298f1,Modified narcissus parser to handle LET.,dimvar,2010-06-02T18:13:12Z,dimvar,dimvar,281,192,89
32,doctorjs,d8405996049db241987f9822c482c1f17fefc0ad,Add a short usage blurb to the readme,Patrick Walton,2010-05-26T21:05:26Z,pcwalton,pcwalton,8,8,0
33,doctorjs,e91d91f4b3fb9a5b162d491ab47b8dcca3498c24,Make package.json not always include the current directory,Patrick Walton,2010-05-26T01:38:30Z,pcwalton,pcwalton,12,10,2
34,doctorjs,0bc43fab506074ea1bf3d7321530d96b1dbcebb0,More Markdown fixes,Patrick Walton,2010-05-25T23:34:38Z,pcwalton,pcwalton,1,1,0
35,doctorjs,faa67e24af64a534c9f9091f9284ed079b215997,Fix Markdown in README.md,Patrick Walton,2010-05-25T23:34:02Z,pcwalton,pcwalton,3,3,0
36,doctorjs,c65e11e932cbd7b1fac73c4397c506d3eb9b6c37,Update the readme,Patrick Walton,2010-05-25T23:33:26Z,pcwalton,pcwalton,63,49,14
37,doctorjs,02871d71d97dd655788c5751ff9a934ba304f6e7,Add a -o option to control where the output goes,Patrick Walton,2010-05-25T22:25:57Z,pcwalton,pcwalton,9,5,4
38,doctorjs,4ca01fcaa3ea3a8238a3fd75b581d0a2e7ca9403,Add a -W switch to control output,Patrick Walton,2010-05-25T22:18:06Z,pcwalton,pcwalton,30,20,10
39,doctorjs,063a9dedfbf6e3b04e2e870f81732b09aec303ca,Remove unused underscore.js import in serve.js,Patrick Walton,2010-05-25T22:04:59Z,pcwalton,pcwalton,15,13,2
40,doctorjs,0acca2f30cc6ec01ba17cba1a4e3b90e6b97b85d,Rework the directory structure to be saner; add a Makefile; add a web server,Patrick Walton,2010-05-25T21:34:10Z,pcwalton,pcwalton,1102,1037,65
41,doctorjs,ecaa96526a808b7ea7d75cb65e8caddad97ff5c3,TODO files are for losers,Patrick Walton,2010-05-25T17:24:29Z,pcwalton,pcwalton,1,0,1
42,doctorjs,674a58d6754d2e273764134db8a0e5577177bac5,"Make unresolved variables spring into existence, needed for jQuery plugins",Patrick Walton,2010-05-25T01:59:25Z,pcwalton,pcwalton,25,14,11
43,doctorjs,9635c0edf5349cb5fd6478007a5e484b364eec9c,"When searching for CommonJS packages, only recurse upward until a fixpoint is reached; tolerate syntax errors",Patrick Walton,2010-05-25T01:08:49Z,pcwalton,pcwalton,12,9,3
44,doctorjs,b71d1d7a846962ae34afa53c962865d2d1a51f50,Prevent the lexer from crashing if the source file consists entirely of comments,Patrick Walton,2010-05-25T01:03:09Z,pcwalton,pcwalton,2,1,1
45,doctorjs,3934fd493924f59a5f5eb7de794dc43b9e532bad,"Scan for CommonJS modules from the bottom up, not from the top down",Patrick Walton,2010-05-25T00:36:22Z,pcwalton,pcwalton,133,63,70
