,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,dogear,56bafcbf29345f655ae0bbdf51d0c2cb69b38388,Fix up Clippy lints and missing docs for `remote_node_is_syncable`.,Lina Cambridge,2019-02-23T19:56:26Z,linacambridge,linacambridge,46,24,22
1,dogear,43c1adb5204ac9024b43684098b7ce2ae4a8c960,Enable Rust 2018 🦀 and bump copyright year. 📅,Lina Cambridge,2019-02-23T19:45:42Z,linacambridge,linacambridge,33,25,8
2,dogear,6289e75fd13a3b147ed796ca319e86a53a531d45,Treat remote livemarks and diverged queries as non-syncable.,Lina Cambridge,2019-02-15T08:44:01Z,linacambridge,linacambridge,18,15,3
3,dogear,7758dec2a0bbd1bea192083e3bdc5ef8c6f66fc3,Log merged local and remote deletions.,Lina Cambridge,2019-02-15T08:43:40Z,linacambridge,linacambridge,19,16,3
4,dogear,95eebf3f447eec2086328aa33361de2487a1c90a,Collect descendants and deletions instead of returning an iterator.,Lina Cambridge,2019-02-14T06:16:49Z,linacambridge,linacambridge,77,31,46
5,dogear,5cdef6909243f0198bc85978232e31e24d853984,Ignore `Repr` when comparing and hashing GUIDs.,Lina Cambridge,2019-02-12T22:10:45Z,linacambridge,linacambridge,33,30,3
6,dogear,d84a6bc75927410a4f10f4c43da2a439a0463a8d,Rename `guid::IsValid` to `guid::IsValidGuid`.,Lina Cambridge,2019-02-12T00:55:04Z,linacambridge,linacambridge,30,15,15
7,dogear,0477bf47795ad49345e6518dfdb331634a8ed50c,Compare timestamps instead of taking the other side for diverged items.,Lina Cambridge,2019-02-10T05:55:40Z,linacambridge,linacambridge,72,32,40
8,dogear,13114ea26c245f439114394d118cb9d65dbf3cbd,"Track item validity states and flag invalid items for reupload.

This ports the merger parts of
https://bugzilla.mozilla.org/show_bug.cgi?id=1515784.",Lina Cambridge,2019-02-06T00:05:16Z,linacambridge,linacambridge,114,97,17
9,dogear,b9c8d330c79912405477238762cca211f6fc1d1d,Don't allow roots to be moved or deleted.,Lina Cambridge,2019-02-05T03:03:42Z,linacambridge,linacambridge,232,216,16
10,dogear,57c9c538d3b6a6ed744852e2aaccdfabb50d3018,Add a `guid::IsValid` trait for `Guid`s and byte slices.,Lina Cambridge,2019-02-05T03:03:13Z,linacambridge,linacambridge,77,34,43
11,dogear,917fc439b8bc61ce14ce46786cedfd8d03c0dcf0,Add docs and `inline` attributes to tree methods.,Lina Cambridge,2019-02-02T03:23:24Z,linacambridge,linacambridge,88,53,35
