,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,domesday,9d8e6efa54bfe5d17ec8f6e82bb4a084dc2a1903,Added jingo and an example app rendering a simple template.,Fred Wenzel,2011-01-05T23:06:53Z,Fred Wenzel,Fred Wenzel,62,58,4
1,domesday,e9bcb86494f211020d492dc648dc4524178772d9,Shorter URL for docs.,Fred Wenzel,2011-01-05T22:38:22Z,Fred Wenzel,Fred Wenzel,2,1,1
2,domesday,7405c171e6ffb1c22141fab0081b7a9f618b0302,virtual*env*,Fred Wenzel,2011-01-05T17:50:17Z,Fred Wenzel,Fred Wenzel,2,1,1
3,domesday,de0e1dafa59b5fcaebeae58f868ab77b5bc9501d,Added a list of libraries. Probably not even remotely comprehensive.,Fred Wenzel,2011-01-05T17:24:28Z,Fred Wenzel,Fred Wenzel,90,90,0
4,domesday,81775bc1a3dece3b8dbc421ff5bc17c8e185b430,Docs auto-built on readthedocs.,Fred Wenzel,2011-01-05T00:25:53Z,Fred Wenzel,Fred Wenzel,2,1,1
5,domesday,b3c6005fa063793c60326bfe2e3b2cbf2c5f6af4,Added LICENSE document.,Fred Wenzel,2011-01-05T00:07:09Z,Fred Wenzel,Fred Wenzel,25,25,0
6,domesday,8f658fef36913222d314af3a5f2cf014c130b8bc,Moved some documentation from README to sphinx. Closes #6.,Fred Wenzel,2011-01-05T00:06:57Z,Fred Wenzel,Fred Wenzel,125,70,55
7,domesday,f5dc948737d9ec714b343125664c994e604d17ec,Added Sphinx (the documentation tool),Fred Wenzel,2011-01-04T23:12:34Z,Fred Wenzel,Fred Wenzel,373,373,0
8,domesday,6b0e693383d2aa386abcafd23ec892c659d5cfa8,Adding our basic L10n libraries,Austin King,2011-01-04T23:14:08Z,ozten,ozten,6,6,0
9,domesday,678e6b0fc4ccb5b71437fef22c6418ba29c2edcb,"Added commonware, used X-Frame-Options middleware.",Fred Wenzel,2011-01-04T02:20:27Z,Fred Wenzel,Fred Wenzel,17,16,1
10,domesday,a8e7be51ab0fe64a7bee15b93ec80ec1a808fc1a,Use SHA-512 by default.,Fred Wenzel,2011-01-04T02:03:01Z,Fred Wenzel,Fred Wenzel,8,4,4
11,domesday,f1445eaa32093467b385206a7918a34911b92756,"Recursive clone to check out initially. To start project, fork and branch to master.",Fred Wenzel,2011-01-03T23:54:18Z,Fred Wenzel,Fred Wenzel,23,19,4
12,domesday,3d414adc7856a30208a3e71a310e0213cc2dfd72,Updated django-sha256.,Fred Wenzel,2010-12-30T00:17:15Z,Fred Wenzel,Fred Wenzel,1,1,0
13,domesday,d5535e8e25794bd18b7560c2371730b09c2f2327,Updated django-sha256.,Fred Wenzel,2010-12-30T00:16:54Z,Fred Wenzel,Fred Wenzel,2,1,1
14,domesday,d507d0d2cad12f7d01c9c8c6cc22dac3962db6f2,Added empty media directories.,Fred Wenzel,2010-12-30T00:07:21Z,Fred Wenzel,Fred Wenzel,0,0,0
15,domesday,5db7edbabc276802786dd88e93bc1fb3c513b4a8,Added django-sha256,Fred Wenzel,2010-12-30T00:07:10Z,Fred Wenzel,Fred Wenzel,14,13,1
16,domesday,d118a3bbdcb52683c8f191acdc79a5d0a94d0211,No user image uploads by default.,Fred Wenzel,2010-12-29T23:40:05Z,Fred Wenzel,Fred Wenzel,1,0,1
17,domesday,5610113748f9121c80da6015d2a9ac44bf7eac78,Check out vendor library recursively when starting.,Fred Wenzel,2010-12-29T23:39:49Z,Fred Wenzel,Fred Wenzel,5,4,1
18,domesday,b7982f90e949b7c2d29410bd74c027287f393743,Renamed settings_local dist file,Fred Wenzel,2010-12-29T23:39:22Z,Fred Wenzel,Fred Wenzel,0,0,0
19,domesday,a8db7cfe9fd300b800bf58c70a4b6b930cd7cdfe,Added empty apps dir.,Fred Wenzel,2010-12-29T00:02:15Z,Fred Wenzel,Fred Wenzel,0,0,0
20,domesday,0ea9f05a3025bcd70f6087a8cd0ed065896ec884,"Moving around the settings file, creating a settings_local template.",Fred Wenzel,2010-12-29T00:01:29Z,Fred Wenzel,Fred Wenzel,96,66,30
21,domesday,3c81e3d271afd6bba47e9b8e693ccf0859958100,Packaging in Zamboni.,Fred Wenzel,2010-12-28T23:45:06Z,Fred Wenzel,Fred Wenzel,3,3,0
22,domesday,5bf5bc1c531e1c959e1396114086a9758b3a6c32,Added compiled and dev requirements files,Fred Wenzel,2010-12-28T23:42:42Z,Fred Wenzel,Fred Wenzel,7,7,0
23,domesday,c897a5c61b1bb7b5bb6988692a5c430ed76d001d,added a readme.,Fred Wenzel,2010-12-28T23:40:48Z,Fred Wenzel,Fred Wenzel,36,36,0
24,domesday,88cbf138695856773897cac09facd1a45a6c1e8d,Switch from bam-lib to playdoh-lib,Fred Wenzel,2010-12-28T23:25:45Z,Fred Wenzel,Fred Wenzel,2,1,1
25,domesday,effd10c952d25e41560a93f3ecf39f8fcd408bb2,@require_post requires post,Jeff Balogh,2010-12-16T22:05:46Z,Jeff Balogh,Jeff Balogh,10,10,0
26,domesday,fd0bca7997ed6bb7081930febdc627c92d70b5b1,adding a requirements file,Jeff Balogh,2010-12-16T22:05:21Z,Jeff Balogh,Jeff Balogh,3,3,0
27,domesday,292f85df586576028195ad34f9f29417221422b9,get a .wsgi loader,Jeff Balogh,2010-12-16T22:05:04Z,Jeff Balogh,Jeff Balogh,16,16,0
28,domesday,6d94ac6593297c224afa289a8dc8105608ee7030,updating vendor,Jeff Balogh,2010-12-16T22:03:19Z,Jeff Balogh,Jeff Balogh,2,1,1
29,domesday,6736c9534e402cbe72c79979e1ae006d24ea91eb,adding .gitignore,Jeff Balogh,2010-12-16T22:02:26Z,Jeff Balogh,Jeff Balogh,16,16,0
30,domesday,477c59d005ffe64c43e83fe409145295e6074e31,adding celery,Jeff Balogh,2010-12-16T22:01:40Z,Jeff Balogh,Jeff Balogh,14,14,0
31,domesday,5d3b97a035994b824d56d22bec1065105f46b76f,contenttypes is needed for syncdb,Jeff Balogh,2010-12-16T22:01:10Z,Jeff Balogh,Jeff Balogh,2,1,1
32,domesday,a1930af50d098f4c81fce5e810d436e8dab49488,try to find settings_local instead of settings.py,Jeff Balogh,2010-12-16T22:00:29Z,Jeff Balogh,Jeff Balogh,17,12,5
33,domesday,80fdffd4244f4206068f3ce3c6a36a6880251a76,add a vendor lib,Jeff Balogh,2010-12-15T23:43:43Z,Jeff Balogh,Jeff Balogh,28,28,0
34,domesday,d3d53069b64972531e0cb73fe70cf44bf2d078ce,only keep contrib.auth,Jeff Balogh,2010-12-15T23:32:18Z,Jeff Balogh,Jeff Balogh,10,4,6
35,domesday,80ee5a944902cf45ee9f39eb80b6bbbeafda9e1e,BUST A MOVE,Jeff Balogh,2010-12-15T23:31:13Z,Jeff Balogh,Jeff Balogh,123,123,0
36,domesday,293da051b8273da591081912c361c73dff4c4b04,Add django-auth-ldap.,Gervase Markham,2011-06-02T10:37:26Z,Gervase Markham,Gervase Markham,2392,2392,0
37,domesday,ff668905fa0ecb24e374bc5995162d4e1bcf4705,Move photo to left; other individual card UI improvements.,Gervase Markham,2011-05-25T13:22:43Z,Gervase Markham,Gervase Markham,23,14,9
38,domesday,a9a7e2d5c54327e453a2d0f9cf6051efafc40b4a,HTML5 field types and form validation.,Gervase Markham,2011-05-25T13:10:06Z,Gervase Markham,Gervase Markham,6,3,3
39,domesday,40b74b77f30a7dc242f37fa44137e30d664ae6cb,Remove privacy adjustment controls (for now).,Gervase Markham,2011-05-24T14:44:17Z,Gervase Markham,Gervase Markham,293,2,291
40,domesday,3706b0ce2ac73db8eed97421737b89933ac184f6,"Convert from ""blog"" and ""website"" to single URL field.",Gervase Markham,2011-05-23T15:28:58Z,Gervase Markham,Gervase Markham,98,24,74
41,domesday,34d7530e7430e781bda768198f7e3180ad0a34ed,Max tag length of 20 characters.,Gervase Markham,2011-05-23T15:12:35Z,Gervase Markham,Gervase Markham,14,9,5
42,domesday,f26bb580a825820f6dd19e99113238e2862cb42c,Merge branch 'base' of github.com:mozilla/domesday into base,Gervase Markham,2011-05-23T14:54:48Z,Gervase Markham,Gervase Markham,75,55,20
43,domesday,de1e6b99019979b3a9dda77c9e790cb6a99930b3,Tag landing pages.,Gervase Markham,2011-05-23T14:54:10Z,Gervase Markham,Gervase Markham,189,149,40
44,domesday,52599be0b72647d702d9c557e0e1f958df1dc17a,More license headers.,Gervase Markham,2011-05-23T14:21:43Z,Gervase Markham,Gervase Markham,226,226,0
45,domesday,be8849e95a1d30b2ad1749cfd108e7e1cae1a081,Add license blocks.,Gervase Markham,2011-05-23T13:54:30Z,Gervase Markham,Gervase Markham,1508,1472,36
46,domesday,c5ca1f248b9ccb0085573374fcaf75bd80ee8152,Add clarificatory note.,Gervase Markham,2011-05-23T13:43:09Z,Gervase Markham,Gervase Markham,3,3,0
47,domesday,374db32e7fdac2bb6efd5e982808eb1d8b502126,Add instructions on converting schema for addition.,Gervase Markham,2011-05-23T13:42:18Z,Gervase Markham,Gervase Markham,29,29,0
48,domesday,207e805a24ac678c097e0bf5a2dafae83b20e1cf,Further improvements to install instructions and test data.,Gervase Markham,2011-05-13T15:27:14Z,Gervase Markham,Gervase Markham,75,55,20
49,domesday,2bf1056eee8e53215d2615755e115765c6025d9e,"Use converted LDIF schema, not original format.",Gervase Markham,2011-05-13T14:38:13Z,gerv,gerv,67,41,26
50,domesday,1fdaa85e62fff2717cac463ea82108bcc6c06f21,Add sample image data and update paths.,Gervase Markham,2011-05-13T13:44:12Z,gerv,gerv,19,10,9
51,domesday,df1f6c3d5373e45422c22d7a88006c2f7f72cf16,Merge branch 'base' of github.com:mozilla/domesday into base,Gervase Markham,2011-05-13T13:32:36Z,gerv,gerv,1,1,0
52,domesday,b1efa90779166652a5645ea99c095efad81bd3c7,"Tag writing support, half way to Account writing support (django-ldapdb error), Photo upload support.",Gervase Markham,2011-05-13T13:31:59Z,gerv,gerv,67,55,12
53,domesday,fe88d871e8e080fe748e2e1127b5aac9d506582b,Putting django-ldapdb onto the python path,Austin King,2011-05-13T04:43:49Z,ozten,ozten,1,1,0
54,domesday,2d93b50f527a43df28f8f133991ff14a3e2728b9,New list of countries with values that are 2-letter codes.,Gervase Markham,2011-05-11T12:48:54Z,gerv,gerv,530,283,247
55,domesday,d768d2e249d5e5df21df472a198c695a45dabc98,Support for displaying external account information.,Gervase Markham,2011-05-09T15:42:50Z,gerv,gerv,283,158,125
56,domesday,c1c59c27752f1f52fd2cd200433cb41cd043eb4a,Initial support for accounts - model and searching,Gervase Markham,2011-05-06T14:40:40Z,gerv,gerv,139,118,21
57,domesday,c1781e23514bca163ee766429d8698d537466b3b,More services support,Gervase Markham,2011-05-04T16:30:31Z,gerv,gerv,33,18,15
58,domesday,407a8baeabe6f9b4e163e8982f629a505c53ad09,Add instructions necessary to support use of SQLite for some config data,Gervase Markham,2011-05-04T15:59:57Z,gerv,gerv,11,9,2
59,domesday,81e391ee687b1d83d606b51c6d67f3fff920e671,Add newer version of django-ldapdb with my upstreamed syncdb fix.,Gervase Markham,2011-05-04T15:19:45Z,gerv,gerv,150,109,41
60,domesday,594f8ec6625dbe78df3d659c8a3c5ae7fd0ec345,Merge branch 'base' of github.com:mozilla/domesday into base,Gervase Markham,2011-05-04T15:15:03Z,gerv,gerv,29,15,14
61,domesday,4c3cdef34d4535a42e85fc217d1a615f2b1a6ef1,Add initial support for list of services,Gervase Markham,2011-05-04T15:14:26Z,gerv,gerv,36,32,4
62,domesday,3775ccbb6fd32d547f0585db39e02677ae6617f6,Switch to proper multi-DB system for LDAP and database,Gervase Markham,2011-05-04T15:13:48Z,gerv,gerv,13,8,5
