,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,donate.mozilla.org,4b0a3d8f0bf71ccb24e1b425b0d422b6f0e219e2,"Merge pull request #95 from adamlofting/addrequest

Fixes #94 Add request to package.json",Ali Al Dallal,2015-07-28T12:04:56Z,alicoding,alicoding,5,3,2
1,donate.mozilla.org,784d62ded41478d37c18b63d0930e92929e5cb4f,Add request to package.json,Adam Lofting,2015-07-28T10:57:37Z,adamlofting,adamlofting,5,3,2
2,donate.mozilla.org,f566e56ca95d53cd7dd774adcea79307a2eca8a5,"Merge pull request #92 from ScottDowne/signup

signup redirect to share",Ali Al Dallal,2015-07-27T20:50:11Z,alicoding,alicoding,19,18,1
3,donate.mozilla.org,f6db62685b815e911b8be76136cdfc52a72b908c,signup redirect to share,Scott Downe,2015-07-27T20:25:56Z,ScottDowne,ScottDowne,19,18,1
4,donate.mozilla.org,619fe49745b5665e2f517987e0e21152c092e73e,"Merge pull request #91 from alicoding/l10nOptimization

Optimizing L10N",Ali Al Dallal,2015-07-27T17:16:17Z,alicoding,alicoding,283,132,151
5,donate.mozilla.org,50cf87c96c93dac2d3465d4f539400f7ecad7a5d,"Optimizing L10N

Changes to this patch and why:

1. Change from JSON to YAML
  This is just an improvement in translation flow for our translators.
Using YAML will allow us to add comments for our translators in case the
strings is unclear.

2. Added bulk require for preloading all the translation files
  This will help reduce error and runtime issue for loading our
translation files.

3. Remove namespace for pages.
  We used to namespace all of our strings, but since we are not a big
application I don't think that's useful, yet.",Ali Al Dallal,2015-07-27T16:43:59Z,alicoding,alicoding,283,132,151
6,donate.mozilla.org,57aff2bf1ce497385500cefc9806cdde7eb9e6d5,"Merge pull request #55 from ScottDowne/blah

some locale work and react work for simple paypal page",ScottDowne,2015-07-02T20:08:14Z,ScottDowne,ScottDowne,240,135,105
7,donate.mozilla.org,badc0410b51384eec6655914537948da4bf81fa0,"Merge pull request #52 from ScottDowne/paths

de wire paths a bit",Ali Al Dallal,2015-07-02T20:03:39Z,alicoding,alicoding,118,57,61
8,donate.mozilla.org,96417b8e980f8c1b40f13b7fabfc03fae44046e9,updates,Scott Downe,2015-07-02T20:01:00Z,ScottDowne,ScottDowne,12,5,7
9,donate.mozilla.org,2b24561926f0ab8622c50545b5b8bd9d5f90370a,some locale work and react work for simple paypale page,Scott Downe,2015-06-25T05:37:34Z,ScottDowne,ScottDowne,232,132,100
10,donate.mozilla.org,085e74709db03a30e633899b084f5aed66552834,"Merge pull request #53 from ScottDowne/format

few updates to formated intl strings",Ali Al Dallal,2015-06-22T02:02:11Z,alicoding,alicoding,11,8,3
11,donate.mozilla.org,5da98290c1b0463b869b91dd107464f720247e0f,"Merge pull request #54 from ScottDowne/validation

just some input attribute improvements",Ali Al Dallal,2015-06-22T02:00:01Z,alicoding,alicoding,32,16,16
12,donate.mozilla.org,a7eca6647de85b286feae64c9db921240cee9c2b,just some input attribute improvements,Scott Downe,2015-06-21T21:35:02Z,ScottDowne,ScottDowne,32,16,16
13,donate.mozilla.org,428820bd59397b9accd689a78f427d422dee37c9,few updates to formated intl strings,Scott Downe,2015-06-21T20:55:24Z,ScottDowne,ScottDowne,11,8,3
14,donate.mozilla.org,9a62ea7360c5e6bbdd7d8b3b5863687734c08cd4,review changes,Scott Downe,2015-06-21T20:19:19Z,ScottDowne,ScottDowne,23,8,15
15,donate.mozilla.org,dc481b906f74dd9f07442717bfd6ca2096b73bf6,Remove iojs from travis,Ali Al Dallal,2015-06-21T08:10:51Z,alicoding,alicoding,1,0,1
16,donate.mozilla.org,04d51410328688b13a9e8cb5be658147532ffbaa,de wire paths a bit,Scott Downe,2015-06-20T23:11:29Z,ScottDowne,ScottDowne,125,64,61
17,donate.mozilla.org,59844986318edf610e003f4def403ab8b1e9dee4,"Merge pull request #51 from ScottDowne/locales

just a small fix",Ali Al Dallal,2015-06-20T22:40:24Z,alicoding,alicoding,6,3,3
18,donate.mozilla.org,290193eaf2fb90c674e0c1f6a331e205e0930554,just a small fix,Scott Downe,2015-06-20T22:13:12Z,ScottDowne,ScottDowne,6,3,3
19,donate.mozilla.org,5f422638fc7545bfce38f61b7e0bc3355ccc434a,"Merge pull request #49 from alicoding/l10nv2

Localization",Ali Al Dallal,2015-06-20T08:09:50Z,alicoding,alicoding,245,224,21
20,donate.mozilla.org,397af64e17fa584af60d02d70dc694c524031010,Fixes,Ali Al Dallal,2015-06-20T07:52:56Z,alicoding,alicoding,40,11,29
21,donate.mozilla.org,41115247d9eeb9e55defb2dfbd57deeaa6651195,Localization,Ali Al Dallal,2015-06-19T13:02:04Z,alicoding,alicoding,263,242,21
22,donate.mozilla.org,6700a29060450974b4a5290aaf2083fdfeb7bc8a,"Merge pull request #48 from ScottDowne/coinbase

adding bitcoin donate page",ScottDowne,2015-06-18T22:04:38Z,ScottDowne,ScottDowne,56,54,2
23,donate.mozilla.org,ce2056bd047dd6c5380f8248440425280e5d7291,less is more,Scott Downe,2015-06-18T22:00:59Z,ScottDowne,ScottDowne,2,1,1
24,donate.mozilla.org,acd5c2036e4e7e48201d326071905063df47e7ca,adding bitcoin donate page,Scott Downe,2015-06-18T21:44:31Z,ScottDowne,ScottDowne,56,54,2
25,donate.mozilla.org,39da954493b13d2d73544017af0297c1599ec412,"Merge pull request #47 from ScottDowne/tree-2

update tree structure",Ali Al Dallal,2015-06-18T19:40:34Z,alicoding,alicoding,20,10,10
26,donate.mozilla.org,60632729ff29162fba241132d8a9019f85969868,update to path on webpack,Scott Downe,2015-06-18T19:37:29Z,ScottDowne,ScottDowne,2,1,1
27,donate.mozilla.org,7f4ff07836f397251ce8dc5d6f3dfe51550b7d58,update tree structure,Scott Downe,2015-06-18T19:31:03Z,ScottDowne,ScottDowne,18,9,9
28,donate.mozilla.org,7f6481e59614392ef762c1671fef6f297d8c3d9b,"Merge pull request #46 from alicoding/es6

ES6 and better stdout",Ali Al Dallal,2015-06-18T19:18:01Z,alicoding,alicoding,33,10,23
29,donate.mozilla.org,d8cf83b4b4d24c87467c2c2769720917c842b5a4,ES6 and better stdout,Ali Al Dallal,2015-06-18T19:12:29Z,alicoding,alicoding,33,10,23
30,donate.mozilla.org,8ecb0ec4af93e6ad0ea02d3e1e3d120d354f4749,"Merge pull request #45 from ScottDowne/paths-file

making a paths file to store meta data for paths",Ali Al Dallal,2015-06-18T18:36:48Z,alicoding,alicoding,63,46,17
31,donate.mozilla.org,2ceaba2d795d2ffa989c187d7d4942af79793eb8,making a paths file to store meta data for paths,Scott Downe,2015-06-18T18:13:33Z,ScottDowne,ScottDowne,63,46,17
32,donate.mozilla.org,ffe95a9ab3533ffa272b410203f05cea26d06f86,"Merge pull request #43 from ScottDowne/package

adding a package for a plugin",Ali Al Dallal,2015-06-18T16:38:44Z,alicoding,alicoding,29,2,27
33,donate.mozilla.org,e367882056109a6c5f0f562346dbe47a8292d9ad,adding a package for a plugin,Scott Downe,2015-06-18T15:47:55Z,ScottDowne,ScottDowne,29,2,27
34,donate.mozilla.org,8fb57491ca1f99ebb597e8c416a6715b7634c101,"Merge pull request #42 from alicoding/babel

Babel webpack",Ali Al Dallal,2015-06-18T16:22:01Z,alicoding,alicoding,9,6,3
