,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,dscontrib,a9399f4a6a88dd677447abcb35e060611890bff7,Fix typo and clarify slowness/,Jesse Mc Crosky,2019-05-14T19:28:54Z,Jesse Mc Crosky,Jesse Mc Crosky,4,2,2
1,dscontrib,cd375e11f7cfd35d1ee8de88f887d122492be388,"Merge pull request #36 from mozilla/somanyindentproblems

Yet more indent fixes.",jmccrosky,2019-05-14T18:52:36Z,jmccrosky,jmccrosky,27,14,13
2,dscontrib,ad6af89ccb3530b4dad9362690c1b12ff5df1c25,Yet more indent fixes.,Jesse Mc Crosky,2019-05-14T18:51:33Z,Jesse Mc Crosky,Jesse Mc Crosky,27,14,13
3,dscontrib,35870bfebc08095a1f67fb67cad8a8eb11e8e32e,"Merge pull request #35 from mozilla/moreindent

Fix more indent problems.",jmccrosky,2019-05-14T15:44:18Z,jmccrosky,jmccrosky,22,11,11
4,dscontrib,2a47292c8acd43a665ebe8b9eb0e93f00a454fc2,Fix more indent problems.,Jesse Mc Crosky,2019-05-14T15:43:46Z,Jesse Mc Crosky,Jesse Mc Crosky,22,11,11
5,dscontrib,7bab056c27e35b18f0d127397976d87c2b307134,"Merge pull request #34 from mozilla/fixindent

Fix indentation in getPandasDimensionQuery",jmccrosky,2019-05-14T13:54:42Z,jmccrosky,jmccrosky,6,3,3
6,dscontrib,b5f226be53a3f10c02349b09c844a85dffb5f51c,Fix indentation in getPandasDimensionQuery,Jesse Mc Crosky,2019-05-14T13:54:04Z,Jesse Mc Crosky,Jesse Mc Crosky,6,3,3
7,dscontrib,d8cfa90f9f5b45b1cb4cac9399dda453144b5b1f,"Merge pull request #33 from mozilla/addreadme

Add readme",jmccrosky,2019-05-14T13:32:31Z,jmccrosky,jmccrosky,28,28,0
8,dscontrib,e4d35ae7803fe2097a812fd7c11dbc37215dace7,Add readme,Jesse Mc Crosky,2019-05-14T13:32:07Z,Jesse Mc Crosky,Jesse Mc Crosky,28,28,0
9,dscontrib,ae762dc8539799d1e0b841c90d92044237e99283,"Merge pull request #32 from mozilla/fiximport

Fix imports for new package name.",jmccrosky,2019-05-14T11:11:56Z,jmccrosky,jmccrosky,15,8,7
