,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,dxr,36b83a49589477bcc83e7ef90b3eb9a524f63695,"getinfo.cgi works for type information.

I really need to finish rewriting the database :-(",Joshua Cranmer,2011-06-14T18:31:36Z,jcranmer,jcranmer,44,19,25
1,dxr,403667b40e75ecffa8e4ada6c443314b60ef0b71,Fix some search types and trees not named 'mozilla-central.',Joshua Cranmer,2011-06-14T00:16:43Z,jcranmer,jcranmer,302,160,142
2,dxr,8d0d78a4f82c99326ac9cf67715cf0b2dedce29d,Reorder steps so things work from a clean build.,Joshua Cranmer,2011-06-13T17:53:20Z,jcranmer,jcranmer,4,2,2
3,dxr,d5e841354c4c0bcbdd1d166596c7bdbfc9077a18,Store blobs and reuse them for HTML generation.,Joshua Cranmer,2011-06-13T17:21:06Z,jcranmer,jcranmer,87,63,24
4,dxr,1999c63f6b0f4f1e084ff812ea3fad36a6a295de,Linkify references again and remove the dependency on the database.,Joshua Cranmer,2011-06-10T21:11:29Z,jcranmer,jcranmer,245,131,114
5,dxr,4f5ac31e41cf4226dff3b875f0d9dec13f8954bb,"Clean up HTMLification, pt. 4: move HTML generation to the base.",Joshua Cranmer,2011-06-09T23:35:58Z,jcranmer,jcranmer,124,64,60
6,dxr,874963b243af4e4d22e2b7f133340eba2d3a6bba,"Clean up HTMLification, pt. 3: don't require at newlines.",Joshua Cranmer,2011-06-09T22:59:50Z,jcranmer,jcranmer,104,56,48
7,dxr,da9fc4bbcd1bb3c5ac033d907bdf21ffd7e3837f,"Clean up HTMLification, pt. 2: Tokenization changes",Joshua Cranmer,2011-06-09T18:36:36Z,jcranmer,jcranmer,101,45,56
8,dxr,14c77c2e113039ff2b86a0620c28749ae790475a,"Clean up HTMLification, pt. 1: generic sidebar generation.",Joshua Cranmer,2011-06-09T00:11:17Z,jcranmer,jcranmer,371,367,4
9,dxr,a77d9b7df9709e9c4a4d7762f84d6726facf1cad,Multiprocessing sucks. Global objects are much more performant.,Joshua Cranmer,2011-06-08T21:02:44Z,jcranmer,jcranmer,6,4,2
10,dxr,c8115b57890fff5a5b32d8d5d23df52214075581,"Glue post-processing in with xref generation.

The medium-term goals are to implode xref-scripts and to switch
HTMLification over to not using the SQL database but the big ball of
data.",Joshua Cranmer,2011-06-08T20:40:32Z,jcranmer,jcranmer,303,272,31
11,dxr,7a4067897cf83a20862743c91e832a8fbc9f2f61,"Rework the build setup slightly for some more generic stuff.

The next major batch will come when I rearchitect how run-dxr.py works.",Joshua Cranmer,2011-06-08T00:31:18Z,jcranmer,jcranmer,166,81,85
12,dxr,9cb80e9510249b6d86bcc47681fc0bef40854481,"Changes related to references.

Note that reference linkifying is currently disabled since it is soooo
slow.",Joshua Cranmer,2011-06-07T23:06:44Z,jcranmer,jcranmer,46,31,15
13,dxr,ac12d428fdc9f5ee4c35fd0e64a712397afa3fb4,"Make variable references actually work.

And things in macros really suck.",Joshua Cranmer,2011-06-07T18:34:23Z,jcranmer,jcranmer,61,41,20
