,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,elmo-templates,6753ae1e5017b7db562cbf619a84a49889c2f245,Merge branch 'main-title-size-tests',Adrian Gaudebert,2011-05-16T17:05:44Z,adngdb,adngdb,84,49,35
1,elmo-templates,6f3d347367c10a59d304f2fd93ae367f40200cee,Addind a div into the header to fix the title size problem.,Adrian Gaudebert,2011-05-16T17:05:30Z,adngdb,adngdb,72,40,32
2,elmo-templates,ebd976973ad7625f5f45ab25e5cdedb16ef035d1,Fixing title size problems.,Adrian Gaudebert,2011-05-16T17:03:17Z,adngdb,adngdb,13,7,6
3,elmo-templates,76c79cc60293e10914c016030a33d3b4e98831ca,Merge commit '593b43efa3df39fa73bc531554267b65daaff569',Adrian Gaudebert,2011-05-13T23:55:42Z,adngdb,adngdb,628,627,1
4,elmo-templates,c86b4aa47ae9c0243c6282e26db62087ecd74307,Adding a link to the normal homepage on Logout.,Adrian Gaudebert,2011-05-13T23:45:25Z,adngdb,adngdb,2,1,1
5,elmo-templates,8aa1d9887ad04de5d207c56e27ca2cdfa176ec02,Adding links to simulate the behavior of the login process.,Adrian Gaudebert,2011-05-13T23:44:03Z,adngdb,adngdb,169,166,3
6,elmo-templates,08d65e504a1d3e892792a1564db3b7cbf9544ea1,"Refactoring, small improvements",Adrian Gaudebert,2011-05-13T23:43:21Z,adngdb,adngdb,16,6,10
7,elmo-templates,00bb7d5e4fa362156121dd60d3349a5f79d21c7a,Adding labels and error messages,Adrian Gaudebert,2011-05-13T23:28:11Z,adngdb,adngdb,23,17,6
8,elmo-templates,1aaac6d18a9629618e277a6c5422307a5f411b30,Styling forms and error messages.,Adrian Gaudebert,2011-05-13T23:27:31Z,adngdb,adngdb,44,43,1
9,elmo-templates,f1834c4bdb48f09d4440678e2d53bd970343eb78,Styling forms,Adrian Gaudebert,2011-05-13T22:12:35Z,adngdb,adngdb,10,10,0
10,elmo-templates,711cc174c9af5bd0d7ba31f3dc6a888282459b24,First commit,Adrian Gaudebert,2011-05-13T22:12:12Z,adngdb,adngdb,466,466,0
11,elmo-templates,1c5c307c2b79185ad78aefbfa7421b7e1ee2d63f,Trying to solve the problem of example 1 .,Adrian Gaudebert,2011-05-13T21:22:33Z,adngdb,adngdb,5,5,0
12,elmo-templates,593b43efa3df39fa73bc531554267b65daaff569,Examples with different titles.,Adrian Gaudebert,2011-05-13T21:22:11Z,adngdb,adngdb,626,626,0
13,elmo-templates,7cd46c68ee7a18fff6eca6106bd1d3f3bdedfe11,Going back to the original title.,Adrian Gaudebert,2011-05-13T21:21:42Z,adngdb,adngdb,2,1,1
14,elmo-templates,cc50d4ae93a15d43851cfda449c17746ca98a419,No max-width for the main title.,Adrian Gaudebert,2011-05-13T20:49:04Z,adngdb,adngdb,1,0,1
15,elmo-templates,0ed38e9dc2277dc5420b8079c6ae41cb1d149af7,Reorganizing code.,Adrian Gaudebert,2011-05-13T19:11:51Z,adngdb,adngdb,50,26,24
16,elmo-templates,285850c2cefc6a234b37842d021b34d99a3602ee,Changing title to something longer for testing purpose.,Adrian Gaudebert,2011-05-13T19:11:31Z,adngdb,adngdb,2,1,1
17,elmo-templates,09d8bc652bbe9baf1575d0f71200c859c28575b6,Using ids for better performances (instead of body > header),Adrian Gaudebert,2011-05-13T18:41:58Z,adngdb,adngdb,23,13,10
18,elmo-templates,cd919df6c70e8da0e286712e91e33b63ef9f19fa,Fixing some concerns about the spaces around the header.,Adrian Gaudebert,2011-05-13T18:33:03Z,adngdb,adngdb,16,7,9
19,elmo-templates,f7348d1cea6b116916ff179d21603f8bca63e5d4,"Changing some single classes to ids, for better performances and because it makes sense.",Adrian Gaudebert,2011-05-13T17:49:35Z,adngdb,adngdb,68,34,34
20,elmo-templates,a0734cc685fa7218733789d211078c90d14c64d6,Better indentation and spacing.,Adrian Gaudebert,2011-05-13T17:32:44Z,adngdb,adngdb,210,106,104
21,elmo-templates,9f8da82e662bdc8e104e07baf20614539400a112,"Refactoring the selectors, removing useless things.",Adrian Gaudebert,2011-05-13T17:27:11Z,adngdb,adngdb,4,2,2
22,elmo-templates,8a7cfe87939f0af2a1e98af30ca229d86bf57df1,"Refactoring the selectors, removing useless things.",Adrian Gaudebert,2011-05-13T17:26:52Z,adngdb,adngdb,131,63,68
23,elmo-templates,1125fc81c12b2db06af7eb1f69155d6c36f7aa68,First commit,Adrian Gaudebert,2011-05-13T00:44:17Z,adngdb,adngdb,0,0,0
24,elmo-templates,e70f8a081d43cb1a01afce955281dd049b5a1d1a,Styling special content for the combo page,Adrian Gaudebert,2011-05-13T00:43:51Z,adngdb,adngdb,16,16,0
25,elmo-templates,fdac99ac53cb4f1f0bc213bec18aaa0edfc7d04d,Adding content,Adrian Gaudebert,2011-05-13T00:43:30Z,adngdb,adngdb,106,103,3
26,elmo-templates,681717a9b9418d4cedd5c2c28b3bc76a3baa52ae,Changing >> to the actual character.,Adrian Gaudebert,2011-05-13T00:43:00Z,adngdb,adngdb,6,3,3
27,elmo-templates,b3eda69943285a47e5f87dcf7421502201bf22d8,"The table style now applies to all tables, adding some colors to bullets.",Adrian Gaudebert,2011-05-13T00:01:56Z,adngdb,adngdb,23,16,7
28,elmo-templates,99e4bcd68312848211daf8452ea0edcd14e017fb,Adding page content.,Adrian Gaudebert,2011-05-13T00:00:51Z,adngdb,adngdb,125,121,4
29,elmo-templates,e5704533a6b39150523ef6dad718f91728410b41,Importing html_tpl base,Adrian Gaudebert,2011-05-12T23:17:50Z,adngdb,adngdb,95,95,0
30,elmo-templates,4ab7fd81be2d6a573dc5700bbf362a1a1cbf23b8,First commit.,Adrian Gaudebert,2011-05-12T23:17:07Z,adngdb,adngdb,0,0,0
31,elmo-templates,aa06254308e396c8e97d2639f55195942de40c3a,Integrating changes from product_overview (mainly refactoring),Adrian Gaudebert,2011-05-12T23:10:19Z,adngdb,adngdb,2,1,1
32,elmo-templates,e0069001519a008b89e7e35685698041df1f1a2a,Example image,Adrian Gaudebert,2011-05-12T23:06:29Z,adngdb,adngdb,0,0,0
33,elmo-templates,162e4640143a7493d83a8ec7456c673aa42b9342,Adding and changing content,Adrian Gaudebert,2011-05-12T23:06:14Z,adngdb,adngdb,56,27,29
34,elmo-templates,bbae31a7b33694f4f660a333a7eedbd3f69019c3,"Refactoring some elements, adding the green-bullet.",Adrian Gaudebert,2011-05-12T23:05:42Z,adngdb,adngdb,23,18,5
35,elmo-templates,ec2f792e1c5f95fb0943b938d6fb45f23bf0163c,"Refactoring for consistency and semantic, fixing small bugs.",Adrian Gaudebert,2011-05-12T22:45:49Z,adngdb,adngdb,23,13,10
36,elmo-templates,d69e7bea1c290580405d3ed4cc931cdeb4876d31,"Adding content(from team_overview), adding logo in the header.",Adrian Gaudebert,2011-05-12T22:45:26Z,adngdb,adngdb,186,182,4
37,elmo-templates,3befe3fcb4d795a1f75cd35f4f4fcc5a9f380e6d,Importing the html_tpl base,Adrian Gaudebert,2011-05-12T22:27:12Z,adngdb,adngdb,95,95,0
38,elmo-templates,a70c186304dea9d27d9341369bd6f3cecaa9042b,Merge branch 'master' into project-overview,Adrian Gaudebert,2011-05-12T22:26:27Z,adngdb,adngdb,33,31,2
39,elmo-templates,2e70d070e38138d3b85c31b94e2171da21d2eb76,Importing modifications from the team_overview template,Adrian Gaudebert,2011-05-12T22:26:05Z,adngdb,adngdb,33,31,2
40,elmo-templates,ccb7ea41c896bbe95688216a04330bdcc873b879,First commit.,Adrian Gaudebert,2011-05-12T22:22:17Z,adngdb,adngdb,0,0,0
41,elmo-templates,262a418383a4836167bb0a6958d6d9ce4240a643,Fixing a bug on little screens,Adrian Gaudebert,2011-05-12T22:21:05Z,adngdb,adngdb,5,3,2
42,elmo-templates,ebfe35062d30eb9f30cb2df60a3101f07f536ca9,Aside date span styling,Adrian Gaudebert,2011-05-12T22:11:15Z,adngdb,adngdb,3,3,0
43,elmo-templates,f477043236e9e48c8313acc41b1c2ca36f93d08c,Changing aside content.,Adrian Gaudebert,2011-05-12T22:10:35Z,adngdb,adngdb,46,36,10
44,elmo-templates,a6b09760217663daa2e49a57e2b79acddca4ead0,First commit,Adrian Gaudebert,2011-05-12T21:50:50Z,adngdb,adngdb,0,0,0
45,elmo-templates,acf80df2e65ee7533d01a628c2c57ed3eb781f8f,"Adding header options, refactoring CSS",Adrian Gaudebert,2011-05-12T21:50:30Z,adngdb,adngdb,58,56,2
46,elmo-templates,a5989baa0afdfdce0a202104e309aea48401499d,First commit,Adrian Gaudebert,2011-05-12T19:24:57Z,adngdb,adngdb,0,0,0
47,elmo-templates,fc328e29ffe16d8292d1ee2ffe216601ee884b2f,Adding the projects overview content,Adrian Gaudebert,2011-05-12T19:23:45Z,adngdb,adngdb,109,107,2
48,elmo-templates,ed3619fcf85b39991f6e7f8b71ef17f899710c0a,".for-dev becomes .full, refactoring the .introduction",Adrian Gaudebert,2011-05-12T19:23:15Z,adngdb,adngdb,4,2,2
49,elmo-templates,0dcd490bafb5a96cadb56eae9658a248d26c6206,"Indenting, adding styles for the team page",Adrian Gaudebert,2011-05-12T19:22:39Z,adngdb,adngdb,144,90,54
50,elmo-templates,440bfdfad9c3307d3396c149104fc6fef02faa84,Adding team page content and styles.,Adrian Gaudebert,2011-05-12T02:59:56Z,adngdb,adngdb,75,74,1
51,elmo-templates,c664a7ddceb8963848345767822573d99fe41371,Renamed for better semantic.,Adrian Gaudebert,2011-05-12T01:21:40Z,adngdb,adngdb,0,0,0
52,elmo-templates,71653b978cc4799d438de2335a3f9ca3f49a3531,".getting-started becomes .introduction, makes more sense as it is used on several pages.",Adrian Gaudebert,2011-05-12T00:51:04Z,adngdb,adngdb,14,7,7
53,elmo-templates,b8f5efec890fb001e543c9f0d32c6de953bee81d,Adding id header-nav and class selected in the headers navigation,Adrian Gaudebert,2011-05-12T00:40:56Z,adngdb,adngdb,5,3,2
54,elmo-templates,6b6873cb327d89a2763240a916934fcf93c313ee,"Hack for the homepage, particular header size",Adrian Gaudebert,2011-05-12T00:39:57Z,adngdb,adngdb,2,1,1
55,elmo-templates,67be904379b45407650430d946097f3644b57b92,"Fixing some bugs, adding the header-nav styles",Adrian Gaudebert,2011-05-12T00:39:26Z,adngdb,adngdb,73,67,6
56,elmo-templates,ad414e544d35e0e19e79c2a249c49eace46fac21,"Changing title, adding navigation",Adrian Gaudebert,2011-05-11T23:30:27Z,adngdb,adngdb,11,8,3
57,elmo-templates,1d3658215e21a4ae8811e5e39551e8cd65c4da45,Fixing color problem with the main link/logo,Adrian Gaudebert,2011-05-11T23:29:54Z,adngdb,adngdb,13,9,4
58,elmo-templates,273eed8dcc6d4566c3b8cc96e8a7b5d52d035dff,First commit (cp from html_template),Adrian Gaudebert,2011-05-11T23:10:19Z,adngdb,adngdb,66,66,0
59,elmo-templates,99290ea27492512a2eb34d06dedbd4ee207e8b92,Changing color of the homepage link in nav,Adrian Gaudebert,2011-05-11T23:09:28Z,adngdb,adngdb,2,1,1
60,elmo-templates,c8874169879e8e832d2c7a21c619fbb6d98399ee,Integrating the new stuff from the homepage.,Adrian Gaudebert,2011-05-11T22:57:58Z,adngdb,adngdb,58,56,2
61,elmo-templates,cf0c640629ece6fe8250120f96aa8ad4611061cb,Changing color of the homepage link in nav,Adrian Gaudebert,2011-05-11T22:57:52Z,adngdb,adngdb,5,4,1
62,elmo-templates,eff7c6cf2f9a2b6e2f70535f4c4ef253a57482c0,Adding media queries for small screens,Adrian Gaudebert,2011-05-11T22:30:37Z,adngdb,adngdb,54,49,5
63,elmo-templates,7986bd46369ebfeeceaa3f39f9f1b6b9a41c2c56,CSS link date change.,Adrian Gaudebert,2011-05-11T20:27:13Z,adngdb,adngdb,2,1,1
64,elmo-templates,d85b1450796b0372b998e205da669634ea0e4702,Moving media queries to the bottom of the file.,Adrian Gaudebert,2011-05-11T20:26:42Z,adngdb,adngdb,17,11,6
65,elmo-templates,70c94ea671679bd2e8102e569153b1ed813ee97c,Adding type to link and style tags,Adrian Gaudebert,2011-05-11T18:30:13Z,adngdb,adngdb,4,2,2
66,elmo-templates,56b0c511bed44fc266c9e288cc0d3893d79e2719,Refactoring fonts.,Adrian Gaudebert,2011-05-11T18:26:03Z,adngdb,adngdb,4,2,2
67,elmo-templates,a23103c481fb8ea20db4f5a4c8f04325f1cee74f,Quoting multiple word font name.,Adrian Gaudebert,2011-05-11T18:24:58Z,adngdb,adngdb,2,1,1
68,elmo-templates,21ef6b16bef78a6c0866043d398fca860e255a05,"Adding white background to boxes with background-image, trying to fix the header-background and footer-background bug.",Adrian Gaudebert,2011-05-11T18:19:10Z,adngdb,adngdb,11,10,1
69,elmo-templates,1f06468979aca798309b46b6f96ca90287810f10,Aside is now after the content.,Adrian Gaudebert,2011-05-11T17:26:54Z,adngdb,adngdb,119,61,58
70,elmo-templates,a6d70089346483dcb63d8d41a3cc8b12182ede50,Refactoring code.,Adrian Gaudebert,2011-05-11T17:26:33Z,adngdb,adngdb,95,52,43
71,elmo-templates,84bed2b58bf450b7b1f20459adc9a8a9111e04ff,First commit.,Adrian Gaudebert,2011-05-11T16:42:37Z,adngdb,adngdb,0,0,0
72,elmo-templates,14040da792837b43409ddc2a9998a55c702cc7bf,Adding backgrounds to getting-started and aside boxes.,Adrian Gaudebert,2011-05-11T16:42:01Z,adngdb,adngdb,10,10,0
73,elmo-templates,5578b5e5daecdef8bb2fbe15a1b1c17d272bb3f0,Removing the Search form (not implemented yet).,Adrian Gaudebert,2011-05-11T16:41:35Z,adngdb,adngdb,2,2,0
74,elmo-templates,6d39c0f3fdf618019286b2c81a2dbf60489bfb76,Content from mozilla websites.,Adrian Gaudebert,2011-05-11T00:10:07Z,adngdb,adngdb,6,4,2
75,elmo-templates,171d6530a25897191bf5773861c8637ae53ed93a,Complete template.,Adrian Gaudebert,2011-05-11T00:09:48Z,adngdb,adngdb,143,141,2
76,elmo-templates,9ebb862c7c9b128fac2a9e1fdc4dd87d51b1594c,First commit.,Adrian Gaudebert,2011-05-11T00:09:36Z,adngdb,adngdb,268,268,0
77,elmo-templates,062a91478d9ace5d1ac751b9eba8730db42bc0ed,First commit.,Adrian Gaudebert,2011-05-09T19:05:13Z,adngdb,adngdb,20,20,0
