,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,email-tabs,1ce53e319e1eb0ce076e31105b4fa3bdc06168ab,"Add set-html-email.js worker a little earlier, so the loading message can come up earlier",Ian Bicking,2018-07-23T16:54:42Z,ianb,ianb,1,1,0
1,email-tabs,120df9fcc4863d299517fe301f8c48456cd647a9,"Merge pull request #76 from mozilla/more-metrics-changes

Change the metrics per comments in #73",Dave Justice,2018-07-23T16:39:44Z,meandavejustice,meandavejustice,334,184,150
2,email-tabs,dac1348c5157d6d2bf16cd63e2c59cd623f6a0ba,"Merge pull request #82 from mozilla/extract-alt-text

Fix #8, add extracted text to the img alt",Ian Bicking,2018-07-18T22:25:19Z,ianb,ianb,183,164,19
3,email-tabs,53939ac2747753feaca0e4c2b5efc8cef7cdbbfc,Fix lint errors,Ian Bicking,2018-07-18T20:16:46Z,ianb,ianb,16,9,7
4,email-tabs,d984f457f418dea21e248ac2c348c607aa4c4b11,"Fix #83, add a reader mode template",Ian Bicking,2018-07-18T19:58:18Z,ianb,ianb,72,65,7
5,email-tabs,93f4913889027e62ba8d5eaaa7cb205a03c22c9e,"Fix #8, add extracted text to the img alt

This borrows code from Screenshot's captureEnclosedText function",Ian Bicking,2018-07-18T19:10:47Z,ianb,ianb,99,92,7
6,email-tabs,207fe7d0483da046765707a6da466579da2ebc75,"Merge pull request #78 from mozilla/template-chooser

Template chooser",Ian Bicking,2018-07-18T18:53:43Z,ianb,ianb,228,200,28
7,email-tabs,4496cea8f5662406df51b97e5f91f2bed33bc31f,"Merge pull request #81 from mozilla/icon-fix

Icon fix",Ian Bicking,2018-07-18T18:52:01Z,ianb,ianb,14,1,13
8,email-tabs,39880e35ef1399ff6beeba984e14c3f305d50192,Apply context-fill properties to icon. Fixes #59,Ian Bicking,2018-07-18T18:32:25Z,ianb,ianb,2,1,1
9,email-tabs,2ec46ee2d37e4b8f42e59a80206b3a7ce0391d47,Apply svgo to the icon,Ian Bicking,2018-07-18T18:29:55Z,ianb,ianb,14,1,13
10,email-tabs,9127d25d5af122b68bb2b47c18cf9e159eb35a4e,Import Sevaan's icon from #59,Ian Bicking,2018-07-18T18:26:05Z,ianb,ianb,6,3,3
11,email-tabs,3a00bc59bfd18c643e900b7df8b73d18dc1b1a1d,Disable the web-ext lint test,Ian Bicking,2018-07-16T22:59:33Z,ianb,ianb,2,1,1
