,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,emr-bootstrap-presto,293582086bed9136d3efd9a603b6205920e8368d,Change dev env vars to reflect reality,Blake Imsland,2017-03-20T21:37:29Z,robotblake,robotblake,16,8,8
1,emr-bootstrap-presto,56a93f9d15a5ff5fb342e6ced36ef295a4093a16,"Enable ""hive.parquet.use-column-names""",Blake Imsland,2017-01-27T15:25:50Z,robotblake,robotblake,1,1,0
2,emr-bootstrap-presto,85941f8efa9cb6c9a824807ee0f1058de50db1c7,Update parquet2hive datasets,Blake Imsland,2017-01-27T15:25:17Z,robotblake,robotblake,4,3,1
3,emr-bootstrap-presto,cce6b20296ee1d6e21f04aca945419bdf082f751,"Merge pull request #8 from mozilla/refactor

Bug 1269781 - refactor + use centralized metastore",Roberto Agostino Vitillo,2016-11-02T17:57:14Z,vitillo,vitillo,600,453,147
4,emr-bootstrap-presto,5a7654f444096c45b29e728f0ab41716506cbee6,Allow runtime configuration of emr release,Blake Imsland,2016-11-01T23:40:03Z,robotblake,robotblake,16,14,2
5,emr-bootstrap-presto,9f391b1edd040e5599a249b631cf1962c1e5c40b,refactor + use centralized metastore,Blake Imsland,2016-11-01T22:22:38Z,robotblake,robotblake,588,441,147
6,emr-bootstrap-presto,37e0eea904009095ace7e2c9ddcccf4768b96832,Add REAPER_SPARE_ME tag to cluster,Blake Imsland,2016-08-22T16:50:49Z,robotblake,robotblake,3,2,1
7,emr-bootstrap-presto,bc88256a4820cca43c8bcdfa2a9ac1581c22f617,Update Parquet datasets.,Roberto Agostino Vitillo,2016-08-18T14:31:27Z,vitillo,vitillo,16,12,4
8,emr-bootstrap-presto,3310e7a386a29b7e3935eeec6c8546618af115ca,"Merge pull request #4 from robotblake/hyperloglog

Add plugins from telemetry s3 bucket",Roberto Agostino Vitillo,2016-06-08T18:40:24Z,vitillo,vitillo,3,3,0
9,emr-bootstrap-presto,43eb5b7bfd088d0c17fca6e885834cbd2850b353,Add plugins from telemetry s3 bucket,Blake Imsland,2016-06-03T15:40:32Z,robotblake,robotblake,3,3,0
10,emr-bootstrap-presto,5ef5c0e1272654b3a4f5723d63cf395846c26175,"Merge pull request #3 from robotblake/remove-redash

Remove re:dash",Roberto Agostino Vitillo,2016-05-24T09:17:26Z,vitillo,vitillo,1721,1,1720
11,emr-bootstrap-presto,d8b1141f3c49d4141a97adb75390ec26770b0a9d,Remove unused lookup plugin and inventory scripts,Blake Imsland,2016-05-23T18:43:52Z,robotblake,robotblake,1412,1,1411
12,emr-bootstrap-presto,630a17834983774f57a97c342829330dae4a83df,Remove re:dash from provisioning scripts,Blake Imsland,2016-05-20T05:33:42Z,robotblake,robotblake,309,0,309
13,emr-bootstrap-presto,e5f7f1ab7b3aac32bccf109b4ba6171c6eeafe18,"Merge pull request #2 from whd/master

Hive 1.2",Roberto Agostino Vitillo,2016-05-04T14:59:20Z,vitillo,vitillo,27,23,4
14,emr-bootstrap-presto,f9aa804287bd7e2da2e488ae57cbfeba6c54c1ad,Make hive upgrade logic less version-specific,Wesley Dawson,2016-05-03T21:01:45Z,whd,whd,23,12,11
15,emr-bootstrap-presto,56768690853f24ad44b168f89747740bd100587f,Fix variable interpolation,Wesley Dawson,2016-04-29T22:59:01Z,whd,whd,10,5,5
16,emr-bootstrap-presto,4870f07b071977e790f20aa5d4567c3c725339eb,Upgrade hive,Wesley Dawson,2016-04-28T22:55:44Z,whd,whd,22,20,2
17,emr-bootstrap-presto,c2205494f7abda5a01573fd614270aa5f2637f98,Use security group id instead of name,Wesley Dawson,2016-04-28T22:49:59Z,whd,whd,2,1,1
18,emr-bootstrap-presto,3aa1073f15a11690adcd622be3bed257731e93cc,"Merge pull request #1 from whd/master

Provisioning updates",Roberto Agostino Vitillo,2016-03-14T13:16:10Z,vitillo,vitillo,174,165,9
19,emr-bootstrap-presto,cc84aaf4e4d66f29e176679d5a3032459dbdba1e,Switch ELB health check back to HTTP,Wesley Dawson,2016-03-11T23:54:22Z,whd,whd,5,3,2
20,emr-bootstrap-presto,3fb7a5825eb12a932d12ca62e270f03ed1c7794c,Add back nginx SSL configuration for test clusters,Wesley Dawson,2016-03-11T23:44:32Z,whd,whd,3,3,0
21,emr-bootstrap-presto,3e63f06b8fbd65dd07b0df57db287960436972d6,Clean up provisioning logic,Wesley Dawson,2016-03-11T23:36:38Z,whd,whd,219,114,105
22,emr-bootstrap-presto,a04a98ca713cd2a0a604b406dda24873340912ff,Set up provisioning logic for sql.telemetry.mozilla.org,Wesley Dawson,2016-03-11T01:19:35Z,whd,whd,155,149,6
23,emr-bootstrap-presto,288c2a94dde76c7f563ca355324533611f860ea8,"Add Fennec datasets.

See https://bugzilla.mozilla.org/show_bug.cgi?id=1251746.",Roberto Agostino Vitillo,2016-03-01T17:31:26Z,vitillo,vitillo,6,4,2
24,emr-bootstrap-presto,a92c2cf0d8a565867efaddade8af833c0eed7961,Import Parquet tables only after Hive has started.,Roberto Agostino Vitillo,2016-02-23T11:16:49Z,vitillo,vitillo,14,9,5
25,emr-bootstrap-presto,1843b4057c2578f23f959b57f66c50567b1d828b,Tune Presto memory for r3.2xlarge instances.,Roberto Agostino Vitillo,2016-02-22T22:23:21Z,vitillo,vitillo,33,31,2
26,emr-bootstrap-presto,72c04f9472685b5fd5b507d833760c1907ebf1b5,Tune Presto configuration for a 10 node cluster of r3.2xlarge instances.,Roberto Agostino Vitillo,2016-02-22T19:36:12Z,vitillo,vitillo,7,6,1
27,emr-bootstrap-presto,9195461b1cbc89d9b4ff143977854cca5d79ad8e,Deploy redash.,Roberto Agostino Vitillo,2016-02-17T18:18:53Z,vitillo,vitillo,188,188,0
28,emr-bootstrap-presto,4463210104518340e40625c7d145f246e294b1ff,First commit.,Roberto Agostino Vitillo,2016-02-17T14:59:10Z,vitillo,vitillo,1459,1459,0
