,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,energia,b701186de4f724d2ca760313cd3d762842d82ee9,Update README.md,Roberto Agostino Vitillo,2014-02-14T18:07:46Z,vitillo,vitillo,2,1,1
1,energia,cff879a7771d69a0a013827dbeaab94b10a78b00,Remove plotting flag.,Roberto Agostino Vitillo,2014-02-14T18:06:17Z,vitillo,vitillo,4,1,3
2,energia,c9d556bda8f28d2ab605edddc6a864ce71924c1a,Make R an optional dependency.,Roberto Agostino Vitillo,2014-02-14T18:05:27Z,vitillo,vitillo,21,15,6
3,energia,20acadaefc6ba6ddfa10d54763f9f2c5822807ca,Use watts as metrice instead of joules.,Roberto Agostino Vitillo,2014-02-14T18:01:00Z,vitillo,vitillo,55,40,15
4,energia,9e446fb53e84adf8023f9e5a107b0e7a4a2afa04,Update README.md,Roberto Agostino Vitillo,2014-02-14T17:17:46Z,vitillo,vitillo,2,1,1
5,energia,3f9c6044acc441915cca6cf70a96b77b1a150a48,Update README.md,Roberto Agostino Vitillo,2014-02-14T17:17:34Z,vitillo,vitillo,2,1,1
6,energia,c05618b5bf37af8aa32b6c20fef5346fd50f2f8e,Update docs and rename the scripts.,Roberto Agostino Vitillo,2014-02-14T17:16:37Z,vitillo,vitillo,6,4,2
7,energia,b3378dc0854a589ccfe24f4dd9e88b094cbd3ef1,Remove outdated stuff.,Roberto Agostino Vitillo,2014-02-14T17:09:46Z,vitillo,vitillo,105,5,100
8,energia,6b68cdd9df1f6cc32d5212791b4163e7bd3da3b8,Make rpy2 and ggplot optional.,Roberto Agostino Vitillo,2014-02-14T16:52:27Z,vitillo,vitillo,20,15,5
9,energia,04b12c7f1966849d6bdf48cc478a7c26331bb07f,minor changes to work locally forme,jmaher,2014-02-14T15:17:39Z,jmaher,jmaher,10,6,4
10,energia,3329c96921bcb9fffe83f60e0ad3500d2acd7fe0,Clean up.,Roberto Agostino Vitillo,2014-02-14T13:40:32Z,vitillo,vitillo,2,0,2
11,energia,cbc2879803c332ed33a4c6629fd1577fd5e8664c,Add wakeups to the measurements.,Roberto Agostino Vitillo,2014-02-14T13:39:48Z,vitillo,vitillo,62,50,12
12,energia,2598c61862f4d574b0c9f452be7ef0796c76437a,First iteration of the enhanced tooling for Linux.,Roberto Agostino Vitillo,2014-02-12T18:38:53Z,vitillo,vitillo,205,205,0
13,energia,7f59bb00904b5cf62b49df1a978dbb1282162fce,Add back screenshot.,Roberto Agostino Vitillo,2014-02-07T15:25:51Z,vitillo,vitillo,0,0,0
