,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,etp-search-volume-study,a6a722e4fe5d29fd914052d7567033839e7aece9,Bump version to 1.2,Nihanth Subramanya,2019-04-05T21:32:38Z,nhnt11,nhnt11,8,4,4
1,etp-search-volume-study,2ad004a39ebee4176141e2d47ecba701b51e75eb,"Merge pull request #4 from mozilla/nocategoryrecompute

Remove category-pref-recomputing code",Nihanth Subramanya,2019-04-05T21:30:15Z,nhnt11,nhnt11,25,4,21
2,etp-search-volume-study,18c256681883574a02e99f69e1ea661015301cb1,"Merge pull request #7 from mozilla/category-string

Update category string pref to be compatible with 68+",Nihanth Subramanya,2019-04-05T21:30:03Z,nhnt11,nhnt11,2,2,0
3,etp-search-volume-study,e99ebb9b30ff94f6bd5ef767de062cee9e845100,Update category string pref to be compatible with 68+,Erica Wright,2019-04-04T13:17:45Z,ericawright,ericawright,2,2,0
4,etp-search-volume-study,c19c4eca631d84cbdbf1daa05183f8f0ce86cb72,Bump version to 1.1,Nihanth Subramanya,2019-04-02T08:48:27Z,nhnt11,nhnt11,8,4,4
5,etp-search-volume-study,3116da740dd5fc9cbd206e4942c853606d03a7c2,Remove category-pref-recomputing code.,Nihanth Subramanya,2019-04-02T08:46:15Z,nhnt11,nhnt11,17,0,17
6,etp-search-volume-study,3a9ad68f906fe1ef101ba339103eb86f2b013039,Support false-y values for all pref types when reseting at cleanup,Nihanth Subramanya,2019-03-29T02:04:50Z,nhnt11,nhnt11,26,23,3
7,etp-search-volume-study,0b0206ea8dc5d9bc9a954ca0ae6306636b39c191,Remove dist/ from the repo,Nihanth Subramanya,2019-03-29T01:37:43Z,nhnt11,nhnt11,3,3,0
8,etp-search-volume-study,69cf00ab5f4e9c2fb2cd7967f85a652860d345ff,"Merge pull request #3 from mozilla/fixtests

Fix a bug in the tests and exclude the strict list in the treatment cohort prefs",Nihanth Subramanya,2019-03-29T01:33:43Z,nhnt11,nhnt11,21,16,5
9,etp-search-volume-study,d162dae4c3869cd60215cbd96fafbd16a603489a,Set the upcoming strict list enabling pref to false in both cohorts - this supports Firefox 68,Nihanth Subramanya,2019-03-28T22:32:46Z,nhnt11,nhnt11,2,2,0
10,etp-search-volume-study,1417090c3761f17ae7c0f37b160b094a24bc2bc1,Remove strict list from treatment cohort,Nihanth Subramanya,2019-03-28T17:45:54Z,nhnt11,nhnt11,2,1,1
11,etp-search-volume-study,7bb74e8986e9cf499c863994c154b278a68adeff,Ensure we expect empty-string values after uninstalling the add-on for prefs that didn't exist beforehand,Nihanth Subramanya,2019-03-28T16:13:27Z,nhnt11,nhnt11,17,13,4
12,etp-search-volume-study,89ae4a169fa6883493f9368a74456ab02dc2ad1f,"Merge pull request #2 from mozilla/pocketprefs

Add Pocket user agent prefs for control and experiment to variations.json",Nihanth Subramanya,2019-03-28T15:59:11Z,nhnt11,nhnt11,8,6,2
13,etp-search-volume-study,e255869d9acf8523f1ee9c15d9d4e000d061f786,Add Pocket user agent prefs for control and experiment to variations.json,Nihanth Subramanya,2019-03-26T22:25:37Z,nhnt11,nhnt11,8,6,2
14,etp-search-volume-study,e5c845995838366ae2dbad8120db214fa1948d30,Add breadcrumb and killswitch prefs,Nihanth Subramanya,2019-03-25T21:28:28Z,nhnt11,nhnt11,81,73,8
15,etp-search-volume-study,28da498218ee067d2e0ecc6e064d2c858a8b7e8a,"Update multipreffer tests, add URL redirection for searches",Nihanth Subramanya,2019-03-25T02:03:30Z,nhnt11,nhnt11,9720,9540,180
16,etp-search-volume-study,8f3c5035b849f1549e0d7d1eb3d9e376bbc16b1f,Initial clone of strict list study,Nihanth Subramanya,2019-03-25T01:00:40Z,nhnt11,nhnt11,14966,14966,0
17,etp-search-volume-study,6a199efa1826d897568ad69d3c2c63a18bd49d96,Initial commit,Nihanth Subramanya,2019-03-25T00:56:06Z,nhnt11,nhnt11,434,434,0
