,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,events.webmaker.org,d581c40846fcda8e93c3322f04327adb2bb99075,Merge branch 'master' of github.com:gvn/webmaker-events,Gvn Lazar Suntop,2014-01-14T23:38:40Z,gvn,gvn,39,10,29
1,events.webmaker.org,7fccb2d30ff8293fe2a1a7d8c8601d2e998ca3d7,le bump,Gvn Lazar Suntop,2014-01-14T23:38:24Z,gvn,gvn,7,4,3
2,events.webmaker.org,6b3579f38a52d7f7b372ae9081042044190e7d8f,"Merge pull request #1 from k88hudson/master

Requesting a pull to gvn:master from k88hudson:master",gvn lazar suntop,2014-01-14T23:23:35Z,gvn,gvn,39,10,29
3,events.webmaker.org,46fde5b99488575f3df69bb0d88ee33362fe8204,Added all form items to an object directly in the ng-model property,Kate Hudson,2014-01-14T23:22:50Z,k88hudson,k88hudson,39,10,29
4,events.webmaker.org,6f699a31ad33c63c7cf078b868facf339c80c987,stubbing out JSON to send to service,Gvn Lazar Suntop,2014-01-14T22:57:39Z,gvn,gvn,77,59,18
5,events.webmaker.org,c9e49f34d9a3ad362efbbace9d48a62636582a54,adding validation,Gvn Lazar Suntop,2014-01-14T21:28:35Z,gvn,gvn,49,31,18
6,events.webmaker.org,2c1ad2c5fd3927676cf964caeb9c49077d5ef1eb,initial,Gvn Lazar Suntop,2014-01-14T01:09:54Z,gvn,gvn,275,275,0
7,events.webmaker.org,f434abbb187d00d1136dfba9f9dc094d093cef13,"Merge pull request #22 from gvn/973970

973970 – Style updates to List view",gvn lazar suntop,2014-03-04T19:47:01Z,gvn,gvn,81,61,20
8,events.webmaker.org,f08931b6dc9bef099a96b115a17e0c5e0d4eb0ff,feedback tweaks,Gvn Lazar Suntop,2014-03-04T19:37:00Z,gvn,gvn,14,5,9
9,events.webmaker.org,db7f755362579e36fafa9b7350f84dbb32a99484,integrating cassie's design feedback,Gvn Lazar Suntop,2014-03-03T23:40:09Z,gvn,gvn,83,62,21
10,events.webmaker.org,4bc33f6db9eac323543a9aab3da5f9a6fa68df85,0.0.9,Kate Hudson,2014-03-03T22:52:33Z,k88hudson,k88hudson,2,1,1
11,events.webmaker.org,46b1f3de80c000ad6196ae056da45aa1535eeb75,"bug 978990 - Fix some scope updates, no verified function",Kate Hudson,2014-03-03T22:47:29Z,k88hudson,k88hudson,8,2,6
12,events.webmaker.org,5d3f160933405399bf73dc4e5445742837cddd42,greenify h1s,Gvn Lazar Suntop,2014-02-25T23:03:22Z,gvn,gvn,4,4,0
13,events.webmaker.org,c36d6ab2ae412094c0c848ef415f6772aef682e3,0.0.8,Kate Hudson,2014-03-03T21:43:00Z,k88hudson,k88hudson,2,1,1
14,events.webmaker.org,9d8c5af3ca35695125f8cfad97dd510f1792180b,"Revert ""fixing jquery path""

This reverts commit 2f27312b17d111adc08c620b3b0e6c398004a565.",Kate Hudson,2014-03-03T21:38:18Z,k88hudson,k88hudson,2,1,1
15,events.webmaker.org,eb36b2cfc632e3c0f4207ac72583c2a44b1ba0a3,0.0.7,Kate Hudson,2014-03-03T20:38:04Z,k88hudson,k88hudson,2,1,1
16,events.webmaker.org,448d5bcebcf396a1d9d811916eded07b7cfeb343,0.0.6,Kate Hudson,2014-03-03T20:21:07Z,k88hudson,k88hudson,2,1,1
17,events.webmaker.org,9b77f6c8704616c4f74dc7db767409e0644f2a0a,bower bump,Kate Hudson,2014-03-03T20:17:42Z,k88hudson,k88hudson,2,1,1
18,events.webmaker.org,2f27312b17d111adc08c620b3b0e6c398004a565,fixing jquery path,Gvn Lazar Suntop,2014-03-03T19:27:36Z,gvn,gvn,2,1,1
19,events.webmaker.org,2809f1c05edadcc6494e918a250f9689f655f890,0.0.5,Kate Hudson,2014-02-28T21:26:54Z,k88hudson,k88hudson,2,1,1
20,events.webmaker.org,23bc6a5942c8cce5d177579fc035bc8656d6e4ea,No bug: Jquery path was wrong,Kate Hudson,2014-02-28T21:12:51Z,k88hudson,k88hudson,5,3,2
21,events.webmaker.org,3df66e242d5993c6d0332f0b483537646bb3a23a,0.0.4,Kate Hudson,2014-02-28T20:56:28Z,k88hudson,k88hudson,2,1,1
22,events.webmaker.org,2aa2f391c4b6927f9d0067e3a7f56bc8514e1212,Nobug: mixed content errors,Kate Hudson,2014-02-28T20:51:24Z,k88hudson,k88hudson,4,2,2
23,events.webmaker.org,84d4bcfbe62ccba5e6f87178530420288a90bce5,0.0.3,Kate Hudson,2014-02-28T20:25:19Z,k88hudson,k88hudson,2,1,1
24,events.webmaker.org,d276b41d5db3b17efa9439f7679b7863627991bd,0.0.2,Kate Hudson,2014-02-28T19:36:20Z,k88hudson,k88hudson,2,1,1
25,events.webmaker.org,50b46eb6218767533b5439581baa0201e0312726,"Merge pull request #15 from gvn/sorting

geolocation, date and name based sorting",gvn lazar suntop,2014-02-28T18:29:18Z,gvn,gvn,64,58,6
26,events.webmaker.org,45eb43a1b472ac2d512e88119219549343143e3f,adding search filter for event list,Gvn Lazar Suntop,2014-02-25T20:45:53Z,gvn,gvn,29,19,10
27,events.webmaker.org,8ab0341e05f4ad874e49e1e5c3556545daf45d72,"geolocation, date and name based sorting",Gvn Lazar Suntop,2014-02-14T19:43:20Z,gvn,gvn,49,46,3
28,events.webmaker.org,804ad1443601e91f3329fe4de70a6611a0418e9c,"Merge pull request #11 from gvn/locationcomplete

adding location autocompletion w. google's service",gvn lazar suntop,2014-02-25T19:12:15Z,gvn,gvn,168,112,56
29,events.webmaker.org,ea16e536fba5d0df22270fc120fb867e98a563c4,grunt cleaning,Gvn Lazar Suntop,2014-02-25T19:00:57Z,gvn,gvn,109,56,53
30,events.webmaker.org,6548302509dcb543c83a21792d71b46ece4d3256,refactor to decouple autocomplete directive,Gvn Lazar Suntop,2014-02-14T00:06:43Z,gvn,gvn,31,22,9
31,events.webmaker.org,8cd774c09c86a365ea132454337dba8ee09c7561,adding location autocompletion w. google's service,Gvn Lazar Suntop,2014-02-12T20:55:36Z,gvn,gvn,44,42,2
32,events.webmaker.org,cd675fe0f5a423f8c8b4676264d48042f83c5493,cloak username stuff,Kate Hudson,2014-02-19T20:55:39Z,k88hudson,k88hudson,2,1,1
33,events.webmaker.org,4c13fa23c4ee7ed2004bde609f7c4456708edca4,Bug 971855 - Added webmaker-auth-client and new user form/code,Kate Hudson,2014-02-13T02:07:16Z,k88hudson,k88hudson,337,202,135
34,events.webmaker.org,de21c3d3bbeed54ac4fb339eaffd82568bd2c2e5,Further updates for heroku deployment,Kate Hudson,2014-02-13T22:17:01Z,k88hudson,k88hudson,56,31,25
35,events.webmaker.org,bb0dba35f4e3fe7344a6cf1fa2f3312d9f19d2ab,home view stub,Gvn Lazar Suntop,2014-02-14T00:39:12Z,gvn,gvn,48,35,13
36,events.webmaker.org,b89b346e97f2cef948acfe8d342ecf2bdba88ddc,"Merge pull request #13 from gvn/markdown

rendering markdown in event descriptions",gvn lazar suntop,2014-02-14T00:20:56Z,gvn,gvn,15,12,3
37,events.webmaker.org,c5bd4feb07951ac6943b0ff927f35256f9179cb0,"Merge pull request #14 from k88hudson/master

Requesting a pull to mozilla:master from k88hudson:master",gvn lazar suntop,2014-02-13T23:09:29Z,gvn,gvn,8,5,3
38,events.webmaker.org,0f835584035f0c2b0e7e12b0c4cf3f293d33216f,remove dev deps,Kate Hudson,2014-02-13T22:20:52Z,k88hudson,k88hudson,4,1,3
39,events.webmaker.org,ceb4e8863eaa3c486cd02149c589ef2e3c640ff7,Readme update,Kate Hudson,2014-02-13T22:17:01Z,k88hudson,k88hudson,1,1,0
40,events.webmaker.org,672f28e5ea7ebcdb9b0e7a3b1cd67059a5b48971,Added heroku build task,Kate Hudson,2014-02-13T22:15:07Z,k88hudson,k88hudson,3,3,0
41,events.webmaker.org,af1c9c50726aa5b59dfc2e3a09e366f450996791,"Merge branch 'master' of https://github.com/mozilla/webmaker-events-2 into markdown

Conflicts:
	bower.json",Gvn Lazar Suntop,2014-02-13T02:06:19Z,gvn,gvn,9,6,3
42,events.webmaker.org,19dd449e06f157603018e809786a2e370255ed15,rendering markdown in event descriptions,Gvn Lazar Suntop,2014-02-13T02:04:09Z,gvn,gvn,17,13,4
43,events.webmaker.org,cf32d56d4bbd231bd3ad6a1ffe8e24f8253841c0,"Merge pull request #12 from gvn/strapify

adding makerstrap",Kate Hudson,2014-02-13T01:41:46Z,k88hudson,k88hudson,9,6,3
44,events.webmaker.org,cf7eca10674503cc7aac1b5dbc8561dfd3efc598,adding makerstrap,Gvn Lazar Suntop,2014-02-13T00:48:39Z,gvn,gvn,9,6,3
45,events.webmaker.org,3e61b610cce8cc6d89e995649f29a3ecfb45b427,"Merge pull request #10 from gvn/noproto

better validation messaging; preventing submit on invalid form",gvn lazar suntop,2014-02-12T21:06:15Z,gvn,gvn,42,27,15
46,events.webmaker.org,f5eb78969df4b3fc59ef76e386269e455caad608,better validation messaging; preventing submit on invalid form,Gvn Lazar Suntop,2014-02-10T22:09:06Z,gvn,gvn,42,27,15
47,events.webmaker.org,fe0788bb3acdead4935837b3207e5d3c70348c47,run less before running server,Gvn Lazar Suntop,2014-02-10T19:36:51Z,gvn,gvn,2,1,1
