,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,extension-finder,acd3ab0e0a66da2630712534e04d6c739cda41d1,"Merge pull request #15 from potch/glitch

Copy updates",Potch,2017-11-16T17:00:35Z,potch,potch,6,3,3
1,extension-finder,37aa4efe4832bfa5874e5816b71f3d2a5871504f,🚃🍮 Updated with Glitch,Glitch (extension-pal),2017-11-16T16:59:34Z,Glitch (extension-pal),Glitch (extension-pal),6,3,3
2,extension-finder,364a38d5872d591a9422238145d18881927e446d,"Merge pull request #7 from potch/glitch

add some line-height",Potch,2017-09-25T16:41:12Z,potch,potch,2,2,0
3,extension-finder,5c84c6b28d9b27ac9df89d4f2bc6c96901057ce0,add some line-height,System,2017-09-25T16:39:16Z,System,System,2,2,0
4,extension-finder,d6168b02ca4bc7b0af2c681531a57c17615c6e5e,"Merge pull request #6 from potch/glitch

add link to page",Potch,2017-09-25T16:37:03Z,potch,potch,2,1,1
5,extension-finder,f95a14e4010cf5e420de9d6ca4539696075cf39f,add link to page,System,2017-09-25T16:36:11Z,System,System,2,1,1
6,extension-finder,42c46aad59b67d8c175b3afb891ed60500fcac96,"Merge pull request #5 from potch/glitch

Add links for more information",Potch,2017-09-22T16:44:32Z,potch,potch,3,2,1
7,extension-finder,0d614ef87c7b2ab4840dd630aef257b100144fb5,adjust link text,System,2017-09-22T16:43:49Z,System,System,3,2,1
8,extension-finder,9f3628bba8d8452aae14ab0cf71c454d647da62e,"Merge pull request #4 from mozilla/glitch

Glitch deploy",Potch,2017-09-21T20:02:27Z,potch,potch,50,36,14
9,extension-finder,82dc26eb762df7968860d978adceb82539f11d66,"Merge pull request #3 from potch/glitch

change column headings",Potch,2017-09-21T20:01:22Z,potch,potch,50,36,14
10,extension-finder,ad01d9715b9e0503f069fbe1ea572460e4dc11e0,change column headingss,System,2017-09-21T20:01:05Z,System,System,50,36,14
11,extension-finder,cdea26559949438b8710c561331d92e3ffc9e85b,"Merge pull request #2 from potch/glitch

updated with proper url formatting",Potch,2017-09-20T20:05:29Z,potch,potch,6,3,3
12,extension-finder,cfa7472479bd6728a4857bf890ff8ef13e0882e7,updated with proper url formatting,System,2017-09-20T20:04:58Z,System,System,6,3,3
13,extension-finder,dc25fee4701ba501c9d1031e62207440911a19b8,"Merge pull request #1 from potch/glitch

push initial code",Potch,2017-09-20T20:02:41Z,potch,potch,3323,3322,1
14,extension-finder,8d14940093bfe9af91b0a0bccb0bd6c8847cf14b,push initial code,System,2017-09-20T20:02:09Z,System,System,3323,3322,1
15,extension-finder,24ffc587b6f785e952654ccffd4edb7550023988,Initial commit,Potch,2017-09-20T20:01:36Z,potch,potch,1,1,0
