,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,extension-workshop,8808a3241e8993d262eb636665ec29900616326d,add jquery to the package,Lance Cummings,2019-01-16T22:27:05Z,lancecummings,lancecummings,81,42,39
1,extension-workshop,79227cb1c56af32a65ea355d979533d561ff542d,"Merge pull request #36 from psiinon/master

Add the data-no-csrf attribute to forms",Stuart Colville,2019-01-16T19:04:23Z,muffinresearch,muffinresearch,4,2,2
2,extension-workshop,4bc5db9186982aa7e2c68d32f2af43adb7f318ae,Readme shell - needs to be filled out,Lance Cummings,2019-01-16T19:01:00Z,lancecummings,lancecummings,53,53,0
3,extension-workshop,d030b78676aedb9784cc9ef2375eda3909b95128,license update,Lance Cummings,2019-01-16T18:45:50Z,lancecummings,lancecummings,2,1,1
4,extension-workshop,9c0d29e973fbfd80db0d64fdd8e2fdb2f26e4721,removed old rss feed method using 3rd party,Lance Cummings,2019-01-16T18:42:22Z,lancecummings,lancecummings,89,5,84
5,extension-workshop,1cf2f62ec8539d1f428fd8545586260db40fa57c,remove node_modules folder from repository,Lance Cummings,2019-01-16T18:39:41Z,lancecummings,lancecummings,3436,883,2553
6,extension-workshop,20ca3d3e5e26b7b7015cfa28f215067ef0547976,cleanup header and footer - remove unneeded includes,Lance Cummings,2019-01-14T21:29:56Z,lancecummings,lancecummings,2,0,2
7,extension-workshop,bf405279361d5502321d7a4d728ee2877122de9f,init package manager,Lance Cummings,2019-01-14T21:24:51Z,lancecummings,lancecummings,251320,223852,27468
8,extension-workshop,9587d2f59ec9785073c65e5f7a3f29d2f5f30ad7,switch to direct rss feed - no need for 3rd party anymore,Lance Cummings,2019-01-14T19:18:20Z,lancecummings,lancecummings,173957,228,173729
9,extension-workshop,84ba721d62dd97413c91d80222b4aad1571d4a43,Merge branch 'master' of https://github.com/mozilla/extension-workshop,Lance Cummings,2019-01-14T15:29:48Z,lancecummings,lancecummings,18,7,11
10,extension-workshop,aa4c181afc196f3228b1b1d2dca8909960485742,test rss feed,Lance Cummings,2019-01-14T15:29:41Z,lancecummings,lancecummings,6,3,3
11,extension-workshop,58d079cb617bfccc043665ffc246216a22fe6613,"Add the data-no-csrf attribute to forms

This attribute is used to indicate to the ZAP baseline scan that the
forms in question do not need anti CSRF tokens.",Simon Bennetts,2019-01-14T14:16:04Z,psiinon,psiinon,4,2,2
