,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,eyedee.me,5f0b45ba119a3d8bc0248830e97a6f34c38d66f5,"Merge pull request #31 from fmarier/mysql_instructions

Add MySQL instructions to the README",Francois Marier,2014-01-30T06:20:13Z,fmarier,fmarier,8,8,0
1,eyedee.me,e1e40f5d820eaab2b66de3f7695a9d8612401e60,"Merge pull request #34 from mozilla/b2g-remove-include

Removing include.js which isn't needed",Jed Parsons,2013-07-08T22:38:00Z,jedp,jedp,1,0,1
2,eyedee.me,003b6c2e19e5fdfb89fdcb0c0f9542ff81216394,Removing include.js which isn't needed,Austin King,2013-07-08T22:32:35Z,ozten,ozten,1,0,1
3,eyedee.me,1671b6554eb12c61d01361e7507296a0445a5a03,"Merge pull request #32 from mozilla/b2g-stage

Provide a mapping to get B0G stage working",Jed Parsons,2013-07-08T21:53:15Z,jedp,jedp,6,6,0
4,eyedee.me,f6a718526080cf0e6703a06c23913f66b09b5d37,Provide a mapping to get B0G stage working,Austin King,2013-07-08T21:46:32Z,ozten,ozten,6,6,0
5,eyedee.me,c5068a116ba988d70d18581835c03d32a8d3f0a7,roll back to client-sessions 0.1.0 - see mozilla/node-client-sessions#36,Lloyd Hilaiel,2013-05-14T18:23:23Z,lloyd,lloyd,2,1,1
6,eyedee.me,8efc543e4823428a90b78a3b0774c14e07baafe9,upgrade to awsbox 0.4.4,Lloyd Hilaiel,2013-05-14T17:21:33Z,lloyd,lloyd,2,1,1
7,eyedee.me,8ebc13b3ddac3f2576ddefae8bedd1f511093dd1,"Merge pull request #30 from mozilla/connect-fonts

Use connect-fonts instead of relying on Google.

@fmarier gave the r+, merging and pushing.",Shane Tomlinson,2013-05-14T09:54:16Z,Shane Tomlinson,Shane Tomlinson,22,17,5
8,eyedee.me,e4b748ca81cb898138912c40e788a5ad633182a9,Add MySQL instructions to the README,Francois Marier,2013-05-14T03:41:29Z,Francois Marier,Francois Marier,8,8,0
9,eyedee.me,51ca22e5949c5e6e8deac70d086a409f71c7f9bb,Use connect-fonts instead of relying on Google.,Shane Tomlinson,2013-05-12T20:36:58Z,Shane Tomlinson,Shane Tomlinson,22,17,5
