,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fathom-webextension,7971198c8379101f1c49df4c84fc195b9edbbc71,fixed a bug where the pageaction popup wasn't closign it's window,Victor Ng,2017-10-13T21:11:09Z,crankycoder,crankycoder,43,22,21
1,fathom-webextension,670c64621e961d5c9ab5a8dcc2dd55c09144bd8c,"moved popup to page_action directory

added documentation for various messages that are passed around in this
extension",Victor Ng,2017-10-13T20:14:25Z,crankycoder,crankycoder,74,67,7
2,fathom-webextension,e88a9b07cdc2db8c72daff59d72ae4453233f507,started to document out the message types,Victor Ng,2017-10-13T18:26:26Z,crankycoder,crankycoder,24,24,0
3,fathom-webextension,89f7de1949be0d25acbe4dd0379fc75ccad79ffa,i can't figure out js modules at all.,Victor Ng,2017-10-13T18:22:59Z,crankycoder,crankycoder,4,1,3
4,fathom-webextension,3081ad1a8bc26d2da9022f8fc5c3717144c31c05,started to move messages into a separate module,Victor Ng,2017-10-13T18:14:36Z,crankycoder,crankycoder,17,5,12
5,fathom-webextension,2c0ee71c3318347e18c49bc4bfc73e6f4a041c7d,"refactored the listener code into a registerListeners function in
background.js",Victor Ng,2017-10-12T18:05:49Z,crankycoder,crankycoder,146,74,72
6,fathom-webextension,2a3875a7638a97f8353e959402b20f358b722caf,swapped out storage.local with storage.sync,Victor Ng,2017-10-12T17:51:12Z,crankycoder,crankycoder,13,9,4
7,fathom-webextension,dbc8ba463a893b195cb37554d8fe01e60e73b34a,"removed the broken dirty cache detection around price and title HTTP
submissions",Victor Ng,2017-10-12T17:31:14Z,crankycoder,crankycoder,35,26,9
8,fathom-webextension,56270cb7089b90c05b481ad453cfecc55ef74ecb,initial commit of a better price input control,Victor Ng,2017-10-11T02:45:38Z,crankycoder,crankycoder,40,27,13
9,fathom-webextension,482cb39963dd9412aa63bb04bb587a43f6c79a3b,added a network capable LiveEditableInputText control,Victor Ng,2017-10-11T01:22:36Z,crankycoder,crankycoder,71,66,5
10,fathom-webextension,51c6a54767f39072a36807ad415105d9a15cb9ee,updated CSS and index.jsx to make the price edittable,Victor Ng,2017-10-11T01:03:46Z,crankycoder,crankycoder,19,17,2
11,fathom-webextension,f6f864d88c569b9fe466ea31e0dee1ba8ff27b65,basic structure of sending data back to the server is in place now,Victor Ng,2017-10-11T00:56:54Z,crankycoder,crankycoder,66,60,6
12,fathom-webextension,adf18aab34f9ff35cf77ad3496bc038d41f432fd,"changed the title area to use a CSS styled textarea so that we can
capture edits",Victor Ng,2017-10-10T18:46:54Z,crankycoder,crankycoder,35,26,9
13,fathom-webextension,a2ea42e4754b11954434d1e9f166844195c167bd,removed demo templating code for CSS grid,Victor Ng,2017-10-10T14:54:34Z,crankycoder,crankycoder,68,15,53
14,fathom-webextension,4ea45a1828fe0692e8831e531011a622acc318ae,"reworked render() methods for Wishlist and WishlistItem classes to
properly display CSS grid layout",Victor Ng,2017-10-10T14:35:52Z,crankycoder,crankycoder,67,31,36
15,fathom-webextension,4e6f06fc5db644b48d8a4bc49b2373bf1ffdbfc1,started to merge in the css grid layout,Victor Ng,2017-10-10T14:07:17Z,crankycoder,crankycoder,58,58,0
16,fathom-webextension,d8673381ba3f28c959ae5ea08f9289a88f74009c,added demo grid layout,Victor Ng,2017-10-06T21:43:16Z,crankycoder,crankycoder,68,68,0
17,fathom-webextension,81a855bd57ec7d80abcf4d2f1441d2177f07a5c9,deleting data hits the backend now,Victor Ng,2017-10-06T21:43:16Z,crankycoder,crankycoder,44,31,13
18,fathom-webextension,eee521408f59d94fdea1a028a157c1edb6dbe439,fixed image_url vs image attributes.  this is awful,Victor Ng,2017-10-06T21:34:32Z,crankycoder,crankycoder,65,30,35
19,fathom-webextension,e67c5bfa6125ec52a067888f1281cf7b7004c22a,"loading of items from disk works now, but we can't refresh the sidebar
yet",Victor Ng,2017-10-06T21:17:50Z,crankycoder,crankycoder,5,3,2
20,fathom-webextension,4a4a4ae10a07c406ad072a3e21c904b7b7db50c0,basic adding and saving to disk works now,Victor Ng,2017-10-06T20:59:57Z,crankycoder,crankycoder,30,20,10
21,fathom-webextension,73af3b7f31e7dea8b74e642b560a7d90d8d93487,started to load locally stored sync data,Victor Ng,2017-10-06T16:20:13Z,crankycoder,crankycoder,114,68,46
22,fathom-webextension,5d7ee00934f331e68c2267c7f581d9169abbf074,"added google.ca and google.com domains to exclude_page directive.  Both
of these seem to cause performance problems with fathom using the current ruleset",Victor Ng,2017-10-05T20:46:30Z,crankycoder,crankycoder,2,1,1
23,fathom-webextension,6de8e6d4d71be1604b1036dccd2210fbf7cf155d,added duplicate filtering,Victor Ng,2017-10-05T19:25:13Z,crankycoder,crankycoder,7,7,0
24,fathom-webextension,8e1e9b4e060032677c87e5c097ec9728aa5aac58,basic adding to the sidebar works now,Victor Ng,2017-10-05T18:36:45Z,crankycoder,crankycoder,430,161,269
25,fathom-webextension,5e9f6148e979d57ddb66b6c414ea68f50ec10976,dropped duplicate icon directory,Victor Ng,2017-10-04T00:53:43Z,crankycoder,crankycoder,7,1,6
26,fathom-webextension,fafea19d73fe491898a20abe22ceafc7f235cbfa,fixed all the buggy icon references,Victor Ng,2017-10-04T00:42:57Z,crankycoder,crankycoder,26,15,11
27,fathom-webextension,d04b1b39f67998f456cb16ed5cd201cfd953d328,"broke out clean, build and install targets in the Makefile",Victor Ng,2017-10-03T21:42:01Z,crankycoder,crankycoder,12,10,2
28,fathom-webextension,8c054e91589a783223ece374e98f2f97dc718b81,"started adding in comments about the message passing mechanisms into
background.js",Victor Ng,2017-10-03T21:08:48Z,crankycoder,crankycoder,25,25,0
29,fathom-webextension,4132d6695c916603f7d3de063d7c74409cd88d85,removed cp directives in the Makefile and replace with copy-file-plugin in the webpack.config.js file,Victor Ng,2017-10-03T19:32:10Z,crankycoder,crankycoder,94,82,12
30,fathom-webextension,5b3f78a864e1ad3778207323ac989fc5f5620a4e,removed wishlist_sidebar from the recursive copy as webpack handles that now,Victor Ng,2017-10-03T19:20:43Z,crankycoder,crankycoder,2,1,1
31,fathom-webextension,ceb7232b8266cfcf0ed6a4f98e96669fb9db5e82,dropped unnecessary yarn.lock file,Victor Ng,2017-10-03T19:20:24Z,crankycoder,crankycoder,6971,0,6971
32,fathom-webextension,05332d923c6d8e31920663540ac5053b68958dec,merged in the dummy react powered wishlist from my learn-react repository and updated the yarn.lock file,Victor Ng,2017-10-03T19:20:11Z,crankycoder,crankycoder,820,762,58
33,fathom-webextension,7bbb38d9383684f5c8600eca42ade4d986d77f2b,react code needs a special CSP or else the sidebar JS sandbox won't let react run,Victor Ng,2017-10-03T19:19:28Z,crankycoder,crankycoder,1,1,0
34,fathom-webextension,584eb2b2b122c2c4d9202781fbf3ec923a2ee847,Converted the index.html page into index.template.ejs so that we can refactor and inject template code into the sidebar,Victor Ng,2017-10-03T19:19:04Z,crankycoder,crankycoder,63,47,16
35,fathom-webextension,58ade639e8290f31c90cd637e60e3fb678dcf700,added css-loader and style-loader for react powering the wishlist sidebar,Victor Ng,2017-10-03T19:17:53Z,crankycoder,crankycoder,2,2,0
36,fathom-webextension,d7bf9a0a979e743c094c1558cbd2b9d6d9241dd7,"* Migrating to yarn and webpack from browserify
* Added comment about fathom-web and jsdom exclusion",Victor Ng,2017-10-03T13:27:13Z,crankycoder,crankycoder,17655,17602,53
37,fathom-webextension,fea34eae246b3477732dbe40c755fbd4aeabe260,swapped out react for preact.  added riek dependency,Victor Ng,2017-09-29T20:30:20Z,crankycoder,crankycoder,8,4,4
38,fathom-webextension,13ef98069220124068d8075b87d5f8da198b7c67,"basic message passing from pageAction click to the sidebar is passing
data over now.",Victor Ng,2017-09-29T19:15:16Z,crankycoder,crankycoder,135,68,67
39,fathom-webextension,026d2f4264db77b8a194afc718e72c9c543894b9,"added react, react-dom and react-tap",Victor Ng,2017-09-26T02:47:55Z,crankycoder,crankycoder,5,4,1
40,fathom-webextension,7d6762d10ab0f831dc5192d18c1f9ad0cb8bbf70,moved readme back to top level because of github,Victor Ng,2017-09-26T01:22:06Z,crankycoder,crankycoder,0,0,0
41,fathom-webextension,9fc8aaa97ed63f1f0c2c6becce1f269cc41a3c53,Merge branch 'features/license' into vng,Victor Ng,2017-09-26T01:18:14Z,crankycoder,crankycoder,373,373,0
42,fathom-webextension,b1c6c9c6f4751767e2d395b014f61cefb46bddcf,added MPL2.0 license,Victor Ng,2017-09-25T20:48:26Z,crankycoder,crankycoder,373,373,0
43,fathom-webextension,cd314e635d7f5d5ec7adb8cbad712b7990649d98,"added explicit exclusion of google properties as they seem to kill the
fathom scorer and firefox in general",Victor Ng,2017-09-22T22:20:25Z,crankycoder,crankycoder,1,1,0
44,fathom-webextension,92becae3ab2dc9b2a20ee829fa80296354f789f6,added the storage permission,Victor Ng,2017-09-22T22:06:41Z,crankycoder,crankycoder,6,5,1
45,fathom-webextension,125d617783c730c627d097685554125a83bc90c0,"added comment as to why i didn't just use sendResponse to fire the data
back through the Promise",Victor Ng,2017-09-22T22:03:12Z,crankycoder,crankycoder,4,4,0
46,fathom-webextension,0064b626354de15683b6d839dfd9dda7947b7ba9,"reworked the computation of the fathom code so that values are precached
once document_idle is triggered, and when the pageAction popup is
opened, just load the results straight from cache",Victor Ng,2017-09-22T21:56:18Z,crankycoder,crankycoder,43,31,12
47,fathom-webextension,3293fff619786c33fb66e1e60a73f5490aedcad9,"added code to force the preprocessed.js code to run immediately when
'document_idle' is fired",Victor Ng,2017-09-22T20:53:40Z,crankycoder,crankycoder,43,35,8
48,fathom-webextension,0e4c0b120212eac91d59a3acf783f6156b5acf77,removed the browserAction and replace entirely with the pageAction,Victor Ng,2017-09-22T20:18:56Z,crankycoder,crankycoder,23,16,7
49,fathom-webextension,3f06c5ef56d56b54898b71d2320af648a45420e4,"added hooks into the pageAction API so that we have a URL bar icon that
we can click on to add to wishlist",Victor Ng,2017-09-22T15:39:33Z,crankycoder,crankycoder,30,30,0
50,fathom-webextension,964f96d4fe76544234ac1f84be75a0050a703ef9,"cleaned up sample sidebar html code so that an image, description and
hyper link show up",Victor Ng,2017-09-22T15:14:29Z,crankycoder,crankycoder,42,38,4
51,fathom-webextension,4fa5c1ed1740e254f482153c80acd7d728150ff2,added sidebar snippet code and icon,Victor Ng,2017-09-22T15:02:56Z,crankycoder,crankycoder,12,11,1
