,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fhr-v2-v4-executive,64f4342cdd31647a1399eac17029396ccc663db3,usageHours is now total hours,Saptarshi Guha,2015-11-18T20:05:49Z,saptarshiguha,saptarshiguha,2,1,1
1,fhr-v2-v4-executive,0dc2f4a7b0bc608047d53d6c8962213f951ef140,Fixes for multiple values on a day when there ought to be only one,Saptarshi Guha,2015-11-06T23:25:23Z,saptarshiguha,saptarshiguha,34,22,12
2,fhr-v2-v4-executive,5e50403ad59893b39f09e9f98ddc944526ba9f34,"Merge pull request #3 from mreid-moz/add_profile_creation

Add a field for Profile Creation Date.",Saptarshi Guha,2015-10-29T18:18:58Z,saptarshiguha,saptarshiguha,11,6,5
3,fhr-v2-v4-executive,e8f66ee6b5da3e8dc2c86673ab1f1c66d63835b3,"Add a field for Profile Creation Date.

We need the Profile Creation Date to determine if a client is ""new""
or not.",Mark Reid,2015-10-29T18:13:13Z,mreid-moz,mreid-moz,11,6,5
4,fhr-v2-v4-executive,dccbf8300daabd6e2d35f6070c0474ab2c3b23da,Changed the number of reducers,Saptarshi Guha,2015-10-28T20:36:54Z,saptarshiguha,saptarshiguha,2,1,1
5,fhr-v2-v4-executive,9dbafcbe58d2367f5bf1adcedb0850bf23969355,Incorporated InOrOut logic,Saptarshi Guha,2015-10-28T18:31:32Z,saptarshiguha,saptarshiguha,14,7,7
6,fhr-v2-v4-executive,65451147142fcd64818178a42078f2bd171e126e,"Merge pull request #2 from mreid-moz/in_or_out_round_2

Update the ""in or out"" logic based on latest intel",Saptarshi Guha,2015-10-28T18:21:15Z,saptarshiguha,saptarshiguha,25,13,12
7,fhr-v2-v4-executive,1f72b3c6f2444a62c580686c1f39f9cd54edfc8f,"Update the ""in or out"" logic based on latest intel

Incorporate the latest updates from :gfritzsche to Bug 1175583.",Mark Reid,2015-10-28T18:18:10Z,mreid-moz,mreid-moz,25,13,12
8,fhr-v2-v4-executive,21073eefef25ee849b30dba9f1654544f0efc4ed,Added the R code to export files to S3,Saptarshi Guha,2015-10-27T19:46:24Z,saptarshiguha,saptarshiguha,41,41,0
9,fhr-v2-v4-executive,60e4aac1ebf983427951c2684b5d051b35617719,added firefox version to the export,Saptarshi Guha,2015-10-27T19:46:00Z,saptarshiguha,saptarshiguha,32,27,5
10,fhr-v2-v4-executive,bf7493bc35feac57205742306aa9815ee0a58489,First testing code,Saptarshi Guha,2015-10-16T22:03:58Z,saptarshiguha,saptarshiguha,39,19,20
11,fhr-v2-v4-executive,7c375f40e5d8689c837c1a969d4d91f2682dde8e,updated new logic for buildid,Saptarshi Guha,2015-10-16T20:13:49Z,saptarshiguha,saptarshiguha,10,2,8
12,fhr-v2-v4-executive,231c0964e660546d3cb3802b92cdf7ea705b7297,updated new logic,Saptarshi Guha,2015-10-16T20:10:09Z,saptarshiguha,saptarshiguha,79,49,30
13,fhr-v2-v4-executive,261b3eb6034a0ced892a78396427600148b04b8f,first commit,Saptarshi Guha,2015-10-16T18:30:04Z,saptarshiguha,saptarshiguha,2,2,0
14,fhr-v2-v4-executive,fa183558f29fe7617a6a10a0adc23f079a4c2f67,first commit,Saptarshi Guha,2015-10-16T18:28:40Z,saptarshiguha,saptarshiguha,140,140,0
