,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,file2crashes,719561098f324ccc1893f9443cb69b00b86b1340,"Merge pull request #3 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",calixteman,2019-03-30T15:06:38Z,calixteman,calixteman,15,15,0
1,file2crashes,ad808d687ddf2328a9f2d7d1b1e21044883ceb2c,"Add Mozilla Code of Conduct file

Fixes #2.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T06:10:26Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,file2crashes,8c459d258eca693bf33ae9d9d0d0e4fea4aa3f44,Add an explaining comment in crashes.html,Calixte Denizet,2017-03-11T17:00:06Z,calixteman,calixteman,4,3,1
3,file2crashes,6a2e826e14442f1318bdca6f47610e5ed0df2a03,Add a way to select the date and a favicon,Calixte Denizet,2017-03-11T16:54:33Z,calixteman,calixteman,101,68,33
4,file2crashes,947c5c64de1eb8746151b24f7091bb4f0d2b8d6f,Update table name in create(),Calixte Denizet,2017-03-11T15:50:13Z,calixteman,calixteman,2,1,1
5,file2crashes,704a4091e1bca2a477b8d27aa5bfaa4aab57f373,Change the db table name,Calixte Denizet,2017-03-11T13:46:17Z,calixteman,calixteman,2,1,1
6,file2crashes,6acda4268ae2f7abb9b9b7638497f2b84353beb1,Add a put_dump function,Calixte Denizet,2017-03-11T13:36:53Z,calixteman,calixteman,19,18,1
7,file2crashes,f8d3a25cd5a5771f22d1479aa7fbcd25058630df,Add parenthesis,Calixte Denizet,2017-03-10T20:37:18Z,calixteman,calixteman,2,1,1
8,file2crashes,6b9477d36642f7bd24d26f438fac89f1a85a1e15,Filter by date when dumping,Calixte Denizet,2017-03-10T20:34:12Z,calixteman,calixteman,2,1,1
9,file2crashes,d3a212c399a4a4b89fbc6d8d7bbca5d7d2418b66,Dump for a date,Calixte Denizet,2017-03-10T20:33:24Z,calixteman,calixteman,15,9,6
10,file2crashes,10969b4746de69fbb14f97a33f927be018543120,Remove useless args in dump(),Calixte Denizet,2017-03-10T20:05:37Z,calixteman,calixteman,2,1,1
11,file2crashes,80d6cea5eb04f8b088c92083fdbb460fb384dee9,Forget an object,Calixte Denizet,2017-03-10T20:03:53Z,calixteman,calixteman,2,1,1
12,file2crashes,8da4ce373b8f11fb142c8e9424dc50ad70452300,Add a dump command,Calixte Denizet,2017-03-10T20:00:52Z,calixteman,calixteman,21,21,0
13,file2crashes,d101bf3640a57a9c27acbb1e41afa3bb6f05f071,Add product & date on html pages,Calixte Denizet,2017-02-27T09:14:01Z,calixteman,calixteman,8,8,0
14,file2crashes,fdf6ebae73d761a1eaceb63d79da46fd9b7f64de,Pass sort function in the template,Calixte Denizet,2017-02-26T21:15:31Z,calixteman,calixteman,3,2,1
15,file2crashes,575e1eaf83722a98e1c1dac9ea8b88cfc94d1212,Sort data correctly on html output,Calixte Denizet,2017-02-26T21:13:10Z,calixteman,calixteman,7,4,3
16,file2crashes,3fd21de4e4c2c61dd58a5500e8ae1a3ed601b357,Repalce UnicodeText by Text,Calixte Denizet,2017-02-26T20:57:20Z,calixteman,calixteman,2,1,1
17,file2crashes,e675564e56624dcb373af9c763c45e994f999854,first commit,Calixte Denizet,2017-02-26T20:33:07Z,calixteman,calixteman,531,531,0
