,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,firefox-flicks,8f658fef36913222d314af3a5f2cf014c130b8bc,Moved some documentation from README to sphinx. Closes #6.,Fred Wenzel,2011-01-05T00:06:57Z,Fred Wenzel,Fred Wenzel,125,70,55
1,firefox-flicks,f5dc948737d9ec714b343125664c994e604d17ec,Added Sphinx (the documentation tool),Fred Wenzel,2011-01-04T23:12:34Z,Fred Wenzel,Fred Wenzel,373,373,0
2,firefox-flicks,6b0e693383d2aa386abcafd23ec892c659d5cfa8,Adding our basic L10n libraries,Austin King,2011-01-04T23:14:08Z,ozten,ozten,6,6,0
3,firefox-flicks,678e6b0fc4ccb5b71437fef22c6418ba29c2edcb,"Added commonware, used X-Frame-Options middleware.",Fred Wenzel,2011-01-04T02:20:27Z,Fred Wenzel,Fred Wenzel,17,16,1
4,firefox-flicks,a8e7be51ab0fe64a7bee15b93ec80ec1a808fc1a,Use SHA-512 by default.,Fred Wenzel,2011-01-04T02:03:01Z,Fred Wenzel,Fred Wenzel,8,4,4
5,firefox-flicks,f1445eaa32093467b385206a7918a34911b92756,"Recursive clone to check out initially. To start project, fork and branch to master.",Fred Wenzel,2011-01-03T23:54:18Z,Fred Wenzel,Fred Wenzel,23,19,4
6,firefox-flicks,3d414adc7856a30208a3e71a310e0213cc2dfd72,Updated django-sha256.,Fred Wenzel,2010-12-30T00:17:15Z,Fred Wenzel,Fred Wenzel,1,1,0
7,firefox-flicks,d5535e8e25794bd18b7560c2371730b09c2f2327,Updated django-sha256.,Fred Wenzel,2010-12-30T00:16:54Z,Fred Wenzel,Fred Wenzel,2,1,1
8,firefox-flicks,d507d0d2cad12f7d01c9c8c6cc22dac3962db6f2,Added empty media directories.,Fred Wenzel,2010-12-30T00:07:21Z,Fred Wenzel,Fred Wenzel,0,0,0
9,firefox-flicks,5db7edbabc276802786dd88e93bc1fb3c513b4a8,Added django-sha256,Fred Wenzel,2010-12-30T00:07:10Z,Fred Wenzel,Fred Wenzel,14,13,1
10,firefox-flicks,d118a3bbdcb52683c8f191acdc79a5d0a94d0211,No user image uploads by default.,Fred Wenzel,2010-12-29T23:40:05Z,Fred Wenzel,Fred Wenzel,1,0,1
11,firefox-flicks,5610113748f9121c80da6015d2a9ac44bf7eac78,Check out vendor library recursively when starting.,Fred Wenzel,2010-12-29T23:39:49Z,Fred Wenzel,Fred Wenzel,5,4,1
12,firefox-flicks,b7982f90e949b7c2d29410bd74c027287f393743,Renamed settings_local dist file,Fred Wenzel,2010-12-29T23:39:22Z,Fred Wenzel,Fred Wenzel,0,0,0
13,firefox-flicks,a8db7cfe9fd300b800bf58c70a4b6b930cd7cdfe,Added empty apps dir.,Fred Wenzel,2010-12-29T00:02:15Z,Fred Wenzel,Fred Wenzel,0,0,0
14,firefox-flicks,0ea9f05a3025bcd70f6087a8cd0ed065896ec884,"Moving around the settings file, creating a settings_local template.",Fred Wenzel,2010-12-29T00:01:29Z,Fred Wenzel,Fred Wenzel,96,66,30
15,firefox-flicks,3c81e3d271afd6bba47e9b8e693ccf0859958100,Packaging in Zamboni.,Fred Wenzel,2010-12-28T23:45:06Z,Fred Wenzel,Fred Wenzel,3,3,0
16,firefox-flicks,5bf5bc1c531e1c959e1396114086a9758b3a6c32,Added compiled and dev requirements files,Fred Wenzel,2010-12-28T23:42:42Z,Fred Wenzel,Fred Wenzel,7,7,0
17,firefox-flicks,c897a5c61b1bb7b5bb6988692a5c430ed76d001d,added a readme.,Fred Wenzel,2010-12-28T23:40:48Z,Fred Wenzel,Fred Wenzel,36,36,0
18,firefox-flicks,88cbf138695856773897cac09facd1a45a6c1e8d,Switch from bam-lib to playdoh-lib,Fred Wenzel,2010-12-28T23:25:45Z,Fred Wenzel,Fred Wenzel,2,1,1
19,firefox-flicks,effd10c952d25e41560a93f3ecf39f8fcd408bb2,@require_post requires post,Jeff Balogh,2010-12-16T22:05:46Z,Jeff Balogh,Jeff Balogh,10,10,0
20,firefox-flicks,fd0bca7997ed6bb7081930febdc627c92d70b5b1,adding a requirements file,Jeff Balogh,2010-12-16T22:05:21Z,Jeff Balogh,Jeff Balogh,3,3,0
21,firefox-flicks,292f85df586576028195ad34f9f29417221422b9,get a .wsgi loader,Jeff Balogh,2010-12-16T22:05:04Z,Jeff Balogh,Jeff Balogh,16,16,0
22,firefox-flicks,6d94ac6593297c224afa289a8dc8105608ee7030,updating vendor,Jeff Balogh,2010-12-16T22:03:19Z,Jeff Balogh,Jeff Balogh,2,1,1
23,firefox-flicks,6736c9534e402cbe72c79979e1ae006d24ea91eb,adding .gitignore,Jeff Balogh,2010-12-16T22:02:26Z,Jeff Balogh,Jeff Balogh,16,16,0
24,firefox-flicks,477c59d005ffe64c43e83fe409145295e6074e31,adding celery,Jeff Balogh,2010-12-16T22:01:40Z,Jeff Balogh,Jeff Balogh,14,14,0
25,firefox-flicks,5d3b97a035994b824d56d22bec1065105f46b76f,contenttypes is needed for syncdb,Jeff Balogh,2010-12-16T22:01:10Z,Jeff Balogh,Jeff Balogh,2,1,1
26,firefox-flicks,a1930af50d098f4c81fce5e810d436e8dab49488,try to find settings_local instead of settings.py,Jeff Balogh,2010-12-16T22:00:29Z,Jeff Balogh,Jeff Balogh,17,12,5
