,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,firefox-for-android-addons,006afa63280f08855cbbeada5fa6f168ce40d6e6,Deprecate repo because WebExtensions.,Michael Comella,2017-06-14T16:35:25Z,mcomella,mcomella,12,12,0
1,firefox-for-android-addons,678ce49520ed3c9a093022f109dd4f1178cb52bb,"Merge pull request #8 from leibovic/master

update boilerplate install shortcut to work around bug 1201534",Margaret Leibovic,2015-12-23T16:48:30Z,leibovic,leibovic,34,28,6
2,firefox-for-android-addons,bc2ff3c8f93cf7922957d089541500efb556418d,update boilerplate install shortcut to work around bug 1201534,Margaret Leibovic,2015-12-23T16:46:56Z,leibovic,leibovic,34,28,6
3,firefox-for-android-addons,e38aa625aa729045e59128ad44702fa019edbdb7,"Merge pull request #6 from gitagon/domWin

fix for: buggy android add-on native-ui-boilerplate, Bugzilla #1176002",Margaret Leibovic,2015-06-26T20:40:32Z,leibovic,leibovic,2,2,0
4,firefox-for-android-addons,215b6964011eb56f24e99350c131f5c8226772a6,"Bugzilla #1176002
buggy android add-on native-ui-boilerplate
bootstrap.js, line 66: the domWindow variable initialization
has been removed last year from the onOpenWindow handler,
therefore causing subsequent calls to domWindow methods fail:
https://github.com/mozilla/firefox-for-android-addons/commit/45c85215a89c9a965cf99378b9bca30c6d3ce1b3",gitagon,2015-06-24T19:42:53Z,gitagon,gitagon,2,2,0
5,firefox-for-android-addons,355f9a01464a0794c1084e8fdbab92c58503f49a,"Merge pull request #4 from leibovic/master

Use strict mode in boilerplate",Margaret Leibovic,2014-10-18T00:14:53Z,leibovic,leibovic,12,8,4
6,firefox-for-android-addons,447f3ab753440a3b6311565cfda7727297b84f21,use strict mode for hub boilerplate add-on,Margaret Leibovic,2014-10-18T00:14:10Z,leibovic,leibovic,2,2,0
7,firefox-for-android-addons,45c85215a89c9a965cf99378b9bca30c6d3ce1b3,use strict mode in native ui boilerplate,Margaret Leibovic,2014-10-18T00:11:51Z,leibovic,leibovic,10,6,4
8,firefox-for-android-addons,0854b91ec2e1799717f92fb083c5f01305528d7c,"Merge pull request #3 from leibovic/master

add code snippets for using JNI.jsm",Margaret Leibovic,2014-10-14T23:38:26Z,leibovic,leibovic,63,63,0
9,firefox-for-android-addons,76d313b0bc3b731c88767075f5fbbc06c601c3d6,add code snippets for using JNI.jsm,Margaret Leibovic,2014-10-14T23:37:49Z,leibovic,leibovic,63,63,0
10,firefox-for-android-addons,f1af04e819773caad1d0a2dceaa61931b9172a56,Update README.md,Margaret Leibovic,2014-09-17T19:41:52Z,leibovic,leibovic,2,2,0
11,firefox-for-android-addons,73f6dad70ff324e27aa19b99e309c5daeac3a557,Update README.md,Margaret Leibovic,2014-09-17T19:39:32Z,leibovic,leibovic,2,1,1
12,firefox-for-android-addons,cb654e3831625b563795717da0a7dd43b9ebf865,Update README.md,Margaret Leibovic,2014-09-17T19:38:41Z,leibovic,leibovic,2,2,0
13,firefox-for-android-addons,f5c4d27a7a4b25598bd1e5ee99b2750cb5925663,"Merge pull request #2 from leibovic/master

add boilerplate add-ons",Margaret Leibovic,2014-09-17T19:07:17Z,leibovic,leibovic,485,485,0
14,firefox-for-android-addons,9c6c81bce7ef5cc9fbea7889ae19f44023055991,add boilerplate add-ons,Margaret Leibovic,2014-09-17T19:06:14Z,leibovic,leibovic,485,485,0
15,firefox-for-android-addons,8a597827cfb623b4f37edc5ee8d49fd45a22233a,Update modules readme for Sound.jsm.,Michael Comella,2014-08-27T22:18:55Z,mcomella,mcomella,14,14,0
16,firefox-for-android-addons,009a6debfbf39aaa3e76d00f0577a6be15fe5049,Add Sound.jsm.,Michael Comella,2014-08-27T22:01:04Z,mcomella,mcomella,142,142,0
17,firefox-for-android-addons,74850122480ada20b7c622387e8489b71f8bc1ce,"Merge pull request #1 from leibovic/master

add modules and boilerplate directories",Margaret Leibovic,2014-08-27T21:47:59Z,leibovic,leibovic,8,8,0
18,firefox-for-android-addons,7a904586cfea006b0c1a19f057ab1fefcae82df6,add modules and boilerplate directories,Margaret Leibovic,2014-08-27T21:47:17Z,leibovic,leibovic,8,8,0
19,firefox-for-android-addons,89a14b1a7da38dc916c4e0519aa802da19e28eca,Initial commit,Margaret Leibovic,2014-08-27T21:39:10Z,leibovic,leibovic,4,4,0
