,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,firefox-roku,c58a20d5f4e64a4b496c389c0403d443afabdf77,"Merge pull request #1 from jalder/master

Yes, Right(..., ...) should do the correct thing if the main string is less than the tested string. We could add better error checking for the URL, because if it's less than 3 characters we have bigger problems.

I don't have any good way to test this, so I am counting on jadler's test. If there is a testable stream we can use, that would be cool as well.

As for pushing new versions, we do it ""as needed"" for now. First, to the Nightly and then to the Release after we collect some other potential fixes.",Mark Finkle,2014-12-14T04:36:35Z,mfinkle,mfinkle,9,8,1
1,firefox-roku,dd9fdbc122750610e65a918a3419d7390e3339f0,video player updated to check for .ts extension for mpeg4 ts playback,jalder,2014-12-12T04:28:59Z,jalder,jalder,9,8,1
2,firefox-roku,68bbcfdfdb3fe9dae4433d98c20ec4a731afb84b,Bug 1094826 - Update the top right corner submenu titles on Roku channel r=trivial,Mark Finkle,2014-11-07T02:27:34Z,mfinkle,mfinkle,2,1,1
3,firefox-roku,e1ceb05bd92e8e943202024edfaf744320aeb01f,Bug 1068644 - 'Clear all history' button is active when history is empty r=bnicholson,Mark Finkle,2014-09-26T19:41:10Z,mfinkle,mfinkle,4,4,0
4,firefox-roku,0ef3fd5b72f93016b946b84070f33bbad38a29fd,Bug 1068633 - Firefox: User doesn't go back to the channel after watching video till the end r=bnicholson,Mark Finkle,2014-09-26T12:54:33Z,mfinkle,mfinkle,1,1,0
5,firefox-roku,9559eb55eb848aa4e67de5c9f4c5b6f5554e5be7,Bug 1068641 - Firefox :: Options popup could not be closed by pressing * btn,Mark Finkle,2014-09-23T04:04:32Z,mfinkle,mfinkle,3,3,0
6,firefox-roku,0cd7c28f99497ac729f5702f69e358ab6a90b0b3,Add support for building 'nightly' and 'release' packages,Mark Finkle,2014-09-13T15:41:58Z,mfinkle,mfinkle,75,69,6
7,firefox-roku,a039dae129f76f11ce6c78bb2022d96d46900df5,Bug 1025923 - Removing an entry from history will only take effect after restarting the Roku app r=wesj,Mark Finkle,2014-09-13T15:38:12Z,mfinkle,mfinkle,51,37,14
8,firefox-roku,dd28714bb5bec53c747ba6db213a7ccec7866480,Bug 1064222 - Update wording in the Introduction screen r=trivial,Mark Finkle,2014-09-13T15:31:10Z,mfinkle,mfinkle,4,2,2
9,firefox-roku,26ece99b078fd1c9a27c5db8679712663e1e8b0e,Reorganize assets to support building nightly and release versions,Mark Finkle,2014-09-07T03:56:44Z,mfinkle,mfinkle,0,0,0
10,firefox-roku,e4b0f4b03e50515889eab482f33ea63d1e921651,Bug 1056333 - Update 'introduction' stage's 'Cast video' illustration r=trivial,Mark Finkle,2014-09-06T04:22:35Z,mfinkle,mfinkle,0,0,0
11,firefox-roku,304925a7f3f12bf173b0cf015aa7fec7bdf2aad5,Bug 1056362 - Change UI copy to be more meaningful r=trivial,Mark Finkle,2014-09-06T04:17:06Z,mfinkle,mfinkle,6,3,3
