,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,firefox10.org,13594652ade0f96826dcbb6c8cd93c0368a83afc,"Merge pull request #16 from MichaelKohler/localization_phase2

locale fixes after phase2 push",Michael Kohler,2014-11-02T23:36:20Z,MichaelKohler,MichaelKohler,69,42,27
1,firefox10.org,8f1a3bc1f0fb5e8ebb98560b069b3490547969d2,locale fixes after phase2 push,Michael Kohler,2014-11-02T23:35:50Z,MichaelKohler,MichaelKohler,69,42,27
2,firefox10.org,06547635217f421ef0225c07bf272a3a20d03595,"Merge pull request #13 from varghesethomase/fx10

Phase 2",Michael Kohler,2014-11-02T23:04:25Z,MichaelKohler,MichaelKohler,1366,848,518
3,firefox10.org,37b57ffb2996d6b54b348c20cac3200f11c5f2ad,Commiting the new version of website,Varghese Thomas E,2014-11-02T22:59:11Z,varghesethomase,varghesethomase,1366,848,518
4,firefox10.org,66b5614de7596aaee6fbaff0c2dcd1ef95aa6d02,"Merge pull request #9 from ramabit/master

adding elements to the ui and improving design",JessCSR,2014-11-02T20:25:52Z,JessCSR,JessCSR,179,150,29
5,firefox10.org,6bbd528af30abc587fb219a8ebf9cf872bbbd604,"Merge pull request #10 from MYaseenAKAKhan/master

Update index.html",JessCSR,2014-11-02T20:25:42Z,JessCSR,JessCSR,6,3,3
6,firefox10.org,0dc84600729278df8d4976e1633646c84f7d6e4f,"Merge pull request #12 from MichaelKohler/germanfix

fix German translation",JessCSR,2014-11-02T20:24:51Z,JessCSR,JessCSR,22,11,11
7,firefox10.org,def2cbe6bac7985bd67438c6a1b716ce770cedc9,more German fixes,Michael Kohler,2014-11-02T15:51:19Z,MichaelKohler,MichaelKohler,10,5,5
8,firefox10.org,9db0b54a2a6a2530a59f98e7aaf4e46c4a4ada18,fix German translation,Michael Kohler,2014-11-02T14:00:10Z,MichaelKohler,MichaelKohler,16,8,8
9,firefox10.org,dfbf1fabd566fde16c3d5d486005695e329eab5c,"Merge pull request #8 from MichaelKohler/firstgerman

first German translation",Alex Lakatos,2014-11-02T10:17:58Z,AlexLakatos,AlexLakatos,45,45,0
10,firefox10.org,68788b4c23e7c5221c700095df38fbceebd1352f,"Updated index.html

Added italics",MYaseenAKAKhan,2014-11-01T11:54:35Z,foxt7ot,foxt7ot,2,1,1
11,firefox10.org,43ec673eefb9baae95d126a3c93072c492949e5b,Update index.html,MYaseenAKAKhan,2014-11-01T07:09:46Z,foxt7ot,foxt7ot,4,2,2
12,firefox10.org,806e3c507c458ec7b4d494b244f0c1c2b8710e76,adding elements to the ui and improving design,ramabit,2014-11-01T04:43:19Z,ramabit,ramabit,179,150,29
13,firefox10.org,12b2e562e1e00cca34e53aaa900872d0ed372f3a,first German translation,Michael Kohler,2014-11-01T00:25:34Z,MichaelKohler,MichaelKohler,45,45,0
14,firefox10.org,b5b44b2d0768aa5a3dd7123b574ca243356cb188,"Merge pull request #7 from MichaelKohler/missingTrans

add missing translation label",Alex Lakatos,2014-10-30T23:22:45Z,AlexLakatos,AlexLakatos,2,1,1
15,firefox10.org,c46977a7005d775024251d7b353a717ea3221852,fix span,Michael Kohler,2014-10-30T21:26:03Z,MichaelKohler,MichaelKohler,2,1,1
16,firefox10.org,9b52af31ae5defc82f9779b2e28e9971b1c7fc20,add missing translation label,Michael Kohler,2014-10-30T21:23:09Z,MichaelKohler,MichaelKohler,2,1,1
17,firefox10.org,94f34c0b362de20931d2a4e1bef31ec74af8a44a,"Merge pull request #6 from MichaelKohler/localefix

make missing strings translateable",Alex Lakatos,2014-10-30T20:59:12Z,AlexLakatos,AlexLakatos,2,1,1
