,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,foresight,dc4748c96842fc1f4aa32a15b01603ef53158b03,"Merge pull request #3 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",nshadowen314,2019-10-09T21:02:02Z,nshadowen314,nshadowen314,15,15,0
1,foresight,5762df66dda6fb408b8a17f5c18ff27c552cd5a2,Update open-web-tech.md,Nicole Shadowen,2019-04-04T22:21:34Z,nshadowen,nshadowen,2,1,1
2,foresight,e2d4470b40ebf6968e66cb058d851bce0bd1551d,Update mixed_reality.md,Nicole Shadowen,2019-04-04T22:19:49Z,nshadowen,nshadowen,2,1,1
3,foresight,27a4e5d0cd1768948020cef10caf59dd6186ef61,Update voice.md,Nicole Shadowen,2019-04-04T22:18:08Z,nshadowen,nshadowen,2,1,1
4,foresight,0601eeae16fe7d1c48a715e441a52fbf7d3670c8,Update decentralized.md,Nicole Shadowen,2019-04-03T20:47:50Z,nshadowen,nshadowen,19,10,9
5,foresight,1624d8e3069f46e8d87d33b7a9866471ff08f71f,Update greening.md,Nicole Shadowen,2019-04-03T20:47:06Z,nshadowen,nshadowen,10,6,4
6,foresight,fcaede6ebbc81a473f7fad82b8c5faeb541514a9,Update inclusive-creation.md,Nicole Shadowen,2019-04-03T20:45:13Z,nshadowen,nshadowen,16,9,7
7,foresight,bea413624e5db8393f2c425e2b7b9e1608c0b672,Update open-web-tech.md,Nicole Shadowen,2019-04-03T20:44:35Z,nshadowen,nshadowen,13,6,7
8,foresight,0d7fe2816eeb5f53d686b710577220f48c5b19b5,Update voice.md,Nicole Shadowen,2019-04-03T20:42:22Z,nshadowen,nshadowen,11,5,6
9,foresight,152939911035a61d06897f7a27463273f887fc79,Update mixed_reality.md,Nicole Shadowen,2019-04-03T20:41:36Z,nshadowen,nshadowen,9,4,5
10,foresight,27cd3ad17ba9685fd42de5eb4430c73e042022ca,Update mixed_reality.md,Nicole Shadowen,2019-04-03T20:40:43Z,nshadowen,nshadowen,22,11,11
11,foresight,dea3f91ff61bb6c611e9fc755292beb74fed962a,"Add Mozilla Code of Conduct file

Fixes #2.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T07:12:33Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
12,foresight,f1f54a48b3ebac365a5fe29f6f075ec592ae50d2,Update greening.md,Nicole Shadowen,2019-03-29T21:33:22Z,nshadowen,nshadowen,2,1,1
13,foresight,15e430db3f8c5ff540f118ce8c1f74f740981c1f,Update inclusive-creation.md,Nicole Shadowen,2019-03-29T17:40:10Z,nshadowen,nshadowen,6,3,3
14,foresight,f9d3b62582c160507241db7e3a0eb55316d02323,Update greening.md,Nicole Shadowen,2019-03-29T17:38:56Z,nshadowen,nshadowen,2,1,1
15,foresight,a62f08d089dd19b5f956d6eeef34c3028a6afb02,Rename greening to greening.md,Nicole Shadowen,2019-03-29T17:38:05Z,nshadowen,nshadowen,0,0,0
16,foresight,5593decd61b2eb9e956c78f824d505f1a5a1944e,create greening,Nicole Shadowen,2019-03-29T17:37:52Z,nshadowen,nshadowen,21,21,0
17,foresight,4106905c74b9a65922be658929c5904736d3c0dd,create inclusive creation document,Nicole Shadowen,2019-03-29T17:03:08Z,nshadowen,nshadowen,30,30,0
18,foresight,85e9e35ac853118d2331a2cd4c89bfee797d8b53,Update decentralized.md,Nicole Shadowen,2019-03-29T16:42:58Z,nshadowen,nshadowen,2,1,1
19,foresight,59fa2d21db5a287f214be6295f8841e4a8aca40b,Update decentralized.md,Nicole Shadowen,2019-03-29T16:42:35Z,nshadowen,nshadowen,2,1,1
20,foresight,17db2a9f7e121e53bcedb3f8fd1c4a8d200366d8,Update decentralized.md,Nicole Shadowen,2019-03-29T16:40:46Z,nshadowen,nshadowen,2,1,1
21,foresight,7247866a175e9a6a767e06a11b6b0c97a18a8dcb,add .md,Nicole Shadowen,2019-03-29T16:40:23Z,nshadowen,nshadowen,0,0,0
22,foresight,905089eeaaf2c39be3be97b5270036de3f88de4a,create decentralized page,Nicole Shadowen,2019-03-29T16:40:09Z,nshadowen,nshadowen,31,31,0
23,foresight,ef4327f79287938e77cc923a677e4fe172e93ea5,Update voice.md,Nicole Shadowen,2019-03-29T16:29:24Z,nshadowen,nshadowen,4,2,2
24,foresight,e049855a1733bb42b6fec43f153c1f480e373cec,Update open-web-tech.md,Nicole Shadowen,2019-03-29T16:28:20Z,nshadowen,nshadowen,2,1,1
25,foresight,953313c07933c7bc5947a049aa6c88ac8812632b,Rename open-web-tech to open-web-tech.md,Nicole Shadowen,2019-03-29T16:23:52Z,nshadowen,nshadowen,0,0,0
26,foresight,ca72ed9a96ba04c43c35f4bef567beab8f4d5462,Update open-web-tech,Nicole Shadowen,2019-03-29T16:23:37Z,nshadowen,nshadowen,8,4,4
27,foresight,abb06e3819dff2a3e360bec68e589a0a5efeacae,Update open-web-tech,Nicole Shadowen,2019-03-29T15:01:35Z,nshadowen,nshadowen,19,9,10
28,foresight,c0e5a60581150391b86f0081ef117c1024edc4e2,Create open-web-tech,Nicole Shadowen,2019-03-29T14:58:37Z,nshadowen,nshadowen,42,42,0
29,foresight,98b31bee2317228d72721eaae984121b99d434db,Update voice.md,Nicole Shadowen,2019-03-29T14:44:21Z,nshadowen,nshadowen,4,2,2
30,foresight,97c95f7327e8d06920443838b0b4e4e2f7c7fbe4,Rename voice to voice.md,Nicole Shadowen,2019-03-29T14:43:43Z,nshadowen,nshadowen,0,0,0
31,foresight,ffa318fa1ce281ed228801c675488be9f0463ced,Rename voice-and-assistants,Nicole Shadowen,2019-03-29T14:43:30Z,nshadowen,nshadowen,0,0,0
