,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,foundation-icons,2275403f4816e221be35707269017bcdf32436f4,fixed readme link,mozilla,2016-11-22T21:57:57Z,flukeout,flukeout,2,1,1
1,foundation-icons,4f661944e7e6e9d122f4260c3ac5d5848f599df3,Added a license and updated source sketch file.,mozilla,2016-11-22T18:15:00Z,flukeout,flukeout,374,373,1
2,foundation-icons,6f749f2029239be92405bbaf4a0fdbd4ee32c4fb,Added a pulse,mozilla,2016-11-22T00:11:13Z,flukeout,flukeout,22,22,0
3,foundation-icons,501cf9f0e1f9149e7043c9bc4a45b65719c8c342,Added a heart,mozilla,2016-11-21T23:54:46Z,flukeout,flukeout,2,1,1
4,foundation-icons,0aa8f82474c8d99e29f6d5d51731c5101d65dc56,Fixed link to repo,mozilla,2016-11-21T23:27:02Z,flukeout,flukeout,2,1,1
5,foundation-icons,52c4c01c100290826bb6d7e6f8c2f16198394783,minor style updates,mozilla,2016-11-21T23:22:53Z,flukeout,flukeout,23,18,5
6,foundation-icons,aac9d247d7214eca63ef7bbb40704a7c978e9035,Added a zip of all the icons for easy download,mozilla,2016-11-21T23:13:16Z,flukeout,flukeout,0,0,0
7,foundation-icons,61b7b9c4ebe905113c70abf3a7fd2e02bd9d8493,Updated some things,mozilla,2016-11-21T22:28:19Z,flukeout,flukeout,32,21,11
8,foundation-icons,6f68294d51c38ed5369379274a9d57e6f75c7b82,Renamed files and cleaned up the readme - moved usage instructions to demo page.,mozilla,2016-11-21T21:35:32Z,flukeout,flukeout,77,36,41
9,foundation-icons,9abf10e413bece293a8f45117ec8b684bed3252f,Updated links & ready,mozilla,2016-11-21T20:40:11Z,flukeout,flukeout,16,4,12
10,foundation-icons,fc0f138d67231311cdd59a81c453848fd6fea8ad,max-width change for images,mozilla,2016-11-21T20:16:28Z,flukeout,flukeout,1,1,0
11,foundation-icons,6a2a15d1d10f6b345b4db90940ead8c655774b45,Changed some things up!,mozilla,2016-11-21T20:09:48Z,flukeout,flukeout,69,46,23
12,foundation-icons,9d6b75b0600ae464349bc5c33c7c8f1320f318e4,Redid font in icomoon and added Thimble icons,mozilla,2016-11-21T19:22:50Z,flukeout,flukeout,1064,618,446
13,foundation-icons,9425dc0ea4290b94159a643733f66c3be639294a,Added a bunch of thimble icons,mozilla,2016-11-17T00:39:05Z,flukeout,flukeout,283,269,14
14,foundation-icons,c2d07b52277a31877cdaea404fadaaa07c0ae278,Added a bunch of new icons and restructured the demo page.,mozilla,2016-11-16T22:45:02Z,flukeout,flukeout,1264,1095,169
15,foundation-icons,2e02555138ca0cf77e6392b3c309ec72b37022a7,CDN stylesheet,Luke Pacholski,2016-04-27T21:49:38Z,flukeout,flukeout,40,40,0
16,foundation-icons,a3197d61b2dce411a253501ce6703bab23ec1c40,Added map marker and clock,Luke Pacholski,2016-04-27T21:35:55Z,flukeout,flukeout,63,47,16
17,foundation-icons,58d62479836cc4e795ab5f117ffa10560751ef4d,Re-structured how the files are organized. Should be easier now.,Luke Pacholski,2016-04-20T21:00:00Z,flukeout,flukeout,47,23,24
18,foundation-icons,599148c02867ae0c83689fe281a2e602b6db5b8d,Added a bunch of new icons from the Science site work.,Luke Pacholski,2016-04-20T20:45:04Z,flukeout,flukeout,4868,382,4486
19,foundation-icons,6c3b3088c4381f82e20783da88608cfb4762ce9e,Added another link to the demo page from the readme,Luke Pacholski,2016-03-21T16:51:29Z,flukeout,flukeout,2,2,0
20,foundation-icons,50755d2e7713fa61b88668f538baeed17b0a6399,"Removed the icons from the README page, will just redirect to the demo!",Luke Pacholski,2016-03-18T21:58:12Z,flukeout,flukeout,15,1,14
21,foundation-icons,6d631cc90efce9f21813f66e0b08314558f52cba,Added some new icons,Luke Pacholski,2016-03-18T21:07:23Z,flukeout,flukeout,157,108,49
22,foundation-icons,960ad9600780c9f923ff9088670f8df35dab5728,Removed all but the .woff fonts,Luke Pacholski,2016-03-14T16:55:41Z,flukeout,flukeout,5846,3460,2386
23,foundation-icons,8b9fc0645c4b560b8dd39ebb47ae025db805afe3,markup typo,Luke Pacholski,2016-03-10T22:40:59Z,flukeout,flukeout,2,1,1
24,foundation-icons,509c34eac42815b71c157f6ec0913eb6ac1410fd,Updated to the demo copy,Luke Pacholski,2016-03-10T22:12:25Z,flukeout,flukeout,4,4,0
25,foundation-icons,ffc585e29af278de19c580f1dd00ccc0542d0c60,Added a reponsive icon idea at the bottom of the demo page.,Luke Pacholski,2016-03-10T22:04:05Z,flukeout,flukeout,53,51,2
26,foundation-icons,a9873addb739b0c99ced13bdc090a2a7adb67aed,Updated usage for icon bookmark small,Luke Pacholski,2016-03-10T21:22:33Z,flukeout,flukeout,14,1,13
27,foundation-icons,61a1e504ff9e903193b61ae684b9ff917a9b1158,Added a bunch of stuff including illustrator source file.,Luke Pacholski,2016-03-10T21:21:44Z,flukeout,flukeout,3444,3414,30
28,foundation-icons,493a759692ea45d3fc1df9f41f9c90dcf6a402b5,Updated readme,Luke Pacholski,2016-03-10T19:34:07Z,flukeout,flukeout,2,1,1
29,foundation-icons,9930a6603d531675f0975f26883a45c8ff39e955,Updated README to add note about the CSS pointing to the Fonts folder,Luke Pacholski,2016-03-10T19:27:27Z,flukeout,flukeout,1,1,0
