,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,foundation-security-advisories,985e2593343ea9ed8a2f263b5cd58a343325f9ba,"Don't extract ""products"". We use ""fixed_in"" for the products list.",Paul McLanahan,2014-08-18T14:27:34Z,pmac,pmac,13,7,6
1,foundation-security-advisories,51629e09d11e42f384b558ff3e1c8fb0425b36da,Fix date -> announced.,Paul McLanahan,2014-08-08T03:56:35Z,pmac,pmac,44,1,43
2,foundation-security-advisories,1f7baf2dcef0fbc3cccfebbbe0fbfb91500f1de3,Update and add advisories from SVN.,Paul McLanahan,2014-08-06T05:00:40Z,pmac,pmac,11409,8121,3288
3,foundation-security-advisories,92d1fe399998e4249a0d139b4f3309a1e5e63d43,"Switch to YAML for header data.

* Fix issues with announcement dates.
* Fix issues with fixed in versions and products.",Paul McLanahan,2014-08-06T04:59:20Z,pmac,pmac,77,63,14
4,foundation-security-advisories,11491aff906cf2257257e8479e5bc5393d127d69,"Remove superfluous ""security"" dir. Update script.",Paul McLanahan,2014-08-04T19:00:02Z,pmac,pmac,12,2,10
5,foundation-security-advisories,04a61565aaecf8b84af304b91327c715700e0928,Reimport html for new title handling.,Paul McLanahan,2014-07-15T18:58:39Z,pmac,pmac,799,8,791
6,foundation-security-advisories,907aed8854215ebb38e905754d5cfae454e4107f,Update title handling on import.,Paul McLanahan,2014-07-15T18:58:22Z,pmac,pmac,19,8,11
7,foundation-security-advisories,ca161d0bc200f5a1d88c03566151fb826ee7a493,Parse announcement metadata.,Paul McLanahan,2014-07-15T15:04:48Z,pmac,pmac,18275,7593,10682
8,foundation-security-advisories,fb46710837654518572d4fcf4d982d1e4496f83b,Add requirements file.,Paul McLanahan,2014-07-12T20:03:27Z,pmac,pmac,2,2,0
9,foundation-security-advisories,299ee416aa10767ea5eea6a7204716ee91dd71ad,Add MPL2 License.,Paul McLanahan,2014-07-11T20:32:26Z,pmac,pmac,378,378,0
