,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,foundation.mozilla.org,050a5c04a771b177fef719e98955d7624232583c,interactive nav stub,Gavin Lazar Suntop,2017-02-09T23:55:04Z,gvn,gvn,101,80,21
1,foundation.mozilla.org,d1b819dc880fee180d46cf95a337bcaf3966fb1a,stubbing out jsx based Join Us component,Gavin Lazar Suntop,2017-02-09T22:54:28Z,gvn,gvn,68,63,5
2,foundation.mozilla.org,e0d4847d4048296553f90516f3fc375047819855,general updates: home & about,Gavin Lazar Suntop,2017-02-07T23:57:45Z,gvn,gvn,132,81,51
3,foundation.mozilla.org,40325f9e4ca009a46f21402640edbffe68c5700e,fixing lint error,Gavin Lazar Suntop,2017-02-07T01:14:54Z,gvn,gvn,1,0,1
4,foundation.mozilla.org,7f4dc21a8a42e750c2659f15c3199d626764ac7b,externalizing RC,Gavin Lazar Suntop,2017-02-07T01:14:32Z,gvn,gvn,16,8,8
5,foundation.mozilla.org,72bf58ab69ce1c4424874e6e4a618c0d50fc152a,refining typography; fleshing out home,Gavin Lazar Suntop,2017-02-07T00:08:59Z,gvn,gvn,171,110,61
6,foundation.mozilla.org,f3bd3622189f275859721b8070695c731dfeed1c,adding warning post-staging,Gavin Lazar Suntop,2017-02-04T00:26:21Z,gvn,gvn,1,1,0
7,foundation.mozilla.org,0e4f32f513498bf764de9ac7bd94839e2023f40e,"homepage tweaks, style guide fixes",Gavin Lazar Suntop,2017-02-04T00:18:06Z,gvn,gvn,72,32,40
8,foundation.mozilla.org,10ad4b714888dfb550907c96551299d67c827987,adding style guide with basic text styles,Gavin Lazar Suntop,2017-02-03T23:33:44Z,gvn,gvn,255,255,0
9,foundation.mozilla.org,faca24019fd9f27e32483fc7bfa6cd22abac349e,removing highlights,Gavin Lazar Suntop,2017-02-02T22:54:18Z,gvn,gvn,1,0,1
10,foundation.mozilla.org,3499a80380b854e1c5f0ce94c3f243e1ec67ae20,adding more real copy,Gavin Lazar Suntop,2017-02-02T22:51:04Z,gvn,gvn,60,31,29
11,foundation.mozilla.org,bf2f807e1670ee966a233a6180450e783f87c499,updating homepage content and structure,Gavin Lazar Suntop,2017-02-02T19:47:25Z,gvn,gvn,42,21,21
12,foundation.mozilla.org,acb1f3115f4323144790f87fe90e6ea8ac6c12ac,stubbing out offerings,Gavin Lazar Suntop,2017-02-02T18:09:27Z,gvn,gvn,30,27,3
13,foundation.mozilla.org,469976cb8bf6384e800a0f23b417640ab9688d20,switching to template instead of header/footer include,Gavin Lazar Suntop,2017-01-31T22:48:22Z,gvn,gvn,564,279,285
14,foundation.mozilla.org,079bb68cb6d0d104334489c37da0793bcef478b8,adding footer from mofo-bootstrap,Gavin Lazar Suntop,2017-01-31T22:35:49Z,gvn,gvn,32,30,2
15,foundation.mozilla.org,4da584ffd8d4eeedb9ab68839e0055e662a0cecb,upgrades,Gavin Lazar Suntop,2017-01-31T22:26:29Z,gvn,gvn,12,6,6
16,foundation.mozilla.org,a4df439ae09e74bd4810d293244db77f64b463ab,removing unused pages,Gavin Lazar Suntop,2017-01-31T19:32:28Z,gvn,gvn,12,0,12
17,foundation.mozilla.org,f7aebc099d8a750de038650700d8b9e527ffbaf4,adding news page,Gavin Lazar Suntop,2017-01-31T18:48:13Z,gvn,gvn,41,41,0
18,foundation.mozilla.org,10e0e3fffdba744293b17958d64d2e88635385b3,more scaffold,Gavin Lazar Suntop,2017-01-30T21:29:22Z,gvn,gvn,40,39,1
19,foundation.mozilla.org,49148c29e2c972fc4ead608762bc355b3ff337de,adding Upcoming scaffold,Gavin Lazar Suntop,2017-01-30T19:37:00Z,gvn,gvn,54,47,7
20,foundation.mozilla.org,635bf38deef63e6d66ed39cb2c1a67cb90363646,tweaks and adding about,Gavin Lazar Suntop,2017-01-27T20:54:52Z,gvn,gvn,51,39,12
21,foundation.mozilla.org,d1be5db670fbb4c64da2357250a0e644e6cc20e3,fleshing out people more,Gavin Lazar Suntop,2017-01-27T19:24:49Z,gvn,gvn,18,10,8
22,foundation.mozilla.org,b4c552f2f7b0b9e4b1b722d76f12eb350f12729d,adding people stuff,Gavin Lazar Suntop,2017-01-26T23:24:57Z,gvn,gvn,40,15,25
