,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,frappe,0b9c4bd68c910e613123b99d5906134aee22f774,[IMPROVEMENT] Super Mega Improvement on template rendering. Lose 1 extra query per app installed and 2 extra queries per app recommended.,joaonrb,2014-01-09T16:43:34Z,joaonrb,joaonrb,39,24,15
1,frappe,95d4206106f5b8b7851b2af6f4ed74eed6aa2452,"[IMPROVEMENT] Controller now sort app list before rerankers. So rerankers receive by parameter a list with app ids sorted by score instead of a list of scores sorted by app ids. This way the reranker just have to adjust the position instead of  an app id instead of recalculate scores.

[IMPROVEMENT] User cache now fetch all related",joaonrb,2014-01-09T16:00:05Z,joaonrb,joaonrb,11663,56,11607
2,frappe,4fbfa46290bd594914576a90659c569f6b663057,[IMPROVEMENT] Category Reranker version 1. Still need some testing.,joaonrb,2014-01-08T16:34:22Z,joaonrb,joaonrb,1256,1249,7
3,frappe,12caea1bd8ae6e7eca91f7432f8e5b05f0463428,"[IMPROVEMENT] Cache part of the recommendation template. Reduce queries.

[INFO] Beginning the implementation of category re-rankers.",joaonrb,2014-01-08T11:00:09Z,joaonrb,joaonrb,2182,2168,14
4,frappe,87b0b4f4fc2ae1117da6a34ba07c7044dcaf79ba,[IMPROVEMENT] Change in GUI recommendation view. The View now receives 80 recommendations(hidden most of them) showing 4 each time.,joaonrb,2014-01-08T08:50:35Z,joaonrb,joaonrb,7551,7520,31
5,frappe,68f825bfbc7d186015844cc8971fe5f929806d49,[FEATURE] Java Predictor - Interface with MySQL tables.,joaonrb,2014-01-03T15:15:00Z,joaonrb,joaonrb,298094,298094,0
6,frappe,65fcb5ad7728901f0f6ee239a10edc5b16a48db1,[FEATURE] Documents updated,joaonrb,2014-01-03T15:04:41Z,joaonrb,joaonrb,920,19,901
7,frappe,c188e87204791cdcde74cb69ee0e9b0e1814bb0a,[FEATURE] New controller that connect the data of the Java predictor.,joaonrb,2014-01-03T14:59:04Z,joaonrb,joaonrb,408,386,22
8,frappe,c5f69c7bcc598bd7f968eeaa8a1c63987cc60faa,[FEATURE] Login and logout fully integrated,joaonrb,2013-12-31T11:47:44Z,joaonrb,joaonrb,523,497,26
9,frappe,7ff2e9571ea628f18b2419b0cb46b1c5fc5c015e,"[FEATURE] Personalized login feature. Logout is already implemented but not included in gui. Have to use ""http://host:port/logout/"".",joaonrb,2013-12-31T11:08:04Z,joaonrb,joaonrb,33,30,3
10,frappe,f95f545e61b6b0e72f76cf493bbe609372338061,[MINOR] Remove the .idea. This doesn't belong with the project,joaonrb,2013-12-30T09:56:32Z,joaonrb,joaonrb,50,0,50
11,frappe,135e69004bb6021576aa9120208e45810081f321,"[FEATURE] Login feature. This use the admin login feature. Because is not made for it, after login the user always is redirected to the admin page.",joaonrb,2013-12-30T09:35:12Z,joaonrb,joaonrb,80,73,7
12,frappe,f94ce6e337f8b2a341800b501b01e17325d497c7,[MINOR] Added the encoding line to utf-8 in the main python files,joaonrb,2013-12-17T16:47:46Z,joaonrb,joaonrb,4173,2791,1382
13,frappe,5b4357c1b13f84fe0ab0d35ea51ed957cadd2d77,"[FEATURE] New region Filter.
[MINOR] Templates in GUI were changed to show some of the recommended apps info.",joaonrb,2013-12-16T11:52:54Z,joaonrb,joaonrb,137,131,6
