,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fx-crash-sig,5f779ef19efb85f9148bf759e92903db313be72c,Rework Python testing to use CircleCI Python images,Will Kahn-Greene,2020-12-24T00:13:28Z,willkg,willkg,39,33,6
1,fx-crash-sig,e35f7ea2722ed5f86abd45b59745744c6feda500,Set up CI to test with Python 3.9,Will Kahn-Greene,2020-12-24T00:07:36Z,willkg,willkg,19,16,3
2,fx-crash-sig,0e1064a7db18f7c96ec47e24f63e7830633b61a2,Fix linting step in CI,Will Kahn-Greene,2020-12-23T19:23:44Z,willkg,willkg,12,8,4
3,fx-crash-sig,3db33e33d35ba684a97d97d68b3bdc947e15b647,"Restrict CircleCI from testing with Python 3.9

The image we're using doesn't have Python 3.9 installed, so we can't use
it until that's fixed.",Will Kahn-Greene,2020-12-23T18:50:56Z,willkg,willkg,5,4,1
4,fx-crash-sig,12af7ec912f5424a11e5a27bbba3e115a9fabe0c,Add Python environmen testing to CircleCI,Will Kahn-Greene,2020-12-23T18:11:08Z,willkg,willkg,50,27,23
5,fx-crash-sig,6635a417fa14218d1816cd2db647a7dbf25771ab,"Support python 3.6, 3.7, 3.8, 3.9

This adds tox so it's easier to run all the tests in all the supported
environments.",Will Kahn-Greene,2020-12-23T17:05:37Z,willkg,willkg,40,36,4
6,fx-crash-sig,c3e7dbc4faa1d64556285029b5799e969c584fcf,"Remove __future__ use and reorder some imports

This removes __future__ use. We don't need that anymore since this is
Python 3 only now.

This reorders some imports so it's stdlib, then 3rd-party, then
fx-crash-sig things.",Will Kahn-Greene,2020-12-23T16:36:45Z,willkg,willkg,11,4,7
7,fx-crash-sig,529172ad38fdb55f4997b3c0b28b71f5b9e98be4,"Fix AttributeErrors (#23)

This fixes an attribute error when printing out details of an unhandled
exception when using the fx-crash-sig command.

This fixes the attribute error caused by some parts of the code still
using a non-existent `__postprocess` method.

This fixes the problem where siggen now returns a Result object which
isn't serializable and so it doesn't work with json.dumps.",Will Kahn-Greene,2020-12-23T16:01:26Z,willkg,willkg,38,24,14
8,fx-crash-sig,74ca3ff019ca5f3aae27116913fe9871644625bb,"Update setup.py values; document release process

This moves the version information to fx_crash_sig/__init__.py rather
than rely on pkg_resources.

This updates the package url to the correct value and removes the
maintainer because there are a bunch of us maintaining.

This documents a release process to make it easier for all of us.",Will Kahn-Greene,2020-12-04T14:19:05Z,willkg,willkg,67,51,16
9,fx-crash-sig,5389512b7fe65b6fa4f62685ba56e6d0e56528bd,"Rework requirements to fix version restrictions and bigquery

Basic use of fx-crash-sig shouldn't require installing
google-cloud-bigquery, so I moved that to extras_require. I updated
documentation and the Dockerfile accordingly.

Instead of pinning requirements on specific versions which isn't
flexible, this pins them on ranges with the assumption that these
requirements use semver versioning.",Will Kahn-Greene,2020-12-04T13:58:55Z,willkg,willkg,46,30,16
10,fx-crash-sig,9d1ffc48adaf7224b25fc81d2fb3815a4153ccbb,"Update dependencies

This updates the install and dev dependencies to recent versions of
things.",Will Kahn-Greene,2020-12-03T20:56:16Z,willkg,willkg,10,5,5
11,fx-crash-sig,340ffa21bf788eeae6b199c19637e66d83a7bde4,"Update docker version (#22)

This explicitly sets the Docker version. If we don't set the version,
CircleCI defaults to using 17.03.0 which is a version that CircleCI is
deprecating.",Will Kahn-Greene,2020-10-06T19:50:01Z,willkg,willkg,5,4,1
12,fx-crash-sig,71ad97fe34d4b43d6047942f91aedad90bd0f1c5,"Enable linting in CI, reformat code

Fixes #17",Will Kahn-Greene,2020-09-02T17:03:29Z,willkg,willkg,2636,1939,697
13,fx-crash-sig,2b9e6256c4ed007e0ff9abc926e409f6fa1d5ead,Add apt cleanup to reduce image size,Will Kahn-Greene,2020-09-02T15:59:34Z,willkg,willkg,5,4,1
14,fx-crash-sig,2d2b53a68ba866a26caa3504770853c3fb7105ec,Rework lint and test so they work in Makefile and CI,Will Kahn-Greene,2020-08-31T20:40:04Z,willkg,willkg,48,42,6
