,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-auth-db-mysql,67ae915a57438b63815a7a82529a065185e694d2,Return mysql-patcher into the repo,Andrew Chilton,2014-10-30T22:42:03Z,chilts,chilts,221,20,201
1,fxa-auth-db-mysql,a348ed05594d630311618894d551671e6fc4631f,Run all remote tests from dbServer,Andrew Chilton,2014-10-30T03:39:18Z,chilts,chilts,52,49,3
2,fxa-auth-db-mysql,97cbc62cb3ecbdb734e9140e763e893d0a3c2110,Add in all of the mysql specific tests,Andrew Chilton,2014-10-28T22:15:42Z,chilts,chilts,320,204,116
3,fxa-auth-db-mysql,967766ca0fe614b7452babce3ebeda812bd0548c,"Update to get back to the convict config, rather than rc",Andrew Chilton,2014-10-22T22:16:20Z,chilts,chilts,199,164,35
4,fxa-auth-db-mysql,cf5556adc9c9ee60cbcf135d2a75aae547221391,Update to latest mysql.js and patch level 5 for initial db_tests.js,Andrew Chilton,2014-10-22T21:56:26Z,chilts,chilts,1537,822,715
5,fxa-auth-db-mysql,e92721cc5c124f19abbfbadf59c6f7b3f1e7524d,Get patches up to date and make the server start,Andrew Chilton,2014-10-21T04:08:04Z,chilts,chilts,111,41,70
6,fxa-auth-db-mysql,12ea70f026686661f9a9a612aa0db12083ef5938,"Merge pull request #3 from chilts/readme

Add a simple README.md file",Andrew Chilton,2014-09-23T21:25:30Z,chilts,chilts,9,9,0
7,fxa-auth-db-mysql,164f2850670ee48a8676005e74ab7b8be8cbbc0e,Add a simple README.md file,Andrew Chilton,2014-09-23T17:08:28Z,chilts,chilts,9,9,0
8,fxa-auth-db-mysql,e95581e5c994d9cae3aaf73d75cc70186f588c0a,"Merge pull request #2 from pdehaan/package-tweak

adding description, repository, author fields",Andrew Chilton,2014-09-23T17:01:39Z,chilts,chilts,10,7,3
9,fxa-auth-db-mysql,aa7f543529fdd52b1dd44132e56ed8ccef88ddbe,"adding description, repository, author fields",Peter deHaan,2014-09-23T00:06:39Z,pdehaan,pdehaan,10,7,3
10,fxa-auth-db-mysql,72f04ed31612ad94170fc6b47d5f0520f9b70134,"Merge pull request #1 from chilts/add-license

Add the full text of the MPL 2.0",Andrew Chilton,2014-09-22T16:25:49Z,chilts,chilts,373,373,0
11,fxa-auth-db-mysql,7332252980c1412ed6c492dc5a3ebfc747d1e5b9,Add the full text of the MPL 2.0,Andrew Chilton,2014-09-22T15:34:27Z,chilts,chilts,373,373,0
12,fxa-auth-db-mysql,4391f360a028327dda3bc267e19d79454e435b62,changed fxa-auth-db-server dep location from local link,Danny Coates,2014-07-02T00:36:41Z,dannycoates,dannycoates,2,1,1
13,fxa-auth-db-mysql,9a932731ee86c2ff65e7bdb5867ee51926210667,and so our story begins,Danny Coates,2014-07-02T00:20:06Z,dannycoates,dannycoates,2736,2736,0
14,fxa-auth-db-mysql,3767948a2d5a81c61c60c0c970f63cebc5cee45a,"feat(api): Return the account email address on passwordChangeToken

Fixes #58",Andrew Chilton,2015-07-01T04:06:57Z,chilts,chilts,34,31,3
15,fxa-auth-db-mysql,4ce07d6cb376c48f7ac6edebb9aa65990aafcddb,Release v0.40.0,John Morrison,2015-06-30T22:03:19Z,jrgm,jrgm,11,9,2
16,fxa-auth-db-mysql,5ed55f24e805ee4327463295f3e2d079a1596462,"Merge pull request #57 from chilts/i22-remove-old-stored-procedures

refactor(db): Remove old stored procedures that are no longer used",Andrew Chilton,2015-06-18T11:03:46Z,chilts,chilts,557,556,1
17,fxa-auth-db-mysql,b54ea43a62533d87cfede6739f3afe9f22a3cb6d,"refactor(db): Remove old stored procedures that are no longer used

Even though these old stored procedures don't really take up much space
in the database, they could be mis-used if left around.

Fixes #22",Andrew Chilton,2015-06-18T10:03:38Z,chilts,chilts,557,556,1
18,fxa-auth-db-mysql,57411df96d3a02041db352799df77ee2e5ad8618,"Merge pull request #53 from chilts/return-400-on-incorrect-password

fix(db): Return 400 on incorrect password",Andrew Chilton,2015-06-17T03:58:48Z,chilts,chilts,944,473,471
19,fxa-auth-db-mysql,8bf0671f59ef837c4526d49616b04a8e0d8feeb0,fix(db): Return 400 on incorrect password,Andrew Chilton,2015-06-10T21:29:01Z,chilts,chilts,944,473,471
20,fxa-auth-db-mysql,220631144f1f7ab1e53ee7d889764b7a7851958b,"Merge pull request #55 from pdehaan/cowboy-cleanup

chore(cleanup): Fixed some syntax errors reported by ESLint",Andrew Chilton,2015-06-12T07:59:08Z,chilts,chilts,36,18,18
21,fxa-auth-db-mysql,98e23a83c9402823dd1e35cdfaac1edf8a60c941,chore(cleanup): Fixed some syntax errors reported by ESLint,Peter deHaan,2015-06-12T06:52:11Z,pdehaan,pdehaan,36,18,18
22,fxa-auth-db-mysql,5439ce1c7d05d86db3a2eed68648067c112fe8de,"Merge pull request #52 from jrgm/issue-49

fix(notifications): always return a promise from db.processUnpublishedEvents, fixes #49",John Morrison,2015-06-12T05:29:32Z,jrgm,jrgm,17,16,1
23,fxa-auth-db-mysql,1cdccade667972a04aa37f5a9c850788b03b1af0,Release v0.39.0,John Morrison,2015-06-10T22:07:07Z,jrgm,jrgm,12,9,3
24,fxa-auth-db-mysql,277455b6159c4e46dde3141ba721e3258d2e4943,"Merge pull request #50 from mozilla/issue-2511-signin-signout-problem

fix(npm): Update npm-shrinkwrap to include the last version of fxa-auth-db-server",Andrew Chilton,2015-06-10T05:29:31Z,chilts,chilts,6,3,3
25,fxa-auth-db-mysql,dc5b307df6f5eb31a30e18911ae6dac946e3ebf0,"fix(notifications): always return a promise from db.processUnpublishedEvents, fixes #49",John Morrison,2015-06-08T03:26:30Z,jrgm,jrgm,17,16,1
26,fxa-auth-db-mysql,e8a0f161b247d647a7a5e6a6f353ccb0e95232e3,fix(npm): Update npm-shrinkwrap to include the last version of fxa-auth-db-server,Edouard Oger,2015-06-04T00:03:48Z,eoger,eoger,6,3,3
27,fxa-auth-db-mysql,2812e3a7f869755ff0911ad55512c9be97f441b4,"Merge pull request #45 from eoger/check-password-api

Added checkPassword_1 stored procedure",Andrew Chilton,2015-06-02T23:07:54Z,chilts,chilts,66,47,19
28,fxa-auth-db-mysql,e0e3a036fc6e68db642e255586c1924e95473d86,"Merge pull request #46 from pdehaan/license-mpl

chore(license): Update license to be SPDX compliant",Vlad Filippov,2015-05-23T00:42:01Z,vladikoff,vladikoff,5,1,4
29,fxa-auth-db-mysql,40c7bdd0e017efbffb5945bc5b196dcb5b7f4183,chore(license): Update license to be SPDX compliant,Peter deHaan,2015-05-23T00:06:33Z,pdehaan,pdehaan,5,1,4
30,fxa-auth-db-mysql,f33c00cf7be54cea60cbdb950026e1fa2e917ff6,Added checkPassword_1 stored procedure,Edouard Oger,2015-05-21T17:06:56Z,eoger,eoger,30,29,1
31,fxa-auth-db-mysql,7f9c2a5b0075bd52bdd5713f6f39f4130266cd0d,Use array for Mysql read() bound parameters,Edouard Oger,2015-05-21T17:06:03Z,eoger,eoger,36,18,18
32,fxa-auth-db-mysql,e6d3fd3b95068f1c8ae2c38667d0fbb600e49db7,Release v0.37.0,John Morrison,2015-05-14T02:01:11Z,jrgm,jrgm,9,7,2
33,fxa-auth-db-mysql,5fc7633ea795bdd84c46570e8855ce9269aa793b,"Merge pull request #44 from jrgm/chore-update-shrinkwrap

chore(shrinkwrap): update shrinkwrap picking up lib changes in fxa-auth-db-server",Danny Coates,2015-05-13T21:04:32Z,dannycoates,dannycoates,777,385,392
34,fxa-auth-db-mysql,9eb8fceb9efe2626ca050ed03d84615d45e7dea4,chore(shrinkwrap): update shrinkwrap picking up lib changes in fxa-auth-db-server,John Morrison,2015-05-13T20:36:24Z,jrgm,jrgm,777,385,392
35,fxa-auth-db-mysql,d2fb02483ff8916f26a1f43cc01cd0de75021e74,"Merge pull request #43 from chilts/move-stuff-to-lib-refactor

refactor(lib): move most things into lib/",Andrew Chilton,2015-05-13T01:04:07Z,chilts,chilts,48,24,24
36,fxa-auth-db-mysql,50f7e6829cd62ad96481611aa61ce8415489a4bb,"refactor(lib): move most things into lib/

All top level *.js files have been moved into lib/. However everything
in bin/ and config/ has been left where it is. Only two minor fixes for
the path to test/local/test-secret.pem were also made.",Andrew Chilton,2015-05-13T00:13:36Z,chilts,chilts,48,24,24
37,fxa-auth-db-mysql,6b55829d1ae7eb3bcef774887962f8b7fd439785,"Merge pull request #42 from chilts/test-on-iojs-v1-and-v2

build(travis): Test on both io.js v1 and v2",Andrew Chilton,2015-05-05T03:58:07Z,chilts,chilts,6,4,2
38,fxa-auth-db-mysql,2cf73895b97b141454ad1f119663a3d5a3dde0f7,build(travis): Test on both io.js v1 and v2,Andrew Chilton,2015-05-05T03:53:03Z,chilts,chilts,6,4,2
39,fxa-auth-db-mysql,f1299aeb23a33a5e58ecd23fba874221cb8f0ccc,Release v0.36.0,John Morrison,2015-04-28T00:20:44Z,jrgm,jrgm,15,13,2
40,fxa-auth-db-mysql,33be902629441444ba2cc9a7fa2aeb8dc9cdc1b6,chore(shrinkwrap): update to pickup fxa-auth-db-server changes,John Morrison,2015-04-28T00:15:47Z,jrgm,jrgm,770,385,385
41,fxa-auth-db-mysql,8d848b107fddeba5e35339b3eb5468534f833d9c,"Merge pull request #41 from chilts/test-on-latest-nodes

chore(test): Test on node.js v0.10, v0.12 and the latest io.js",Ryan Kelly,2015-04-21T05:14:53Z,rfk,rfk,8,8,0
42,fxa-auth-db-mysql,ad7134515f4dd9fc4446efd2e87956ea09616967,"chore(test): Test on node.js v0.10, v0.12 and the latest io.js",Andrew Chilton,2015-04-21T05:07:15Z,chilts,chilts,8,8,0
43,fxa-auth-db-mysql,9c4ac37b3b38ba1f9037745af66361daa19fa870,"Merge pull request #40 from chilts/update-grunt-copyright

chore(copyright): Update to grunt-copyright v0.2.0",Ryan Kelly,2015-04-21T04:41:31Z,rfk,rfk,8,4,4
44,fxa-auth-db-mysql,210b6a6781a4a91b33a7c61efce2df4a5c00d108,"chore(copyright): Update to grunt-copyright v0.2.0

When doing an `npm install` using node v0.12, it complains since grunt-copyright
v0.1 has a `""node"": ""0.10.x""` in it's `engines` section. v0.2 has been updated
to be `""node"": "">= 0.10.0""` which is satisfied with either v0.10 or v0.12.",Andrew Chilton,2015-04-21T04:34:28Z,chilts,chilts,8,4,4
45,fxa-auth-db-mysql,c9292b67866f11e2a04184deff07297b4d333a6e,"Merge pull request #36 from chilts/i28-access-tables-in-a-consistent-order

refactor(db): Change table access in stored procedures to be consistent",Ryan Kelly,2015-04-21T02:47:47Z,rfk,rfk,175,171,4
46,fxa-auth-db-mysql,11dc22cd83d625433a3f4cc8471826d6c625ee6e,"refactor(db): Change table access in stored procedures to be consistent

Every now and again, we get a deadlock in the database. Whilst these are
expected from time to time we may be able to mitigate it further by making
sure we access our tables in a consistent order. This may not always be
possible but we can do it with these three stored procedures.

Fixes #28",Andrew Chilton,2015-04-09T05:14:57Z,chilts,chilts,175,171,4
47,fxa-auth-db-mysql,b740f6d3f1a7bd3ce3bab9baff4fd6f2d8e6bcf2,"Merge pull request #39 from chilts/update-mysql-patcher

chore(package): Update to mysql-patcher@0.7.0",Ryan Kelly,2015-04-20T06:30:45Z,rfk,rfk,157,111,46
48,fxa-auth-db-mysql,b2c00d58f97a7ca7d8841d4909f8a6bfa1bfdb8e,"chore(package): Update to mysql-patcher@0.7.0

To be able to add other files to the db/schema/ directory we need to update
to mysql-patcher@0.7.0 so that it will ignore non-sql patch files. It also
has a few minor updates too.",Andrew Chilton,2015-04-20T04:57:11Z,chilts,chilts,157,111,46
49,fxa-auth-db-mysql,a7928c6d9c269ed7034a81c11b7cddcb2482dc95,"Merge pull request #38 from chilts/fix-reverse-patches

fix(db): Fix reverse patches 8->7 and 9->8",Andrew Chilton,2015-04-20T04:54:43Z,chilts,chilts,3,1,2
50,fxa-auth-db-mysql,1c4262245feeed2dc9e40ea10891a25f875dc845,"fix(db): Fix reverse patches 8->7 and 9->8

When upgrading to a new mysql-patcher and testing old patches, these were
failing on the reverse patches. Fixed both a syntax error and a non-existant
stored procedure.",Andrew Chilton,2015-04-20T04:50:45Z,chilts,chilts,3,1,2
51,fxa-auth-db-mysql,8179c796cc36b6b097e65492674f2793c6258247,"Merge pull request #37 from chilts/remove-uuid

fix(package): Remove uuid completely since no longer needed",Ryan Kelly,2015-04-20T02:27:29Z,rfk,rfk,712,355,357
52,fxa-auth-db-mysql,f72d897a4ce1d0949cdef6cb907161f3b7f1b00f,"fix(package): Remove uuid completely since no longer needed

Since node-uuid / uuid has been removed from fxa-auth-db-server, we no
longer have to install it here. Having it here used to upset shrinkwrap
if conflicting versions were being used and/or installed (e.g. uuid v1 to
uuid v2 - the APIs were incompatible).",Andrew Chilton,2015-04-19T23:37:58Z,chilts,chilts,712,355,357
53,fxa-auth-db-mysql,4626e8317cd94c268e33182bc2b0145a3b50b006,Release v0.34.0,John Morrison,2015-04-01T03:31:56Z,jrgm,jrgm,18,16,2
54,fxa-auth-db-mysql,d7bf2019202df75acb43245564d7eabefee1a540,"Merge pull request #34 from jrgm/add-task-for-tagging-release

fix(release): add tasks ""grunt version"" and ""grunt version:patch"" to create release tags",Peter deHaan,2015-04-01T00:04:37Z,pdehaan,pdehaan,140,111,29
55,fxa-auth-db-mysql,4a3cca52e413f1ad2754da688a8a85d46c9f1b38,"fix(release): add tasks ""grunt version"" and ""grunt version:patch"" to create release tags",John Morrison,2015-03-31T23:38:21Z,jrgm,jrgm,140,111,29
56,fxa-auth-db-mysql,8d17ad2bd56b62bb0e562de4cfcd89ee1d624eb2,"Merge pull request #33 from jrgm/update-shrinkwrap

chore(shrinkwrap): update shrinkwrap",Andrew Chilton,2015-03-31T22:24:22Z,chilts,chilts,838,252,586
57,fxa-auth-db-mysql,edc31ea631e1779483ecd2dc66c4159ffa7a1b2d,chore(shrinkwrap): update shrinkwrap,John Morrison,2015-03-31T22:11:13Z,jrgm,jrgm,838,252,586
58,fxa-auth-db-mysql,4d1c5fc7bf57ccc2f7a37ea52a4fdc0aa347bcd2,"Merge pull request #32 from chilts/fix-logging-loaded-as-module

fix(logging): load the logger from the new location",John Morrison,2015-03-31T21:44:20Z,jrgm,jrgm,4,2,2
59,fxa-auth-db-mysql,befacad6fa3790d7a95ec10eb1be7c8d0ddc7c50,fix(logging): load the logger from the new location,Andrew Chilton,2015-03-31T21:34:21Z,chilts,chilts,4,2,2
60,fxa-auth-db-mysql,8ab66db0769fa210d4f263f071b7e8180645db03,"Merge pull request #31 from chilts/consistent-timestamps

fix(db): do not set createdAt, verifierSetAt or normalizedEmail here",Danny Coates,2015-03-29T21:19:57Z,dannycoates,dannycoates,45,21,24
61,fxa-auth-db-mysql,0174a2869955c49bd3cc5356febd5055bbe4138d,"fix(db): do not set createdAt, verifierSetAt or normalizedEmail here

Since the fxa-auth-server always sends these fields, then we shouldn't
set them to anything in this backend.

Fixes #12 - Be consistent about how timestamps are generated.",Andrew Chilton,2015-03-26T22:40:24Z,chilts,chilts,45,21,24
62,fxa-auth-db-mysql,b2f2f1960ed0991ca881f77604b6b3610a98b439,"Merge pull request #30 from chilts/extra-package-json-goodies

chore(package.json): add extra fields related to the repo",Andrew Chilton,2015-03-25T03:58:36Z,chilts,chilts,12,10,2
63,fxa-auth-db-mysql,57bf8a620a0dfb2bb8a3461cfb5035b443ebd907,"chore(package.json): add extra fields related to the repo

Things like homepage, bugs and keywords.",Andrew Chilton,2015-03-23T02:53:01Z,chilts,chilts,12,10,2
64,fxa-auth-db-mysql,bb5cdd86a9b8568ec5006df37c0065125ca8eb5f,"Merge pull request #29 from mozilla/jsonkey

allow json secret key file",Ryan Kelly,2015-03-23T09:54:24Z,rfk,rfk,89,57,32
65,fxa-auth-db-mysql,fac6e983fd9f8132a9d89090335adbee7fa5c3e4,allow json secret key file,Danny Coates,2015-03-22T23:28:17Z,dannycoates,dannycoates,89,57,32
66,fxa-auth-db-mysql,07b1bb9fec64e8c54044557081c281f92e9f1f05,"Merge pull request #25 from mozilla/rfk/publish-to-notifier

Publish account events to notification server",Ryan Kelly,2015-03-22T08:35:40Z,rfk,rfk,957,755,202
67,fxa-auth-db-mysql,623fa48e4726ec842f15e94bcf7d7f4a27291c51,feat(events): Publish account events to notification server in a backgroud loop.,Ryan Kelly,2015-03-19T10:08:06Z,rfk,rfk,861,752,109
68,fxa-auth-db-mysql,82acea29b75a26b9b4f4e4b023bbf973bdf46e73,chore(tests): Remove some apparently-unused files in 'test' directory.,Ryan Kelly,2015-03-20T04:05:36Z,rfk,rfk,87,0,87
69,fxa-auth-db-mysql,73f4e1d1df1efcefecce1e3c01f6fecfd1d4c22b,chore(tests): Don't assume log.info message order during tests.,Ryan Kelly,2015-03-20T04:05:09Z,rfk,rfk,4,1,3
70,fxa-auth-db-mysql,be5e600b04f3fc71ff6e7117467c0beda9293f04,chore(tests): Remove console logging during test run.,Ryan Kelly,2015-03-20T04:04:52Z,rfk,rfk,5,2,3
71,fxa-auth-db-mysql,20a722117f66a85d611e10b6e8da9ebc3fc3a934,Release v0.33.0,Ryan Kelly,2015-03-17T03:09:38Z,rfk,rfk,144,93,51
72,fxa-auth-db-mysql,f1f357333792d81b5c8c97209e55dbce45500f35,"Merge pull request #20 from mozilla/rfk/eventlog

Explicitly track account lifecycle events in the db",Ryan Kelly,2015-03-16T05:37:21Z,rfk,rfk,634,626,8
73,fxa-auth-db-mysql,a79573bde7294cfe9d09797c8dc418b8cd31f26b,feat(events): Add facility for tracking what events have been published.,Ryan Kelly,2015-03-11T05:29:39Z,rfk,rfk,354,312,42
74,fxa-auth-db-mysql,af85740ffdc73b53d0a2cc269a54cf186d8fec59,feat(events): Add eventLog table to track account lifecycle events.,Ryan Kelly,2015-03-06T09:40:37Z,rfk,rfk,347,342,5
75,fxa-auth-db-mysql,569fe69b05668df904dc7957f897dd613847cb9a,fix(tests): account for different errnos on different mysql versions.,Ryan Kelly,2015-03-09T03:54:33Z,rfk,rfk,17,14,3
76,fxa-auth-db-mysql,83e677b7486f604c29d3edd45f567959e788a708,"Merge pull request #24 from chilts/log-memory-stats

Log the memory stats",Ryan Kelly,2015-03-13T03:48:36Z,rfk,rfk,3,3,0
77,fxa-auth-db-mysql,a527d37ba0e17a9b78465a767545cc18c33a0dea,Log the memory stats,Andrew Chilton,2015-03-13T01:58:23Z,chilts,chilts,3,3,0
