,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-auth-mailer,6aa1b295eb8c6bada5038c5d34ce55ac1687c688,refactor(mailer): Extract boilerplate sending code into send.,Shane Tomlinson,2015-06-10T11:48:50Z,Shane Tomlinson,Shane Tomlinson,242,119,123
1,fxa-auth-mailer,e35e7dd1ceb5046da5e8877cac4288738b81ba90,"Merge pull request #42 from eoger/issue-36-schema-dot-org-action-button

feat(signup): add schema.org one-click-action button to verify email r=vladikoff",Vlad Filippov,2015-06-18T22:43:13Z,vladikoff,vladikoff,11,11,0
2,fxa-auth-mailer,7c769e706bc2945c6b404a18b0cf316c8b9019a4,feat(signup): add schema.org one-click-action button to verify email,Edouard Oger,2015-06-05T00:06:57Z,eoger,eoger,11,11,0
3,fxa-auth-mailer,3e34e03788d4126de5dc5b897fc953cdb3cbe56b,"chore(lint): add ESLint to repo
Fixes #45
Add ESLint and remove lint errors",Sai Pc,2015-06-17T22:09:03Z,TDA,TDA,72,49,23
4,fxa-auth-mailer,8a5d7efcdd48423a3e946d69010d561e1be30f98,"Merge pull request #26 from shane-tomlinson/issue-24-initial-notifications

feat: Add change password, reset password, and new sync device notification emails.",Ryan Kelly,2015-06-17T21:37:31Z,rfk,rfk,373,366,7
5,fxa-auth-mailer,064bfca67b8c60e27518a980ad7e4a16de593fbc,"feat: Add change password, reset password, and new sync device notification emails.

fixes #24",Shane Tomlinson,2015-02-20T16:46:13Z,Shane Tomlinson,Shane Tomlinson,373,366,7
6,fxa-auth-mailer,04c789673c8a55139515ab1a24ee5f06cc3bf8ce,"Merge pull request #47 from jrgm/issue-45-sorta

fix(locales): always normalize the locale",Danny Coates,2015-06-15T16:48:48Z,dannycoates,dannycoates,2,1,1
7,fxa-auth-mailer,303cc2a2ff08310abf2e56b32dedfb96a5ba46ce,fix(locales): always normalize the locale,John Morrison,2015-06-13T04:38:18Z,jrgm,jrgm,2,1,1
8,fxa-auth-mailer,cc25fb0a5b97fa3a9987b8fd7fe7580887701dff,"Merge pull request #41 from pdehaan/license-mpl

chore(license): Update license attribute to be SPDX compliant",Vlad Filippov,2015-05-23T00:42:15Z,vladikoff,vladikoff,5,1,4
9,fxa-auth-mailer,7b0b2a8d03f3469caf439df95a5bade318793b47,chore(license): Update license attribute to be SPDX compliant,Peter deHaan,2015-05-22T23:58:31Z,pdehaan,pdehaan,5,1,4
10,fxa-auth-mailer,d2eb3b298464455c8fe18fd964141ba89a0d1a0e,"Update config.js

COMMA!!",Danny Coates,2015-04-27T23:18:43Z,dannycoates,dannycoates,2,1,1
11,fxa-auth-mailer,8d38affe428707d790d9e1b1a6f98630decd2973,"Merge pull request #40 from jrgm/fix-l10n-aargh

fix(l10n): make defaultLanguage configurable, and switch to ""en"" default",John Morrison,2015-04-27T22:31:51Z,jrgm,jrgm,16,11,5
12,fxa-auth-mailer,fc5ebbe582d2d548f5ec7e0826ce745ac8b51b79,"fix(l10n): make defaultLanguage configurable, and switch to ""en"" default",John Morrison,2015-04-22T21:37:59Z,jrgm,jrgm,16,11,5
13,fxa-auth-mailer,ea6e505c0ab086019e572883a8a71804c7f94801,"Merge pull request #38 from sovanna/master

add auth obj in options if set in config",Ryan Kelly,2015-04-20T03:03:47Z,rfk,rfk,8,8,0
14,fxa-auth-mailer,9cb4577c63132e8c2ef2db3e6d2bde8865f180e1,add auth obj in options if set in config,Sovanna,2015-04-14T14:22:05Z,sovanna,sovanna,8,8,0
15,fxa-auth-mailer,31470ec0361a773688d2a295f7f5a39686909ed1,"Merge pull request #32 from mozilla/issue-31-extract-strings-from-js

fix(l10n): Ensure the email subjects are extracted.

r=@rfk

Thanks for the review Ryan!",Shane Tomlinson,2015-03-12T10:33:43Z,Shane Tomlinson,Shane Tomlinson,20,19,1
16,fxa-auth-mailer,eab01bb06ece76a1acd694d9325f2d65cf13625a,"fix(l10n): Ensure the email subjects are extracted.

Look in the .js files for strings surrounded by `gettext()`

fixes #31",Shane Tomlinson,2015-03-11T16:19:27Z,Shane Tomlinson,Shane Tomlinson,20,19,1
17,fxa-auth-mailer,a2d00cf6596ded183673fcd3d131c970236ea6ec,"Merge pull request #25 from mozilla/rfk/shorter-email-addr

Use new, shorter sender address on verification emails",Danny Coates,2015-02-20T22:03:42Z,dannycoates,dannycoates,2,1,1
18,fxa-auth-mailer,dd8c04a915b33a0c879a9a093ee80b041a397a1f,"Use new, shorter sender address on verification emails",Ryan Kelly,2015-02-20T20:55:50Z,rfk,rfk,2,1,1
19,fxa-auth-mailer,a7633712b826ead9510bce79616b1ff062e3f6a4,"Merge pull request #23 from shane-tomlinson/issue-16-unlock-email

add unlock email

r=rfk, rfeeley

Thank you for the reviews!",Shane Tomlinson,2015-02-10T09:49:41Z,Shane Tomlinson,Shane Tomlinson,170,167,3
20,fxa-auth-mailer,19209ff1cc30b66631238675d4643027cc269916,"Remove the ""Danger, Will Robinson"" text.",Shane Tomlinson,2015-02-09T10:59:19Z,Shane Tomlinson,Shane Tomlinson,2,0,2
21,fxa-auth-mailer,4f71738df2add01c3ad24751eaba66ec3e150687,update the auth-mailer to correctly print unlock codes to the console.,Shane Tomlinson,2015-02-06T11:34:18Z,Shane Tomlinson,Shane Tomlinson,4,4,0
22,fxa-auth-mailer,f057c518ef63048bd367b3621af49340574277eb,Update Unlock Account email with latest copy from @rfeeley,Shane Tomlinson,2015-02-04T17:15:13Z,Shane Tomlinson,Shane Tomlinson,12,5,7
23,fxa-auth-mailer,9aec52a37b7e0580c04d45fe14cdb6a7f2179e45,"Merge pull request #21 from mozilla/issue-20-extract-template-strings

chore(l10n): setup extraction script for l10n",Danny Coates,2015-01-16T01:11:18Z,dannycoates,dannycoates,76,75,1
24,fxa-auth-mailer,111bb1e943b3e30755277f2fd92a79bde05d85e7,chore(l10n): setup extraction script for l10n,Zachary Carter,2015-01-14T00:33:52Z,zaach,zaach,76,75,1
25,fxa-auth-mailer,f90dfa3f2a893fdc8e6ece24858840a67f2732c3,"Merge pull request #19 from mozilla/almost-there

almost there",Danny Coates,2014-12-08T21:55:03Z,dannycoates,dannycoates,8,4,4
26,fxa-auth-mailer,f6a4a31c509acff6df81a14d8885f4cd7a6c04f7,stay on target,Danny Coates,2014-12-08T20:36:24Z,dannycoates,dannycoates,8,4,4
27,fxa-auth-mailer,733a6f0ff947147d0f638c66d5b49873096fbab2,WIP: add unlock email (with placeholder copy for now),Ryan Kelly,2014-11-26T06:28:44Z,rfk,rfk,170,167,3
28,fxa-auth-mailer,cd0c9efc19621d12129f629179427f6ce681716f,"Merge pull request #13 from pdehaan/issue-6-package-desc

Adding description and author fields to package.json",Francois Marier,2014-09-23T21:32:55Z,Francois Marier,Francois Marier,9,6,3
29,fxa-auth-mailer,c6c606ae5b963f27546e57eb47e7d6ccb900b727,"Merge pull request #12 from fmarier/add-readme

Add some notes from Danny's presentation at the fxa-backend workweek",Francois Marier,2014-09-23T21:30:58Z,Francois Marier,Francois Marier,16,16,0
30,fxa-auth-mailer,6bc328c25528c826f6fc3e2f821de8c0ed52f5ea,"Merge pull request #9 from chilts/add-license

Add the full text of the MPL 2.0",Francois Marier,2014-09-22T23:06:28Z,Francois Marier,Francois Marier,373,373,0
