,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-brickftp-copy,f1cbc2d24e83115305ed4719da4ee5b47deaa64f,1.2.0,Jon Buckley,2018-11-27T19:31:38Z,jbuck,jbuck,4,2,2
1,fxa-brickftp-copy,247fa1043a1aae011a0d959c07a06ce53111a372,Switch to sftp.fastGet(),Jon Buckley,2018-11-27T19:31:22Z,jbuck,jbuck,20,16,4
2,fxa-brickftp-copy,0f4f8b7dd3943d7b890f927016557fca7c48142b,Ignore git directories when building,Jon Buckley,2018-11-27T18:53:46Z,jbuck,jbuck,2,2,0
3,fxa-brickftp-copy,4888204af9cd0753fad4ce8146dd1696047fc8c4,Optimize docker build,Jon Buckley,2018-11-27T18:51:32Z,jbuck,jbuck,14,6,8
4,fxa-brickftp-copy,05c318f3b57d5d9ec3b569a28e238290ac6db544,Only list the file name,Jon Buckley,2018-11-27T18:37:13Z,jbuck,jbuck,2,1,1
5,fxa-brickftp-copy,7f4fc785e22280a5bd45735dc21b620cdb94d09f,Add dry-run flag,Jon Buckley,2018-11-27T18:37:00Z,jbuck,jbuck,6,6,0
6,fxa-brickftp-copy,50fd7eab4ef3747bd180916840f7caf9acc57c58,Update dependencies,Jon Buckley,2018-11-27T17:51:58Z,jbuck,jbuck,96,48,48
7,fxa-brickftp-copy,01341fe73629c9a539ae6468be7e28a36429c42d,1.1.0,Jon Buckley,2018-07-17T18:51:58Z,jbuck,jbuck,4,2,2
8,fxa-brickftp-copy,f969e3bf6cb5965c0c23f48a81eff7b9596e103c,Add support for ssh public key authentication,Jon Buckley,2018-07-17T18:51:49Z,jbuck,jbuck,4,3,1
9,fxa-brickftp-copy,60a6959fb6262b30f2757842f18ef3c1af748dfe,1.0.1,Jon Buckley,2018-07-16T21:22:27Z,jbuck,jbuck,4,2,2
10,fxa-brickftp-copy,c745d69dc3c4a97f7b4459c836f3b9c322d854a2,Add Docker build script,Jon Buckley,2018-07-16T21:22:18Z,jbuck,jbuck,1,1,0
11,fxa-brickftp-copy,79b1413a2bf6af2881eb28edc7dcdb0e66fec17e,1.0.0,Jon Buckley,2018-07-16T21:19:51Z,jbuck,jbuck,4,2,2
12,fxa-brickftp-copy,b7cceed95d9433a80eeab00cc2cd75939a67fdd7,Add Dockerfile,Jon Buckley,2018-07-16T21:19:24Z,jbuck,jbuck,15,15,0
13,fxa-brickftp-copy,66aef88fb6e7c2672ab360965b48a4cc2193d70e,Working sync from BrickFTP to S3,Jon Buckley,2018-07-05T18:11:06Z,jbuck,jbuck,65,38,27
14,fxa-brickftp-copy,368ce26a1d498309ce3e3ff96140ca5f6e9dec61,Working sync from BrickFTP to local filesystem,Jon Buckley,2018-07-05T15:56:06Z,jbuck,jbuck,228,228,0
15,fxa-brickftp-copy,71b84c7306b1b620d8ab30ced1c79b2c54c4bb05,Initial commit,Jon Buckley,2018-06-21T17:15:15Z,jbuck,jbuck,435,435,0
