,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-common-password-list,4979a8107bbbfcf07faa4adbc58b4341e80bd720,"chore(deps): bump lodash from 4.17.14 to 4.17.19 (#16)

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.14 to 4.17.19.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.14...4.17.19)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],2020-07-16T18:09:13Z,dependabot[bot],dependabot[bot],6,3,3
1,fxa-common-password-list,ad118912dba190bce4412bbc405f2b6e3a8f7e4b,"Merge pull request #13 from mozilla/release-0.0.4 r=@vladikoff

chore(release): v0.0.4",Shane Tomlinson,2019-10-04T09:38:25Z,Shane Tomlinson,Shane Tomlinson,14,11,3
2,fxa-common-password-list,0454903c5cbb92bd83e2916ba52bde41a0b07f9e,chore(release): v0.0.4,Shane Tomlinson,2019-10-03T16:15:29Z,Shane Tomlinson,Shane Tomlinson,14,11,3
3,fxa-common-password-list,8ddca11ddb2a997e555c323c63568cd4c9428352,"Merge pull request #12 from mozilla/no-more-false-positives r=@chenba

fix(passwords): No more false positives!",Shane Tomlinson,2019-10-03T16:13:37Z,Shane Tomlinson,Shane Tomlinson,50191,50101,90
4,fxa-common-password-list,53d5882ebaf144c717951337e4943839c48ce33b,"fix(passwords): No more false positives!

Ditch the bloomfilter, use incremental (front) encoding instead.

This results in a slightly larger library, but no false
positives.

See https://en.wikipedia.org/wiki/Incremental_encoding for more.

issue mozilla/fxa#1530",Shane Tomlinson,2019-10-02T10:07:03Z,Shane Tomlinson,Shane Tomlinson,50191,50101,90
5,fxa-common-password-list,e8943b366a64bfbe27f8b27e74c8f0989c26b066,"Merge pull request #10 from mozilla/dependabot/npm_and_yarn/lodash.template-4.5.0 r=@shane-tomlinson

chore(deps): bump lodash.template from 4.4.0 to 4.5.0",Shane Tomlinson,2019-07-15T10:18:15Z,Shane Tomlinson,Shane Tomlinson,8,4,4
6,fxa-common-password-list,00d5b31f744c234779455aeebb18220102f9bd73,"Merge pull request #9 from mozilla/dependabot/npm_and_yarn/lodash-4.17.14 r=@shane-tomlinson

chore(deps): bump lodash from 4.17.11 to 4.17.14",Shane Tomlinson,2019-07-15T10:17:41Z,Shane Tomlinson,Shane Tomlinson,6,3,3
7,fxa-common-password-list,c5e8b52138e0ac2b78c01fe476837bea27f4214d,"chore(deps): bump lodash.template from 4.4.0 to 4.5.0

Bumps [lodash.template](https://github.com/lodash/lodash) from 4.4.0 to 4.5.0.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.4.0...4.5.0)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-07-15T10:05:53Z,dependabot[bot],dependabot[bot],8,4,4
8,fxa-common-password-list,7d9636ce772106c9566be29c998d548af754d85e,"chore(deps): bump lodash from 4.17.11 to 4.17.14

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.11 to 4.17.14.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.11...4.17.14)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-07-15T10:05:47Z,dependabot[bot],dependabot[bot],6,3,3
9,fxa-common-password-list,d74cb9ba8aac108c944b07bece192bbb70778ece,"Merge pull request #8 from mozilla/update-deps r=@vladikoff

chore(deps): Update deps.",Shane Tomlinson,2019-06-06T16:52:09Z,Shane Tomlinson,Shane Tomlinson,2368,1476,892
10,fxa-common-password-list,c3b5942065feaac586d79081a49c40486199303b,"chore(deps): Update deps.

Update:

* chai@4.2.0
* conventional-changelog-cli@2.0.21
* eslint@5.16.0
* mocha@6.1.4",Shane Tomlinson,2019-06-06T10:44:06Z,Shane Tomlinson,Shane Tomlinson,2368,1476,892
11,fxa-common-password-list,d4a9aab2a5bbdbac895939335d8bed00df847223,"Merge pull request #7 from Mozilla-GitHub-Standards/master r=@shane-tomlinson

Add Mozilla Code of Conduct",Shane Tomlinson,2019-04-01T15:03:11Z,Shane Tomlinson,Shane Tomlinson,15,15,0
12,fxa-common-password-list,6af20d1e32d97e5d37df42fa8dec128c20650a10,"Add Mozilla Code of Conduct file

Fixes #6.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T07:11:09Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
13,fxa-common-password-list,03bbe149700974f00dbe5a653d44690815370293,"Merge pull request #4 from mozilla/release-0.0.2 r=@philbooth

chore(release): v0.0.2",Shane Tomlinson,2018-06-13T14:39:00Z,Shane Tomlinson,Shane Tomlinson,20,16,4
14,fxa-common-password-list,321be643e7247cf456dc036d67883ca2381de2e3,chore(release): v0.0.2,Shane Tomlinson,2018-06-13T14:00:15Z,Shane Tomlinson,Shane Tomlinson,20,16,4
15,fxa-common-password-list,8347d8e9871acea747d3c4d92797210c23faee8e,"Merge pull request #3 from mozilla/version-bump-utils r=@philbooth

feat(release): Better version release support via `npm version`",Shane Tomlinson,2018-06-13T13:59:40Z,Shane Tomlinson,Shane Tomlinson,1250,1247,3
16,fxa-common-password-list,4d3c7d09589e783ef38aa7ebb7a8a5f6137a3c8f,"feat(release): Better version release support via `npm version`

From the command line, type:

> npm version <version number>

* package.json, package-lock.json will be updated with the new version.
* CHANGELOG.md will be updated.
* A new tag is created.",Shane Tomlinson,2018-06-13T12:49:03Z,Shane Tomlinson,Shane Tomlinson,1250,1247,3
17,fxa-common-password-list,636ba9ab2153a34c0e0a69829907218b550cf7fd,"fix(deps): bloomfilter needs to be a dependency, not devDependency (#2) r=@philbooth,@vladikoff",Shane Tomlinson,2018-06-13T04:52:57Z,Shane Tomlinson,Shane Tomlinson,11,6,5
18,fxa-common-password-list,dc9c9d49243676bc1720938784e6d47328c2a08e,"Merge pull request #1 from mozilla/prepare-for-initial-release r=@philbooth

chore: Prepare for the initial release.",Shane Tomlinson,2018-06-12T13:15:38Z,Shane Tomlinson,Shane Tomlinson,31,17,14
19,fxa-common-password-list,2717fed208ef305db08c77b44215e8f7d3a3d03b,chore: Prepare for the initial release.,Shane Tomlinson,2018-06-11T17:29:38Z,Shane Tomlinson,Shane Tomlinson,31,17,14
20,fxa-common-password-list,017d0f153d57fb9cb3c7e61212697a7a8212f0c7,Initial checkin,Shane Tomlinson,2018-06-11T17:21:42Z,Shane Tomlinson,Shane Tomlinson,1001518,1001518,0
