,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-content-experiments,800d7d1446e0daf0dca8ab625d2312da2f9453f8,Update README.md,Vlad Filippov,2018-03-01T16:41:38Z,vladikoff,vladikoff,4,3,1
1,fxa-content-experiments,bf149cbe5d33b57b6214e6e070df11308023a508,Merge branch 'train-87' into dev,Shane Tomlinson,2017-06-13T16:36:43Z,Shane Tomlinson,Shane Tomlinson,50,3,47
2,fxa-content-experiments,be64b8929ea9fabd7bb256be73b32492e5a89d60,feat(sms): Bump SMS experiment to 100% (#68) r=@vladikoff,Shane Tomlinson,2017-06-13T16:36:24Z,Shane Tomlinson,Shane Tomlinson,50,3,47
3,fxa-content-experiments,73e2426a0af566ff76abffd5db40948b8a851119,Merge branch 'train-84' into dev,vladikoff,2017-05-15T13:58:38Z,vladikoff,vladikoff,24,12,12
4,fxa-content-experiments,71b5267ae96304d02cb1e07def3654a1cab25bb4,feat(sms): Bump SMS to 50%. (#66) r=vladikoff,Shane Tomlinson,2017-05-15T13:55:26Z,Shane Tomlinson,Shane Tomlinson,24,12,12
5,fxa-content-experiments,be89a72a17e56c4e78cb28e68961cf8d775cd902,Merge branch 'train-84' into dev,Shane Tomlinson,2017-04-27T14:01:33Z,Shane Tomlinson,Shane Tomlinson,3,2,1
6,fxa-content-experiments,6249f11371df94eedcf36316996b4ce74746d491,"feat(marketing): Enable communication prefs for zh-TW. (#65)

fixes mozilla/fxa-bugzilla-mirror#264
fixes https://bugzilla.mozilla.org/show_bug.cgi?id=1359177",Shane Tomlinson,2017-04-27T13:38:02Z,Shane Tomlinson,Shane Tomlinson,3,2,1
7,fxa-content-experiments,8d908296a5ae11c7a2e0fc8e2023851094a8af6f,Merge branch 'train-84' into dev,Shane Tomlinson,2017-04-27T13:08:15Z,Shane Tomlinson,Shane Tomlinson,0,0,0
8,fxa-content-experiments,701bb0512e0c8075272a0f1dbfc2cf5e857e397c,"feat(sms): Bump SMS experiment to 20%, 10% in each bucket. (#63)  r=vladikoff",Shane Tomlinson,2017-04-24T14:20:32Z,Shane Tomlinson,Shane Tomlinson,37,34,3
9,fxa-content-experiments,61aec05cd1140e055109164a59ab40e9b3d07445,"feat(sms): Bump SMS experiment to 20%, 10% in each bucket. (#64) r=vladikoff",Shane Tomlinson,2017-04-24T14:20:23Z,Shane Tomlinson,Shane Tomlinson,37,34,3
10,fxa-content-experiments,f67b24ff1909516fe8f982735fd98bdd643b4370,Merge remote-tracking branch 'origin/train-83' into dev,Shane Tomlinson,2017-04-06T18:30:46Z,Shane Tomlinson,Shane Tomlinson,9,4,5
11,fxa-content-experiments,bfcf811535c513d3f9ff6ba66312ed5930b4290d,"feat(sms): Bump the SMS eligibility rate to 5%. (#62) r=vladikoff

Enable SMS experiment for all users who report metrics to DataDog (10%),
of the 10%, half with be in the control group, half in the treatment
group.",Shane Tomlinson,2017-04-06T17:23:53Z,Shane Tomlinson,Shane Tomlinson,9,4,5
12,fxa-content-experiments,f430605560ce8f4d5115aa063c19e14f1d7807f4,"Merge pull request #60 from mozilla/revert-59-train-83-disable-sms

Revert ""train-83 Temporarily disable sms""",Jon Buckley,2017-04-03T14:54:21Z,jbuck,jbuck,3,1,2
13,fxa-content-experiments,44449391291144a489f03c308362ebe7fc567f06,"Revert ""feat(sms): Temporarily disable install via SMS (#59) r=vladikoff""

This reverts commit 79242e46f1d0b1aaec46178a9b03d610c7503641.",Jon Buckley,2017-04-03T14:52:40Z,jbuck,jbuck,3,1,2
14,fxa-content-experiments,79242e46f1d0b1aaec46178a9b03d610c7503641,feat(sms): Temporarily disable install via SMS (#59) r=vladikoff,Jon Buckley,2017-04-03T14:45:58Z,jbuck,jbuck,3,2,1
15,fxa-content-experiments,4e19ee7ee510a44acd4ee9e69c6735151ce1f3c0,"feat(sms): Gate SMS by country. (#58) r=@vladikoff

Romania is only enabled for mozilla & softvision addresses.

issue mozilla/fxa-content-server#4861",Shane Tomlinson,2017-03-30T11:36:11Z,Shane Tomlinson,Shane Tomlinson,35,35,0
16,fxa-content-experiments,30e75f21d847dd45148b3258dab78298e9d6496c,"feat(sms): Enable Send SMS for 2.5% of the general population. (#57) r=@vladikoff,@philbooth

The experiment is enabled for 5% of the population, 2.5% will be
in the control group, 2.5% in the treatment group.",Shane Tomlinson,2017-03-22T15:48:01Z,Shane Tomlinson,Shane Tomlinson,41,30,11
17,fxa-content-experiments,480dc3db2aa40912e663c976e333932e1324434c,feat(sessions): show sessions based on Firefox version (#56),Vlad Filippov,2017-03-20T23:09:22Z,vladikoff,vladikoff,23,23,0
