,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-customs-server,d7ee39319c6f4a5aae895474798a23f9fb517546,Steal README and CONTRIBUTING from fxa-auth-server,Francois Marier,2014-05-21T04:48:34Z,Francois Marier,Francois Marier,210,208,2
1,fxa-customs-server,2319e511127b2f6a724b5fb37b28ef99874de30d,"Remove unused badAgent code

This stuff was never actually implemented and it sounds like a
different approach should be taken (see #25).",Francois Marier,2014-05-20T04:48:10Z,Francois Marier,Francois Marier,75,29,46
2,fxa-customs-server,1cf359fe8d78a96b300f5c9c96482af057b305b6,"Merge pull request #29 from fmarier/moar_comments

Add a few useful comments to describe what's going on",Andrew Chilton,2014-05-20T04:00:03Z,chilts,chilts,17,10,7
3,fxa-customs-server,cfd5eb4b8d98a6ac629c13b5774787dc5af8e885,Add a few useful comments to describe what's going on,Francois Marier,2014-05-20T03:50:16Z,Francois Marier,Francois Marier,17,10,7
4,fxa-customs-server,66437da3159d99479bff376ce355a9f1e566f13d,"Merge pull request #13 from fmarier/functional_tests

Functional tests",Francois Marier,2014-05-19T00:19:53Z,fmarier,fmarier,843,833,10
5,fxa-customs-server,039457f98f4701a2ad85069b0c81c08f876aa455,"Functional test: simulating a few bad logins and emails

The test looks like this:

1. clear all blocked emails and bad logins
2. check that the account is not blocked or over the bad login limit
3. use the /check endpoint to simulate password resets via email
4. check that the email is not blocked
5. use the /failedLoginAttempt endpoint to go up to the limit
6. check that we're still under the limit
7. check that we can still login",Francois Marier,2014-05-14T10:26:51Z,Francois Marier,Francois Marier,179,179,0
6,fxa-customs-server,ce9840f738d0806da0fbe1d8b0495094e8be58bb,"Functional test: blocking an email that was sent too many messages

The test looks like this:

1. clear all blocked emails
2. check that the account is not blocked
3. use the /check endpoint to simulate password resets via email
4. check that the email gets blocked
5. wait until the block expires
6. check that we're no longer blocked",Francois Marier,2014-05-14T10:23:31Z,Francois Marier,Francois Marier,145,145,0
7,fxa-customs-server,92c462dd472034b969d6228a15031a7f17f1268c,"Functional test: blocking an email with too many failed logins

The test looks like this:

1. clear all bad logins
2. check that the account is not over the limit
3. use the /failedLoginAttempt endpoint to go over that limit
4. check that we are over the limit
5. wait until the bad logins expire
6. check that we're no longer over the limit",Francois Marier,2014-05-13T08:24:15Z,Francois Marier,Francois Marier,134,134,0
8,fxa-customs-server,6b2ce3674016a297aec8b4b4bc37acdd2eabb398,Travis needs to run memcached for the functional tests to work,Francois Marier,2014-05-15T23:31:34Z,Francois Marier,Francois Marier,3,3,0
9,fxa-customs-server,8ea5ad03231656be0e8183e98768c2e002d1c686,Remove unreachable return statement,Francois Marier,2014-05-13T04:21:11Z,Francois Marier,Francois Marier,1,0,1
10,fxa-customs-server,9732e563275b927dabc087ffd35eb22dbfdc1553,Include all parameters in the logging of /check,Francois Marier,2014-05-13T04:20:24Z,Francois Marier,Francois Marier,4,2,2
11,fxa-customs-server,9e319d2093e94cfd2f1d6f34cecd2bbb2d5ab949,Basic testing of the /check endpoint,Francois Marier,2014-05-13T04:18:07Z,Francois Marier,Francois Marier,82,82,0
12,fxa-customs-server,17e302e48a8d5eab697d7371f262c5bffbec6b6b,Basic testing of the `/failedLoginAttempt` and `/passwordReset` endpoints,Francois Marier,2014-05-09T06:33:38Z,Francois Marier,Francois Marier,143,143,0
13,fxa-customs-server,6b2bb8b69a88ac364697b67d256d85774ebc6b8d,Add error checking to all API endpoints,Francois Marier,2014-05-09T06:30:56Z,Francois Marier,Francois Marier,23,22,1
14,fxa-customs-server,1174f369dce00875e6f62300c14043a1cd1d904a,Full test of the / API endpoint,Francois Marier,2014-05-09T06:29:29Z,Francois Marier,Francois Marier,23,21,2
15,fxa-customs-server,ebae35fee80f281e3c696cd3430b05931e6a1707,"Add basic framework for tests against the API

Unit tests are now in `test/local` and API tests in `test/remote`.",Francois Marier,2014-05-08T08:00:53Z,Francois Marier,Francois Marier,110,104,6
16,fxa-customs-server,151a62ccb0b8b36c9758ef9cff3d13ceed82b4a0,"Merge pull request #19 from fmarier/issue17

Use grunt to run jshint and check for copyright headers (fix #17)",Peter deHaan,2014-05-16T16:47:54Z,pdehaan,pdehaan,163,74,89
17,fxa-customs-server,38a12b1c5de88e7ef3b0bf3693df3f7046f3daa5,Use grunt to run jshint and check for copyright headers,Francois Marier,2014-05-16T05:00:03Z,Francois Marier,Francois Marier,140,62,78
18,fxa-customs-server,1648f1216a7dad80eb7b07d0cfb92c361a7def91,Get rid of reserved words,Francois Marier,2014-05-16T04:26:46Z,Francois Marier,Francois Marier,14,7,7
19,fxa-customs-server,b29c44ff99fb22319ebf61b962ba4969ca8e2c6f,"Check for unused variables

Dirty hack to silence a warning that is already fixed in #18.",Francois Marier,2014-05-16T04:13:16Z,Francois Marier,Francois Marier,4,2,2
20,fxa-customs-server,194a1b97e32e7d81fbb443e9c4b4931ca39a9bae,"Add a few more jshint option suggested by @pdehaan

https://github.com/mozilla/fxa-customs-server/issues/17#issuecomment-43251627",Francois Marier,2014-05-16T04:09:33Z,Francois Marier,Francois Marier,4,3,1
21,fxa-customs-server,f95b7e257c574168adcdf09c5669b2058c582947,"Take `trailing` out since it got removed in jshint 2.5.0

https://github.com/jshint/jshint/releases/tag/2.5.0",Francois Marier,2014-05-16T04:04:52Z,Francois Marier,Francois Marier,1,0,1
22,fxa-customs-server,3964443d1dc4e5f94138ee963dc6b9d8f8b33549,"Merge pull request #15 from pdehaan/nice-package-bro

adding a few missing fields to package.json",Francois Marier,2014-05-15T23:28:06Z,fmarier,fmarier,21,16,5
23,fxa-customs-server,f38d324e287e8d3b440056afdb6a9256d21b0474,adding a few missing fields to package.json,Peter deHaan,2014-05-15T16:58:57Z,pdehaan,pdehaan,21,16,5
24,fxa-customs-server,1603bea5aa739e8e70b23560e90b1920d383642c,"Merge pull request #14 from fmarier/npm-start

Run the main server on ""npm start""",Peter deHaan,2014-05-15T16:45:01Z,pdehaan,pdehaan,1,1,0
25,fxa-customs-server,278ee584a5f3d5d3b77ab1a773b0558b9f9e46a9,"Run the main server on ""npm start""",Francois Marier,2014-05-15T06:12:55Z,Francois Marier,Francois Marier,1,1,0
26,fxa-customs-server,b8499ada2d5cf854758f9a13b54085d5e6e94c72,"Merge pull request #9 from fmarier/ip_email_record_tests

ip_email_record tests",Francois Marier,2014-05-09T06:47:45Z,fmarier,fmarier,225,212,13
27,fxa-customs-server,669e077fc7d92386407eab35fcb0412dea0ed805,Add unit tests for ip_email_record.js,Francois Marier,2014-05-06T05:17:59Z,Francois Marier,Francois Marier,193,193,0
28,fxa-customs-server,390c2db2acd7c07a442467417615ac79050cdbf6,"Move allowed actions to an array

This is similar to how it's done in `email_record.js`.",Francois Marier,2014-05-09T02:43:26Z,Francois Marier,Francois Marier,15,10,5
29,fxa-customs-server,57900f50eb7d6b28cbf865c2199b99ca932273fb,Copy the retryAfter function from email_record.js,Francois Marier,2014-05-06T04:38:01Z,Francois Marier,Francois Marier,2,1,1
30,fxa-customs-server,34ade928a19655758ccc7369c58d7f025f326b28,Make the now() function configurable to facilitate testing,Francois Marier,2014-05-06T04:35:38Z,Francois Marier,Francois Marier,17,9,8
31,fxa-customs-server,b094229ce83db6486168b505bb13d8ffd1101c54,"Merge pull request #7 from fmarier/ip_record_tests

ip_record tests",Francois Marier,2014-05-09T04:26:27Z,fmarier,fmarier,102,93,9
32,fxa-customs-server,96c4a4906ea1e88948f912a021ed2360f732a21b,Add unit tests for ip_record.js,Francois Marier,2014-05-06T04:07:58Z,Francois Marier,Francois Marier,83,83,0
33,fxa-customs-server,c54a908ffadd96d8771400a538c32df0d364f88f,Copy the retryAfter function from email_record.js,Francois Marier,2014-05-06T04:04:24Z,Francois Marier,Francois Marier,3,1,2
34,fxa-customs-server,9f1f3843dc6cc6d6df20745e46654d3086f8f874,Make the now() function configurable to facilitate testing,Francois Marier,2014-05-06T04:03:42Z,Francois Marier,Francois Marier,14,8,6
35,fxa-customs-server,3cf9d873984cc9621197b0897cbd51520aab0847,Check for blocks against the right interval,Francois Marier,2014-05-06T04:01:50Z,Francois Marier,Francois Marier,2,1,1
36,fxa-customs-server,46c9df259ebcca37beb3c41ffbfaae2d39a8790b,Pass the missing BLOCK_INTERVAL_MS to the ip_record,Francois Marier,2014-05-06T04:01:03Z,Francois Marier,Francois Marier,4,2,2
37,fxa-customs-server,3c1c78781088f27207d907b036aab2eb386d5863,Make the InvalidAgentInterval configurable,Francois Marier,2014-05-06T03:59:45Z,Francois Marier,Francois Marier,6,3,3
38,fxa-customs-server,7fbd0b1502972fdae69413939a796e71d74eb5c6,"Merge pull request #11 from fmarier/ass_coverage

Ass coverage (fix #4)",Ryan Kelly,2014-05-09T02:19:34Z,rfk,rfk,101,98,3
39,fxa-customs-server,abd6ffe9910a67bd75d4fb05c2f6a1082ca88be2,Add more email_record unit tests to get 100% coverage,Francois Marier,2014-05-07T06:37:44Z,Francois Marier,Francois Marier,59,57,2
40,fxa-customs-server,adee385a5e160638f61dae3ed5a849a3e32a2bb2,"Enable test coverage analysis using ass (fix #4)

This script comes from fxa-auth-server but it is always run with
the test in this project.",Francois Marier,2014-05-07T06:35:59Z,Francois Marier,Francois Marier,42,41,1
41,fxa-customs-server,e2fe1a97e03797c82d974094621a2e72983bbdc7,"Merge pull request #10 from fmarier/jshint

Add jshint to the tests (fix #6)",Francois Marier,2014-05-08T00:22:19Z,fmarier,fmarier,102,100,2
42,fxa-customs-server,ce6109aba2e756e98f15c19f4a3b4f62b62ae810,"Add jshint to the tests (fix #6)

This is inspired by the test of the same name in browserid-local-verify
(https://github.com/mozilla/browserid-local-verify/blob/404bdcd158094aaaeb412b8eb0263243c79f8b92/tests/jshint.js) and enables all of the checks that pass.",Francois Marier,2014-05-06T11:33:14Z,Francois Marier,Francois Marier,102,100,2
43,fxa-customs-server,62ce0ad7d55679348338e0131683f61c29aa716d,"Merge pull request #8 from fmarier/add_licensing_info

Add a copy of the MPL and put tests in Public Domain",Danny Coates,2014-05-06T18:32:41Z,dannycoates,dannycoates,376,376,0
