,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-js-client-old,fa8c843ddfa14d4c89add2612191ae5fad4f5019,use node-kvstore module,Danny Coates,2013-05-17T00:57:43Z,dannycoates,dannycoates,737,27,710
1,fxa-js-client-old,b519a7e3b48547d66725a4574cfd44912af3e26d,include the config directory,Zachary Carter,2013-05-17T00:25:14Z,zaach,zaach,11,10,1
2,fxa-js-client-old,318bd677e1c2ff0a95f47a1f3227219a51a1098e,now generates certs from a signToken and public key,Zachary Carter,2013-05-17T00:13:01Z,zaach,zaach,282,270,12
3,fxa-js-client-old,5cf482d2463a3cd25799c83a277a5c71c6ec953e,"Merge pull request #5 from mozilla/more_tests

More tests",Danny Coates,2013-05-16T22:12:20Z,dannycoates,dannycoates,60,50,10
4,fxa-js-client-old,5725b6d660780562eb9a227c7050986fd55f7c9c,additional failure test cases,Zachary Carter,2013-05-16T07:32:05Z,zaach,zaach,36,36,0
5,fxa-js-client-old,18a30a9c330a2df2efe21396bff1d655918544b3,fix comments,Zachary Carter,2013-05-16T07:31:17Z,zaach,zaach,24,14,10
6,fxa-js-client-old,a0f3a61e8c70f150cc174e074c0caa3728928b28,"Merge pull request #4 from mozilla/accounts

Implement create, startLogin, and finishLogin sans SRP",Danny Coates,2013-05-16T00:34:53Z,dannycoates,dannycoates,381,348,33
7,fxa-js-client-old,8bd07a5e9536ce6d244d6353c623b91b3df74687,Add failure test cases,Zachary Carter,2013-05-16T00:05:28Z,zaach,zaach,63,58,5
8,fxa-js-client-old,4d38bdbf51241decfe2135ceb566a7fa605e97a9,"Implement create, startLogin, and finishLogin sans SRP",Zachary Carter,2013-05-15T23:52:28Z,zaach,zaach,318,290,28
9,fxa-js-client-old,3d71292099d0a80a9e0cf684778075b3fb026748,"Merge pull request #3 from dannycoates/memcached

Memcached kvstore backend",Zach Carter,2013-05-15T23:11:48Z,zaach,zaach,85,84,1
10,fxa-js-client-old,318d72621ae02b968a8552c223d18f731011b38e,i am semicolon blind,Danny Coates,2013-05-15T23:04:43Z,dannycoates,dannycoates,4,2,2
11,fxa-js-client-old,d1ae5981a18dfdf03dd8ee650f6fd55bc638d27c,fixed memcached backend delete() name and moved connect(),Danny Coates,2013-05-15T22:06:22Z,dannycoates,dannycoates,14,7,7
