,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-jwtool,d9f822c9e5899bb3f9bea709b0bab102970b0151,"Merge pull request #7 from Mozilla-GitHub-Standards/master r=@shane-tomlinson

Add Mozilla Code of Conduct",Shane Tomlinson,2019-04-01T15:13:56Z,Shane Tomlinson,Shane Tomlinson,15,15,0
1,fxa-jwtool,31a69fe4128c44784c328e8cd27f225bb6a41a1f,"Add Mozilla Code of Conduct file

Fixes #6.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-29T16:54:51Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,fxa-jwtool,36853a7fca61f8accec5777794b58cd59dd9236b,added 'defaults' to jwtool.verify,Danny Coates,2015-11-22T23:41:06Z,dannycoates,dannycoates,14,9,5
3,fxa-jwtool,a572ff37a64aa87f9c460cbae501de8bf0691220,lose some weight,Danny Coates,2015-03-27T01:21:02Z,dannycoates,dannycoates,109,75,34
4,fxa-jwtool,7e96ef55bfb12103b9d654180905f03116d02be4,refactored internals and changed 'verify' to return only the payload,Danny Coates,2015-03-26T04:47:10Z,dannycoates,dannycoates,145,131,14
5,fxa-jwtool,96441d86026d5bdbc2db951f40aaf754c7166c42,"Merge pull request #3 from pdehaan/nice-package

chore(package.json): add extra fields related to the repo",Danny Coates,2015-03-25T20:41:52Z,dannycoates,dannycoates,402,392,10
6,fxa-jwtool,d481650a011a824be19830a9f30f76648b4073ab,chore(package.json): add extra fields related to the repo,Peter deHaan,2015-03-25T17:11:02Z,pdehaan,pdehaan,402,392,10
7,fxa-jwtool,211bc0a402cffa88dddc6e2033fca1590678e816,implicitly json parse the payload on verify,Danny Coates,2015-03-24T17:30:07Z,dannycoates,dannycoates,4,2,2
8,fxa-jwtool,0c4537db802ae9d6b7e304ef5771c5539808d916,export BN,Danny Coates,2015-03-23T19:08:25Z,dannycoates,dannycoates,3,2,1
9,fxa-jwtool,a6b477c2217e8f22370a35abbdf1520e66a228ae,added JWK.fromFile,Danny Coates,2015-03-22T23:05:59Z,dannycoates,dannycoates,31,29,2
10,fxa-jwtool,50ef3cbb5d666860f77a728eb0a572c92090bf3f,updated pem-jwk,Danny Coates,2015-03-19T23:46:34Z,dannycoates,dannycoates,4,2,2
11,fxa-jwtool,2158f6c2ec724e865df9cfc28dfb177601015d2e,fixed async bug,Danny Coates,2015-03-19T22:40:44Z,dannycoates,dannycoates,8,6,2
12,fxa-jwtool,84ab54131ef4600a709bc7a3d5621337036cfa40,"made sync/async sign/verify more explicit and nodey

- this is a breaking change
- the async versions are stubbed with promises for future implementation",Danny Coates,2015-03-19T22:29:33Z,dannycoates,dannycoates,14,11,3
13,fxa-jwtool,6384242077ed49c64c206ba827425506b2272f25,live long and prosper,Danny Coates,2015-03-19T19:56:15Z,dannycoates,dannycoates,160,160,0
