,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-oauth-server,c6f0d66b99ca60be5b7ebd2aad4a55963d7bd2ba,Adding more notes about the manual client add process,Renoir Boulanger,2014-04-28T22:01:34Z,renoirb,renoirb,8,6,2
1,fxa-oauth-server,d9c78fd795d18f467b507492150cc87b8cc0f791,Explaining how to generate client id and secret,Renoir Boulanger,2014-04-28T21:51:31Z,renoirb,renoirb,44,44,0
2,fxa-oauth-server,029220488fc7e7f8f16be55e678b7ffaff9cb7d3,update awsbox config,Sean McArthur,2014-04-15T21:39:13Z,seanmonstar,seanmonstar,5,3,2
3,fxa-oauth-server,72b5a9fe2f4bfa24f4b134174c60cd5920cf5c6c,test predefined clients,Sean McArthur,2014-04-04T00:15:24Z,seanmonstar,seanmonstar,25,15,10
4,fxa-oauth-server,ca0a633f10f5f6f905bca209ac123df98834266e,dont Buffer the client.secret,Sean McArthur,2014-04-03T23:36:55Z,seanmonstar,seanmonstar,5,2,3
5,fxa-oauth-server,68e25985097a7861735e2fae1fcfd725d08ccda8,use 127.0.0.1,Sean McArthur,2014-04-03T23:21:09Z,seanmonstar,seanmonstar,4,2,2
6,fxa-oauth-server,b4402f208e484df290eff0dbd7bf5fcbd00f7ab7,awsbox urls,Sean McArthur,2014-04-03T18:15:21Z,seanmonstar,seanmonstar,16,15,1
7,fxa-oauth-server,8c3d976f777d975f238c7c1898e3c4cca30f9c86,add cors,Sean McArthur,2014-04-02T21:09:18Z,seanmonstar,seanmonstar,5,4,1
8,fxa-oauth-server,90886b82b8c56f8a0866aedd72845c4807ad8997,client imageUrl typo,Sean McArthur,2014-04-02T20:31:39Z,seanmonstar,seanmonstar,2,1,1
9,fxa-oauth-server,904532c84a2dcfcdf46b9feabfa1996a09c00713,"Merge pull request #26 from mozilla/dev-client

insert client.json when ENV=dev",Zach Carter,2014-04-02T18:27:55Z,zaach,zaach,95,63,32
10,fxa-oauth-server,0e1ac1e752ced2caf7f23749298bf5e60964585b,insert clients from config at startup,Sean McArthur,2014-04-02T17:41:31Z,seanmonstar,seanmonstar,95,63,32
11,fxa-oauth-server,3ba7c41ce48cf2def7a8ec7de0898aeb6ef67e75,"Merge pull request #25 from mozilla/verify

add a /verify endpoint",Zach Carter,2014-04-02T18:11:57Z,zaach,zaach,256,208,48
12,fxa-oauth-server,2f8607852537a7b2f0e1eb92cb7263ab35d7b954,"add a /verify endpoint

fixes #19",Sean McArthur,2014-04-02T00:09:59Z,seanmonstar,seanmonstar,258,209,49
