,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-reconcile-with-salesforce,5e175b1a6391aabb6bbc97414f2cc38ba7bff992,"Merge pull request #21 from Mozilla-GitHub-Standards/master r=@shane-tomlinson

Add Mozilla Code of Conduct",Shane Tomlinson,2019-04-01T15:07:59Z,Shane Tomlinson,Shane Tomlinson,15,15,0
1,fxa-reconcile-with-salesforce,10100bb1e2dc756d77bed25d00140471af0db138,"Add Mozilla Code of Conduct file

Fixes #20.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T06:54:20Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,fxa-reconcile-with-salesforce,f053706a746209ce9ec00d5d7cd50938fa2a92df,"Merge pull request #13 from mozilla/highWaterMark

feat(performance): Add a configurable highWaterMark for performance.",John Morrison,2018-06-05T22:49:17Z,jrgm,jrgm,16,12,4
3,fxa-reconcile-with-salesforce,db338e752d9a2dd93fc2910ed347025eec0d4e94,"feat(performance): Add a configurable highWaterMark for performance.

Set the default to 16384.",Shane Tomlinson,2018-06-05T12:51:18Z,Shane Tomlinson,Shane Tomlinson,16,12,4
4,fxa-reconcile-with-salesforce,ab4d10a2f910d4681fefd27731a954c89e8a0c07,"Merge pull request #14 from mozilla/eslint-uuid r=@shane-tomlinson

add linting and use the maintained uuid dep",Shane Tomlinson,2018-06-05T19:16:38Z,Shane Tomlinson,Shane Tomlinson,6728,6569,159
5,fxa-reconcile-with-salesforce,559de17333c5c8c3710dff9566d1725d7847a206,fix(uuid): npm node-uuid is deprecated in favour of npm uuid,John Morrison,2018-06-03T06:46:22Z,jrgm,jrgm,31,16,15
6,fxa-reconcile-with-salesforce,5353e37e7476f13235f8c5adea2c3aba8ff8c0a4,fix(eslint): add eslint; fixes mostly unused vars and key ordering,John Morrison,2018-06-02T06:57:01Z,jrgm,jrgm,6711,6560,151
7,fxa-reconcile-with-salesforce,464119cc1b599992ced69dd3fd77fa0920610885,"Merge pull request #12 from mozilla/batching-streams

feat(send): batching streams.",John Morrison,2018-06-05T17:38:05Z,jrgm,jrgm,226,186,40
8,fxa-reconcile-with-salesforce,c7ea3e1f58d041e2a86da3ae770160449ac2bfe7,"fix(bin): Fixes based on @jrgm's feedback.

* Messasge => Message
* Remove an extra ()
* Use a function to create the SQS mock.",Shane Tomlinson,2018-06-05T10:53:45Z,Shane Tomlinson,Shane Tomlinson,84,45,39
9,fxa-reconcile-with-salesforce,5e059251704df1ba269eb26a2af1e77acae43926,feat(send): batching streams.,Shane Tomlinson,2018-05-31T10:07:16Z,Shane Tomlinson,Shane Tomlinson,220,180,40
10,fxa-reconcile-with-salesforce,0de2da69e97bbdb552d0f4e2e0e58b766b3f4c93,"Merge pull request #9 from mozilla/streams r=@jrgm

refactor: Convert to streams to handle pressure/backoff",Shane Tomlinson,2018-06-01T16:21:01Z,Shane Tomlinson,Shane Tomlinson,989,431,558
11,fxa-reconcile-with-salesforce,ae2cfc85d90f3c65c3536c6b5680d3f4ad1ac490,refactor: Convert to streams to handle pressure/backoff,Shane Tomlinson,2018-05-24T11:55:34Z,Shane Tomlinson,Shane Tomlinson,989,431,558
12,fxa-reconcile-with-salesforce,22065de5666c788ac6ef73eb4af53d2932da968d,"Merge pull request #11 from mozilla/streams-plus-factor-out-bucketing-v2 r=@shane-tomlinson

Streams plus factor out bucketing v2",Shane Tomlinson,2018-06-01T10:47:51Z,Shane Tomlinson,Shane Tomlinson,27513,13827,13686
13,fxa-reconcile-with-salesforce,cd20ab9ff9713a22880a2f98702d6369533bee83,fix(tests): write expected counts when generating test data and import those values in tests,John Morrison,2018-05-28T07:35:01Z,jrgm,jrgm,27432,13775,13657
14,fxa-reconcile-with-salesforce,1301064afefe747ca41bec87b0bbe76a0f7d2cbf,fix(travis): add travis-ci,John Morrison,2018-06-01T05:30:35Z,jrgm,jrgm,11,10,1
15,fxa-reconcile-with-salesforce,9d800a4228fd4ce40399e94e2a56be25d644c675,refactor(statistics): factor uid bucketing stats so I can reuse it in test_data generation,John Morrison,2018-06-01T05:27:50Z,jrgm,jrgm,70,42,28
16,fxa-reconcile-with-salesforce,0d53c57b9e9dc6da36d75d0b20662992c10ca1dd,"Merge pull request #8 from mozilla/csv-parser-cleanup r=@jrgm

refactor(parsing): Cleaner CSV parsing logic.",Shane Tomlinson,2018-05-31T10:03:46Z,Shane Tomlinson,Shane Tomlinson,29879,14950,14929
17,fxa-reconcile-with-salesforce,7b61909d8fdd5795b4ac1774fa4469a4a1c94888,"refactor(parsing): Cleaner CSV parsing logic.

Extract lots of functions, parse and normalize lines for
each input file in their own parser/normalizer.",Shane Tomlinson,2018-05-24T10:24:11Z,Shane Tomlinson,Shane Tomlinson,29879,14950,14929
18,fxa-reconcile-with-salesforce,7267ce55eb206a3d3ffa05dd38868231ac2af2b5,"Merge pull request #7 from mozilla/fix-update-tests-for-base64 r=@shane-tomlinson

adjust test generation for base64 encoded values, invalid UID, script for test_data regeneration",Shane Tomlinson,2018-05-24T09:32:00Z,Shane Tomlinson,Shane Tomlinson,27573,13762,13811
19,fxa-reconcile-with-salesforce,6a5946cfa04977069f5cdd9add85e581e39e2400,fix(readme): update readme,John Morrison,2018-05-24T05:41:24Z,jrgm,jrgm,13,8,5
20,fxa-reconcile-with-salesforce,214be3e74d9b481dddc97401dfcac5afeaa723e2,"fix(parsing): adjust test generation for base64 encoded values, invalid UID, script for test_data regeneration",John Morrison,2018-05-24T05:21:38Z,jrgm,jrgm,27560,13754,13806
21,fxa-reconcile-with-salesforce,f59dd5d5293f9eb2b9e6ed17dd212fddf3cc584b,"Merge pull request #6 from mozilla/fix-mysql-email-locale-base64 r=@shane-tomlinson

fix(parsing): mysql lines as ""uid,b64-email,b64-locale,createdAtMs""",Shane Tomlinson,2018-05-23T19:35:30Z,Shane Tomlinson,Shane Tomlinson,25,11,14
22,fxa-reconcile-with-salesforce,b4c3332665a266801c175d0c8efa6e832358e3bb,"fix(parsing): mysql lines as ""uid,b64-email,b64-locale,createdAtMs""",John Morrison,2018-05-23T17:34:38Z,jrgm,jrgm,25,11,14
23,fxa-reconcile-with-salesforce,944702a4f96477b4a4d36a2a563b6de55be24129,"Merge pull request #4 from mozilla/document-test-data-generation

feat(docs): Document test data generation.",John Morrison,2018-05-23T16:58:49Z,jrgm,jrgm,22,22,0
24,fxa-reconcile-with-salesforce,d484f801129360f30c79b17a8ef85320057b7000,feat(docs): Document test data generation.,Shane Tomlinson,2018-05-23T12:28:30Z,Shane Tomlinson,Shane Tomlinson,22,22,0
25,fxa-reconcile-with-salesforce,2438ae93f5ebdde6f45a4bcf99f52c4fbe98727c,"Merge pull request #3 from mozilla/input-ms-output-seconds-since-epoch r=@jrgm

fix(parsing): Date input/output normalization.",Shane Tomlinson,2018-05-23T12:22:46Z,Shane Tomlinson,Shane Tomlinson,30056,15058,14998
