,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-retention-metrics,038ff98a0830069d7509bf2ec1e05e7e39861171,fix(graph): add telemetry sample graph,Vlad Filippov,2016-04-03T17:50:12Z,vladikoff,vladikoff,176,176,0
1,fxa-retention-metrics,fd0b5005e5c3136b4bffb7d08ceadd88d75ccbf5,feat(graph): add login vs created graph,Vlad Filippov,2015-12-25T21:04:53Z,vladikoff,vladikoff,266,266,0
2,fxa-retention-metrics,1e5709d10384df9f75d053a429c36f295ac730d6,feat(graphs): add created and login by service,Vlad Filippov,2015-12-25T20:49:39Z,vladikoff,vladikoff,760,760,0
3,fxa-retention-metrics,3166d4fbc10c90c20af5330d8aae717909370633,adjust week range,Vlad Filippov,2015-12-25T20:19:58Z,vladikoff,vladikoff,58,29,29
4,fxa-retention-metrics,26bddba7aee3d7989beed545f7e349e6a52b87a1,"Merge pull request #12 from mozilla/weekly-percentage

feat(graphs): add weekly login and created graphs",Vlad Filippov,2015-12-24T05:22:22Z,vladikoff,vladikoff,2228,1713,515
5,fxa-retention-metrics,6d5156dd0b8ed3a22e1b132f137d9539938ab603,feat(graphs): add weekly login and created graphs,vladikoff,2015-12-02T23:22:54Z,vladikoff,vladikoff,2228,1713,515
6,fxa-retention-metrics,21508b6eee68ba2334dea93ea7657700fed9d152,refactor(graphs): update variable names,Vlad Filippov,2015-12-22T22:23:29Z,vladikoff,vladikoff,224,112,112
7,fxa-retention-metrics,accc36d5abbd0d1d71864afff4a6356e9d8e0923,"Merge pull request #10 from mozilla/october15

feat(metrics): add latest weeks, add fxios, update build",Vlad Filippov,2015-11-10T00:56:16Z,vladikoff,vladikoff,279,250,29
8,fxa-retention-metrics,7cf4d2605860ed8714b13bb5d0e00dc2e2346131,fix(travis): update travis script,Vlad Filippov,2015-11-10T00:47:22Z,vladikoff,vladikoff,4,3,1
9,fxa-retention-metrics,8365ecd3a7d1fb186293ce5d710932c9232aad53,"feat(metrics): add latest weeks, add fxios, update build",Vlad Filippov,2015-11-10T00:41:16Z,vladikoff,vladikoff,275,247,28
10,fxa-retention-metrics,981514696a1494aaf96e0ed3c6a33be9b2e28829,fix(tests): add FxiOS to random csv data,Vlad Filippov,2015-10-28T20:29:11Z,vladikoff,vladikoff,2,1,1
11,fxa-retention-metrics,709ff6aa7cc9343e08301e1d973c37a5ad907feb,"Merge pull request #8 from mozilla/pocket

feat(by_service): add service books",Vlad Filippov,2015-10-15T18:21:42Z,vladikoff,vladikoff,1016,1010,6
12,fxa-retention-metrics,fa06d1945a33d1424c6f0d761414cc4810ffdb5c,feat(metrics): add multi device metrics,Vlad Filippov,2015-10-15T18:15:21Z,vladikoff,vladikoff,344,339,5
13,fxa-retention-metrics,2931e5439653061d0e4030be3bc8dd9a35ae4761,Update README.md,Vlad Filippov,2015-10-14T21:15:09Z,vladikoff,vladikoff,8,4,4
14,fxa-retention-metrics,69c1a4b515a31f3c2e535f1ba519b78ff58b6850,feat(by_service): add service books,Vlad Filippov,2015-10-09T04:42:04Z,vladikoff,vladikoff,672,671,1
15,fxa-retention-metrics,e10336383c000f1b592c189db2eb4c5ebc2bd099,fix(win8): fix win 8 title,Vlad Filippov,2015-10-09T03:08:37Z,vladikoff,vladikoff,6,3,3
16,fxa-retention-metrics,7b5e5028cafd2ca97c97c1865e2c2b7ed8dacb80,"Merge pull request #7 from vladikoff/signed-events

feat(signed): add signed events then anything",Vlad Filippov,2015-10-09T01:25:57Z,vladikoff,vladikoff,635,462,173
17,fxa-retention-metrics,43feffaf2c4baa5586f6808bff72eaf13f557d68,feat(signed): add signed events then anything,Vlad Filippov,2015-10-09T00:53:30Z,vladikoff,vladikoff,635,462,173
18,fxa-retention-metrics,75e6d69571528ed84b14ac4b833c69de2d4990a8,"Merge pull request #5 from vladikoff/refactor

refactor(everything): everything.",Vlad Filippov,2015-10-09T00:40:34Z,vladikoff,vladikoff,5792,4340,1452
19,fxa-retention-metrics,878bf825dde6d4347b1911315db7879110a7c5d5,refactor(everything): everything.,Vlad Filippov,2015-10-08T23:54:34Z,vladikoff,vladikoff,5792,4340,1452
20,fxa-retention-metrics,b0cdc7baa2c4cb561cc5a60d8b542ef78e509923,"Merge pull request #4 from vladikoff/updates-intervals

fix(cleanup): general updates and fixes",Vlad Filippov,2015-10-07T18:43:52Z,vladikoff,vladikoff,312,278,34
21,fxa-retention-metrics,ecbe3d9d25081a6913297e206ab6dda4abd8d075,fix(cleanup): general updates and fixes,vladikoff,2015-10-07T18:21:39Z,vladikoff,vladikoff,312,278,34
22,fxa-retention-metrics,f58f7d137e69dd5a6ed83a8521284b3a0a3e0634,"Merge pull request #3 from vladikoff/platform-account-created

feat(metrics): add more retention graphs",Vlad Filippov,2015-10-07T15:11:44Z,vladikoff,vladikoff,1095,1054,41
23,fxa-retention-metrics,3f70353b12a2d608d59f2abc624545048559db6f,feat(metrics): add more retention graphs,Vlad Filippov,2015-10-07T03:52:52Z,vladikoff,vladikoff,1095,1054,41
24,fxa-retention-metrics,351fd9b0e31f2d7a5eea02450d638cc0c0968dba,fix(csv): remove csv header settings,Vlad Filippov,2015-10-06T18:25:08Z,vladikoff,vladikoff,28,18,10
25,fxa-retention-metrics,5a047c84dddc44c37f7fc4317e96b23f35317cb5,fix(s3): fix s3 bucket loading,Vlad Filippov,2015-10-05T03:25:33Z,vladikoff,vladikoff,6,4,2
26,fxa-retention-metrics,20cc107791c6c2daf7356b8cde43d62756de810c,"Merge pull request #2 from vladikoff/week

fix(tests): fix tests",Vlad Filippov,2015-10-05T02:33:51Z,vladikoff,vladikoff,5,3,2
27,fxa-retention-metrics,fa73dbdc723d266eb0deebdfc523006202e86dd7,fix(tests): fix tests,Vlad Filippov,2015-10-05T02:31:11Z,vladikoff,vladikoff,5,3,2
28,fxa-retention-metrics,415362a7cc9f75970e06e1974fcc8ee07a2c848c,fix(prod): update prod book,Vlad Filippov,2015-10-05T02:26:36Z,vladikoff,vladikoff,10,6,4
29,fxa-retention-metrics,10a8c1a71c07b5451782b85f762829d13828ba38,Merge branch 'master' of github.com:vladikoff/fxa-retention-ipynb,Vlad Filippov,2015-10-05T02:25:55Z,vladikoff,vladikoff,23,14,9
30,fxa-retention-metrics,773d5579e5bc903e3ae989c185de7ed3c658ec5c,fix(weeks): change starting week,Vlad Filippov,2015-10-05T02:25:40Z,vladikoff,vladikoff,6,4,2
31,fxa-retention-metrics,0b03644375bd9453f3bc3da46e8706fd11fda2a1,"Merge pull request #1 from vladikoff/csv-update

fix(csv): fix random data",Vlad Filippov,2015-10-05T01:18:24Z,vladikoff,vladikoff,23,14,9
32,fxa-retention-metrics,fa738645c5f01e378425689cc6d8151dbe74b231,fix(csv): fix random data,Vlad Filippov,2015-10-05T01:07:20Z,vladikoff,vladikoff,23,14,9
33,fxa-retention-metrics,43273913c9037309e74e3f483dba10ffc02e8d66,fix(csv): update with correct csv format,Vlad Filippov,2015-10-05T00:51:23Z,vladikoff,vladikoff,26,14,12
34,fxa-retention-metrics,aeb8a42bd087db1ed6a4eab1a213320d30466810,switch seaborn dep,Vlad Filippov,2015-09-25T23:30:16Z,vladikoff,vladikoff,6,3,3
35,fxa-retention-metrics,ce4fdce0a1a64f88e31702621e50c9256eddfbd7,add log4j template,Vlad Filippov,2015-09-25T23:10:23Z,vladikoff,vladikoff,13,13,0
36,fxa-retention-metrics,383f39b2b1cef3104a5c83555bab357252045f1a,travis updates,Vlad Filippov,2015-09-25T23:01:53Z,vladikoff,vladikoff,3,2,1
37,fxa-retention-metrics,75a119de3a4e1284f837d93ac58ff72749342af6,travis updates,Vlad Filippov,2015-09-25T23:00:32Z,vladikoff,vladikoff,2,1,1
38,fxa-retention-metrics,7fd3250159c877a26c28bd253fe66ed4db6213ff,travis updates,Vlad Filippov,2015-09-25T22:59:02Z,vladikoff,vladikoff,1,1,0
39,fxa-retention-metrics,c43f5dce47524a671b54ad648bba4c8b473214ff,travis updates,Vlad Filippov,2015-09-25T22:55:13Z,vladikoff,vladikoff,2,1,1
40,fxa-retention-metrics,3bc30edaf07350ab4f44af2a3d41eb97440af60d,travis updates,Vlad Filippov,2015-09-25T22:53:53Z,vladikoff,vladikoff,2,1,1
41,fxa-retention-metrics,4a5829e57c3490bfc203ab877a2b6cd13e646bb5,travis updates,Vlad Filippov,2015-09-25T22:52:42Z,vladikoff,vladikoff,2,1,1
