,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-shared,e95c36400472642311554dab53dde8068f973c59,"Merge pull request #73 from mozilla/shane-tomlinson-patch-1

chore(docs): Point README to monorepo",Shane Tomlinson,2019-04-03T06:12:33Z,Shane Tomlinson,Shane Tomlinson,100,2,98
1,fxa-shared,0f3a48b366ba531e4cd6959463adf894a820b131,"chore(docs): Point README to monorepo

@mozilla/fxa-devs - r?",Shane Tomlinson,2019-04-03T06:11:02Z,Shane Tomlinson,Shane Tomlinson,100,2,98
2,fxa-shared,433c660261b23ff1fb82df8004c11cd3b5438884,"Merge 1.0.23 into master

https://github.com/mozilla/fxa-shared/pull/70
r=vladikoff",Phil Booth,2019-03-29T12:17:29Z,philbooth,philbooth,4,2,2
3,fxa-shared,b3fc96a77f40d9dc53002eec7dd8a08fa72e6a86,chore(package): bump version,Phil Booth,2019-03-28T11:36:20Z,philbooth,philbooth,4,2,2
4,fxa-shared,234280e896c69c5706614e830792a4a992c9d62a,"Merge pull request #69 from mozilla/pb/redis-zrangebyscore-withscores

https://github.com/mozilla/fxa-shared/pull/69
r=shane-tomlinson",Phil Booth,2019-03-28T11:35:35Z,philbooth,philbooth,24,11,13
5,fxa-shared,d7bbd44d6d0c12179a118a48d38003bc3b30eacc,fix(redis): fix broken zpoprangebyscore argument-marshalling,Phil Booth,2019-03-27T20:08:33Z,philbooth,philbooth,24,11,13
6,fxa-shared,858be5242b86f3fcd15d6277f77f1019db5a0410,"Merge 1.0.22 into master

https://github.com/mozilla/fxa-shared/pull/68
r=shane-tomlinson",Phil Booth,2019-03-27T12:01:42Z,philbooth,philbooth,10,5,5
7,fxa-shared,a51da5e4392a3bd0a6d212af6621ac2b12f5fa16,chore(package): bump version,Phil Booth,2019-03-27T11:16:12Z,philbooth,philbooth,4,2,2
8,fxa-shared,7452e47255b85e2c6f2eaebff891fec0afdffc90,chore(package): update js-yaml to fix npm audit warning,Phil Booth,2019-03-27T11:15:31Z,philbooth,philbooth,6,3,3
9,fxa-shared,5d702d0bc0a051a859270a7eac943c82805d63aa,"Merge pull request #67 from mozilla/pb/redis-atomic-zpoprangebyscore

https://github.com/mozilla/fxa-shared/pull/67
r-shane-tomlinson",Phil Booth,2019-03-27T11:13:45Z,philbooth,philbooth,160,137,23
