,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxa-sms-forecast,06bb5dadb128941068ace43a630b837762dbd42b,"Merge pull request #2 from mozilla/fix_forecast

https://github.com/mozilla/fxa-sms-forecast/pull/2
r=philbooth",Phil Booth,2018-10-15T08:40:05Z,philbooth,philbooth,19,8,11
1,fxa-sms-forecast,2a18df18496f349e5b8fe8d75a769af4e92fc6b4,change forecast to be based on mean; change email message,irrationalagent,2018-10-09T19:26:36Z,irrationalagent,irrationalagent,19,8,11
2,fxa-sms-forecast,c3c8bb79fce4f3da4bf8fa4857cb3f90a59f4911,chore(docs): remove todo from readme,Phil Booth,2018-08-14T14:47:08Z,philbooth,philbooth,7,1,6
3,fxa-sms-forecast,f0f27d72ba0d799bf6f59d73410d4195a3cb6261,fix(aws): make env vars for aws keys optional,Phil Booth,2018-08-14T14:19:00Z,philbooth,philbooth,11,6,5
4,fxa-sms-forecast,6c4ed5bb4ce4c2e6fe206ef9d894c222d3753de2,fix(docs): document the optional environment variables,Phil Booth,2018-08-06T12:26:39Z,philbooth,philbooth,18,18,0
5,fxa-sms-forecast,ef2c8c7063897c97e4fa384a10e775f7e2fe0ac0,fix(docs): update readme for dockerization,Phil Booth,2018-08-06T11:21:03Z,philbooth,philbooth,96,30,66
6,fxa-sms-forecast,ae6262e9b2003e474c16f28e6f172bd2f76aa596,fix(script): removed unused imports,Phil Booth,2018-08-06T11:20:31Z,philbooth,philbooth,1,0,1
7,fxa-sms-forecast,a39a2b28285031bba5c98e5bf3004fb73eee491b,feat(docker): build a docker image in ci,Phil Booth,2018-08-02T14:16:54Z,philbooth,philbooth,42,42,0
8,fxa-sms-forecast,dd41baf3e63d12f561a632733a7bca6df48357ea,chore(script): line breaks for readability,Phil Booth,2018-08-02T10:52:43Z,philbooth,philbooth,15,12,3
9,fxa-sms-forecast,a7169aa9b3c59c1a09831f782d2868938de9d508,feat(email): configure from address with environment variable,Phil Booth,2018-08-02T10:48:57Z,philbooth,philbooth,6,3,3
10,fxa-sms-forecast,602b527fafe20ee18bdfa9c005362dc9d705ed12,fix(email): include environment and aws region in email body,Phil Booth,2018-08-02T10:45:18Z,philbooth,philbooth,10,5,5
11,fxa-sms-forecast,9d2f02cef2f1f39f57eb46b858fddcc94b95992f,fix(email): fix email sending bugs,Phil Booth,2018-07-31T17:26:55Z,philbooth,philbooth,29,18,11
