,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxemoji,6f7154a941af8aba8e2e4430a85d6f52292f8243,Add u1F1F7,Pavel Ivanov,2015-02-26T10:03:36Z,Pavel Ivanov,Pavel Ivanov,171,129,42
1,fxemoji,bf65e94d7197b5c01bb2b37a7333f70193fe9ad2,Add u1F1EE,Pavel Ivanov,2015-02-26T10:00:51Z,Pavel Ivanov,Pavel Ivanov,127,110,17
2,fxemoji,87746b050050b7199ca246140c8ff80642a06064,Add u1F1EB,Pavel Ivanov,2015-02-26T09:58:00Z,Pavel Ivanov,Pavel Ivanov,93,93,0
3,fxemoji,57ac3624518ebc961f83eebe0bb46488782096f5,Add u1F1EA | remove all flag alternative icons because we can't have glyphs with eq. names,Pavel Ivanov,2015-02-26T09:54:29Z,Pavel Ivanov,Pavel Ivanov,6958,333,6625
4,fxemoji,c4c49d6dcc2b562ac45bfe36390908f000cf8b7a,Add u1F1E8 and u1F1F3,Pavel Ivanov,2015-02-26T09:37:24Z,Pavel Ivanov,Pavel Ivanov,5451,5380,71
5,fxemoji,6d58475787b5c1f61e032b447d3734c6409bb31a,Add u1F1EC and u1F1E7,Pavel Ivanov,2015-02-26T09:33:24Z,Pavel Ivanov,Pavel Ivanov,1394,1394,0
6,fxemoji,b0792cdc09c648d98ccb1d42a4a22a6dae31b26b,Add u1F1F8 and u1F1FA,Pavel Ivanov,2015-02-24T21:25:45Z,Pavel Ivanov,Pavel Ivanov,6477,6413,64
7,fxemoji,32b7b6cfd546b69ac00e78b1cc7451df50dadb88,Add u1F699,Pavel Ivanov,2015-02-24T21:12:48Z,Pavel Ivanov,Pavel Ivanov,231,231,0
8,fxemoji,60ad761709b99561bc7226a45f4076a500afb9ca,Add u26A0,Pavel Ivanov,2015-02-24T21:08:52Z,Pavel Ivanov,Pavel Ivanov,92,81,11
9,fxemoji,d8d6e081ff6484ce7f92d33bc6f19d543bc90a51,Add u26EA,Pavel Ivanov,2015-02-24T21:05:37Z,Pavel Ivanov,Pavel Ivanov,252,252,0
10,fxemoji,583e71e2c4b5f07ed31246221514273d66a46d2e,Add u26F5,Pavel Ivanov,2015-02-24T21:01:54Z,Pavel Ivanov,Pavel Ivanov,271,271,0
11,fxemoji,0d4174941c85aac50da8188fcb8713e5b676c988,Add u26FD,Pavel Ivanov,2015-02-24T20:56:02Z,Pavel Ivanov,Pavel Ivanov,3790,2021,1769
12,fxemoji,d53d31a5e87af2bfac201a30ccf77313d075b602,Add u2668,Pavel Ivanov,2015-02-24T20:55:23Z,Pavel Ivanov,Pavel Ivanov,391,391,0
13,fxemoji,03a8fce144f5305450ae58edd9dcd1f11bf3bb4c,Add u2693,Pavel Ivanov,2015-02-24T20:47:15Z,Pavel Ivanov,Pavel Ivanov,59,59,0
14,fxemoji,f7e96b6d92236c652c8da8a677b86e1fa996f876,Add u2708,Pavel Ivanov,2015-02-24T20:46:56Z,Pavel Ivanov,Pavel Ivanov,216,216,0
15,fxemoji,c62060fa2c1f44cd077983e31c3ad13d011c25c6,Add u1F698,Pavel Ivanov,2015-02-24T20:28:03Z,Pavel Ivanov,Pavel Ivanov,374,374,0
16,fxemoji,767c0db07312b718a8573c8fcf3bd8a7eccd6f77,Add u1F695,Pavel Ivanov,2015-02-24T20:24:44Z,Pavel Ivanov,Pavel Ivanov,371,371,0
17,fxemoji,23edf067eb6fee9c6dde1578546f6acd9e949112,Generate Icons with ttx v2.5,Pavel Ivanov,2015-02-19T18:48:20Z,Pavel Ivanov,Pavel Ivanov,61980,45606,16374
18,fxemoji,48a3f8e28a87ececaf75327708b433b65215b1c3,FirefoxOS Colored Emoji Font Tool,Pavel Ivanov,2015-02-04T08:36:02Z,Pavel Ivanov,Pavel Ivanov,99276,99276,0
19,fxemoji,ec50e6aef7b0810fe4c8fe22b2b54c43d0d051f8,Add u5272,Pavel Ivanov,2015-03-06T19:41:34Z,Pavel Ivanov,Pavel Ivanov,5241,5241,0
