,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxtest-dashboard,a821e5f4774bc3d4eba3b4c89f393be0e9857922,changed url for proper updation of repo,bitgeeky,2014-01-15T09:22:18Z,bitgeeky,bitgeeky,6,3,3
1,fxtest-dashboard,f4e14e202a0803eea4637d24e05587364b5441b5,Arranging repos alphabetically,retornam,2014-01-14T20:26:31Z,retornam,retornam,26,13,13
2,fxtest-dashboard,d9ed5911c39d9c94072c55866b2a7375c1ab69b2,resize bug details,Vaidik Kapoor,2013-09-19T05:19:22Z,vaidik,vaidik,2,1,1
3,fxtest-dashboard,f0ec1ab91472326eb5301d79c15500eab7624f16,add bug title info,Vaidik Kapoor,2013-09-19T05:13:54Z,vaidik,vaidik,14,9,5
4,fxtest-dashboard,b286c71b6781bcadc49954039f5a6f865832642f,format github issues links,Vaidik Kapoor,2013-09-17T11:24:06Z,vaidik,vaidik,20,17,3
5,fxtest-dashboard,b8fd64906bfa2139ad1dcb5b1edb39dc3aaeb659,exit instead of return,Vaidik Kapoor,2013-09-15T05:11:22Z,vaidik,vaidik,2,1,1
6,fxtest-dashboard,0576329ac38bd7f47d472b0ecf683173f052e215,use repos.txt instead of config.json in js/main.js,Vaidik Kapoor,2013-09-15T05:00:45Z,vaidik,vaidik,7,4,3
7,fxtest-dashboard,bb94dbb6352fcd984fd7f2ad1a689bef431ba0a1,more info in README,Vaidik Kapoor,2013-09-15T04:35:52Z,vaidik,vaidik,35,31,4
8,fxtest-dashboard,1d61ee3c2eff5723454be068baa22026e3f85eb9,updated README,Vaidik Kapoor,2013-09-14T18:32:58Z,vaidik,vaidik,30,30,0
9,fxtest-dashboard,a4b5292104c9dc1287b6b6ff275e376efc2f8e6c,add requirements file,Vaidik Kapoor,2013-09-14T18:25:39Z,vaidik,vaidik,1,1,0
10,fxtest-dashboard,cd0065e1c93e70206f5aa7868c5787f32f56a91a,remove old config file,Vaidik Kapoor,2013-09-14T18:23:58Z,vaidik,vaidik,17,0,17
11,fxtest-dashboard,db7a06f6f12ad4b471b32f916e98e9cd27b039d7,pickup github credentials from environ vars:,Vaidik Kapoor,2013-09-14T18:19:48Z,vaidik,vaidik,16,13,3
