,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,fxtestbot,ce2fb1844a47c9a83d5a0a57538b4227f858f23e,"Merge pull request #10 from davehunt/updates

Fix tests for latest version of hubot-test-helper and lock dependencies",Rebecca Billings,2018-06-26T16:30:57Z,rbillings,rbillings,2493,2491,2
1,fxtestbot,f0c2b5b46eb2f54aeda17ae62abad58ece5c50de,Fix tests for latest version of hubot-test-helper and lock dependencies,Dave Hunt,2018-06-25T22:47:48Z,davehunt,davehunt,2493,2491,2
2,fxtestbot,e140389ffd92fb5cabf7fcc01ab05166d6a2b10a,"Merge pull request #8 from davehunt/remove-automationeers

LGTM.",Rebecca Billings,2018-06-25T19:15:59Z,rbillings,rbillings,24,12,12
3,fxtestbot,9442b73b1e666a89c0eaf8bb3c5be19d51965ceb,"Remove announcement for Automationeers meeting
This event no longer occurs on a regular schedule. Commenting out the reminder instead of removing it so it can be used as a reference for future schedules.",Dave Hunt,2018-06-25T17:15:00Z,davehunt,davehunt,24,12,12
4,fxtestbot,e3db0dcabd2eb3ad3eb1600465f9e54aef5b25fc,"Merge pull request #7 from davehunt/updates

Update dependencies and engines",Rebecca Billings,2017-11-30T15:53:37Z,rbillings,rbillings,27,11,16
5,fxtestbot,6b10e8cf780df1b9c6e0aa8a762a0481c7c06a67,Update dependencies and engines,Dave Hunt,2017-11-30T15:45:11Z,davehunt,davehunt,27,11,16
6,fxtestbot,14332070a0a2be0df2c72599db27ecbdbc7df3b8,"Merge pull request #6 from stephendonner/fix-webhook-doc

Add blurb about setting content-type to application/json, for webhook",Stephen Donner,2017-11-29T20:59:54Z,stephendonner,stephendonner,4,2,2
7,fxtestbot,eecbc53a9012e1ab21f875e13c30174d1487d411,"Add blurb about setting content-type to application/json, for webhook URL",Stephen Donner,2017-11-29T20:56:10Z,stephendonner,stephendonner,4,2,2
8,fxtestbot,ac0a203fbcc26e6c6d677a4e87f020151348d1f4,"Merge pull request #5 from rbillings/welcome_update

Updated welcome link to point to RTD",Stephen Donner,2017-05-11T17:22:16Z,stephendonner,stephendonner,2,1,1
9,fxtestbot,336d267fc07a921218e4acf56e30a81642518dda,Updated welcome link to point to RTD,rebeccabillings,2017-05-11T17:13:24Z,rbillings,rbillings,2,1,1
