,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,galaxy-api-python-client,c6fda72f8fb72d3e2b49edb26053153163abfcee,"Merge pull request #3 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Christopher Robert Van Wiemeersch,2019-03-30T03:57:25Z,cvan,cvan,15,15,0
1,galaxy-api-python-client,b2c8712a02b720bb2656aed5c9c513ac81392b5c,"Add Mozilla Code of Conduct file

Fixes #2.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-29T05:02:35Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,galaxy-api-python-client,e37c4a0bc90f3f9b441f0d649081df6da879edc2,rename `app_url` to `game_url`,Christopher Van,2014-08-29T22:26:06Z,cvan,cvan,2,1,1
3,galaxy-api-python-client,cb1f4fbf1ae862f5c6e7c4e4236c46928f4e1731,add `settings_local` to .gitignore,Christopher Van,2014-08-27T01:01:54Z,cvan,cvan,1,1,0
4,galaxy-api-python-client,c8ae80a704263cc00bf8b19c1af5e3e6f379d7fe,show example output,Christopher Van,2014-08-27T03:42:33Z,cvan,cvan,268,268,0
5,galaxy-api-python-client,06c9a50974207c3b604873b3f699fe582511495e,"Merge pull request #1 from gsathya/fixmain

s/main/__main__",Christopher Van,2014-08-26T22:11:43Z,cvan,cvan,6,3,3
6,galaxy-api-python-client,575deb8cc3912c91f0f89399f6788d81262d1953,mention `play_game.py` in README,Christopher Van,2014-08-26T22:04:30Z,cvan,cvan,2,2,0
7,galaxy-api-python-client,bee884fec5afe4dfc49246f157e9c9ef67e37849,s/main/__main__,Sathyanarayanan Gunasekaran,2014-08-26T22:03:54Z,gsathya,gsathya,6,3,3
8,galaxy-api-python-client,546405e72691244d11f3996081d4af5668d005f4,add responses for each leaderboard user,Christopher Van,2014-08-26T21:30:43Z,cvan,cvan,38,35,3
9,galaxy-api-python-client,a8562040526ad824f87ba7208fdf295867d146b0,add leaderboard score creation and ranking list,Christopher Van,2014-08-26T21:23:17Z,cvan,cvan,144,94,50
10,galaxy-api-python-client,23feeae1ea4f1c3ba3206bda6325f08e58430d75,print request body in examples,Christopher Van,2014-08-26T20:25:14Z,cvan,cvan,52,42,10
11,galaxy-api-python-client,e3fcb7a603b7de428cc97e60636f143985e01dca,use underscores instead of hyphens for filenames of examples,Christopher Van,2014-08-26T20:21:31Z,cvan,cvan,8,4,4
12,galaxy-api-python-client,687c5c5dac9bc5bf6d960f904308033e0ce0d037,THIS IS GALAXY-API-PYTHON-CLIENT,Christopher Van,2014-08-26T01:29:51Z,cvan,cvan,108,108,0
